Wavelength	1mm_blackTPU00000.asd
350	-1.35417633343381 
351	-1.04186034966106 
352	-8.99302179840222E-02 
353	-0.886103058406534 
354	-0.731673002928311 
355	-0.463197824858174 
356	-0.834795785669843 
357	-0.578012156258683 
358	-0.288973617935002 
359	-0.100536857069413 
360	 0.244258122436701 
361	 1.67039676416327 
362	 2.55830081017854 
363	 1.3976211325835 
364	-0.655396868852872 
365	-0.457500403551577 
366	 1.78236280848688 
367	 1.57920071320549 
368	 2.48140728300984 
369	 2.88880039513123 
370	 0.460890489821032 
371	-0.830382754500766 
372	-1.1012331641734 
373	-0.780386100339698 
374	-0.191638748399182 
375	 1.23293721771564 
376	 1.98345812641798 
377	-0.10643121545268 
378	-1.2721064440624 
379	-1.00752082849391 
380	 6.31358803756716E-02 
381	-0.329858546730109 
382	-0.346590026509886 
383	 0.427921439432145 
384	 1.19073969902544 
385	 0.414116239506038 
386	-0.901275421030956 
387	-1.23573318707955 
388	-0.167567809575385 
389	 0.966737423946532 
390	 1.22077465708564 
391	 0.124688299487075 
392	 0.228252767352661 
393	 0.896655563778329 
394	 0.395021294296245 
395	 0.614350069002006 
396	 0.819479364620125 
397	 0.472299298424857 
398	 0.300406321183376 
399	 0.562252965971729 
400	 0.866025712087525 
401	 0.31379896220348 
402	 0.1184622039974 
403	 0.198644445452059 
404	 0.180573685753393 
405	-0.133693566883261 
406	-0.394888457459219 
407	-0.452244949742594 
408	-0.474748472449309 
409	-0.517288390751396 
410	-0.222245042372615 
411	 0.782819263654411 
412	 1.11656216325971 
413	 0.735872028356924 
414	-6.00033802296189E-02 
415	-0.695068865615073 
416	-1.18936207345678 
417	-0.966453107209035 
418	 1.06678993295505 
419	 1.95346510694679 
420	 1.75111200392077 
421	 1.25968428159308 
422	-0.153373570524736 
423	-0.553573090755837 
424	 0.724967258783308 
425	 2.04802080784011 
426	 1.81144597623696 
427	 0.425066825956312 
428	-0.435207396634398 
429	-0.425475258721417 
430	-0.133512336000484 
431	-0.180067733068434 
432	-0.594719774527188 
433	 0.044073603449593 
434	 1.25485440576 
435	-3.85019880332028E-02 
436	-0.860335063553631 
437	-0.715890970228984 
438	-0.167479848071353 
439	-0.690650307977239 
440	-1.50154025548445 
441	-1.53333064630431 
442	 0.719498218956909 
443	 0.474344039404949 
444	-1.46375192201603 
445	 0.821087521455624 
446	 0.575193411401488 
447	-1.27407692015599 
448	-1.79882180805765 
449	-0.594684146060001 
450	 1.16651367078628 
451	 2.05010107792492 
452	-0.165020511857499 
453	-0.963614913566487 
454	-0.38126344835997 
455	-1.3773566735167 
456	 0.472427739941282 
457	 1.871186659809 
458	-0.400395712523373 
459	 2.86874458747568E-02 
460	 0.292568415194524 
461	-0.896953347855229 
462	-1.29535537290795 
463	-1.68630738012797 
464	-1.72241614589039 
465	-0.671192190845544 
466	-0.615249722104256 
467	-1.10938851932134 
468	-1.30954491732204 
469	-1.0235342253421 
470	-0.589402988094346 
471	-0.478917393692088 
472	-1.56983729584912 
473	-1.44955851744724 
474	-0.705614610420142 
475	-1.2314953045768 
476	-1.61956393103043 
477	-0.98809871475082 
478	 0.651181428487337 
479	 0.421392739890468 
480	 0.342826097736129 
481	 0.593677002058482 
482	-1.4660041796751 
483	-2.27789824994978 
484	-1.33349203713859 
485	 0.252671191417653 
486	-1.71362486111546 
487	-2.69075995501484 
488	 0.339304299068587 
489	 0.398779515316638 
490	-6.85436722825474E-02 
