Wavelength	4mm_blackTPU00000.asd
350	-1.88786181577974 
351	-1.29009540125801 
352	-0.119926537069961 
353	-1.21815164549765 
354	-0.688320973031926 
355	 0.430464758743347 
356	 0.713810544041001 
357	 3.97198298702383E-02 
358	-0.483624349366656 
359	-0.708257926231782 
360	-1.25631318690617 
361	-0.42658272536109 
362	 0.689630641563906 
363	 0.650557448861799 
364	-0.754206944952867 
365	-0.584659247082544 
366	 1.13006655835947 
367	 0.46543001573319 
368	 2.14245955966647 
369	 3.42086808997662 
370	 0.390097532310838 
371	-1.56633302977148 
372	-1.64393507897109 
373	-0.446783872003898 
374	-0.540192938927368 
375	-8.00115750485304E-03 
376	 0.298961014158263 
377	-1.43742179676778 
378	-2.00568241233468 
379	-1.06179888643181 
380	 0.46876372215355 
381	-0.644562866637429 
382	-1.75541347410234 
383	-1.64692101679962 
384	-0.314621358667652 
385	-0.377332143455458 
386	-0.925717919749994 
387	-0.502232836247177 
388	 0.171471096167505 
389	 0.299887464385533 
390	-0.173827305212569 
391	-0.205848144661219 
392	-0.163816976982503 
393	-5.40507191062908E-02 
394	 0.212186867541565 
395	 0.768486348907223 
396	 0.175227187119103 
397	-1.67016461068478 
398	-0.999905498959217 
399	 0.261481457744563 
400	 0.987470781433627 
401	 0.560570064849172 
402	 5.57002354866426E-02 
403	-0.635754630763883 
404	-1.52121105685747 
405	-0.680390350491347 
406	-0.344731301516123 
407	-1.15054443832489 
408	-1.1812923084234 
409	-0.249896967411289 
410	 0.557725987969036 
411	-0.228727200220693 
412	-0.640681075313024 
413	-0.744817048522507 
414	-0.84525517141803 
415	-1.13386598172819 
416	-1.1018461212561 
417	-0.56515688773021 
418	 0.37029385093124 
419	-0.343291416408093 
420	-0.940265097077271 
421	 0.430529665246443 
422	-0.57176070291568 
423	-0.920139502892319 
424	 0.486209154789253 
425	 0.4194001051974 
426	-1.03159242528923 
427	-2.34014836693243 
428	-1.21404888753661 
429	-1.2207915951494 
430	-1.10874374463305 
431	 0.226813431365401 
432	-0.173803074547027 
433	-0.095720560835414 
434	 0.753901709890699 
435	 5.36644925959329E-02 
436	 1.40657794035972E-02 
437	 0.166109345451599 
438	-0.650940911469589 
439	-4.05211896667866E-02 
440	-0.650518396602883 
441	-3.11841138480946 
442	-0.530769636468898 
443	 0.037453808684445 
444	-1.94892280005954 
445	-1.25350192784504 
446	-1.51474706044747 
447	-2.45846481952303 
448	-2.73653913335417 
449	-1.35927228179934 
450	 0.269968433717276 
451	 0.651069178924374 
452	-2.1881642273621 
453	-2.84034174946599 
454	-1.06962217809404 
455	-0.111124068360139 
456	 1.32014860981327 
457	 1.62560257314606 
458	-0.373070808765678 
459	-1.01621771439124 
460	-1.55039060501525 
461	-2.51234881022909 
462	-2.80791910439183 
463	-2.1679607350296 
464	-0.996960955779318 
465	-0.21710743800561 
466	-1.03249886828738 
467	-1.99256570229184 
468	-1.67579559680698 
469	-1.19032565408762 
470	-0.152704932353962 
471	 0.805297985897864 
472	-0.819104823599133 
473	-2.13674191238324 
474	-2.41638460175117 
475	-1.90135855490144 
476	-0.829700707346156 
477	 0.052780154432861 
478	 0.133741258192383 
479	-0.592146776776302 
480	-1.22635019724185 
481	-1.65863666322666 
482	-2.97308970291621 
483	-3.33162798201299 
484	-2.39630117191014 
485	-0.720844423914452 
486	-1.02901401511213 
487	-1.8477851199037 
488	-1.69655403459517 
489	-1.6079467681588 
490	-1.25315077829608 
491	-0.758027278914899 
492	-0.857502551762417 
493	-1.44852864073627 
494	-2.10210334666256 
495	-2.27676260730619 
496	-2.75940774669495 
497	-1.8918051942569 
498	 0.628374356377543 
499	-0.700811815230872 
500	-1.66506062180252 
501	-1.39004547578686 
502	-3.50975588604433 
503	-3.15502528217297 
504	-1.07179194851666 
505	-0.347225386713092 
506	-1.99131196329646 
507	-3.06736284127982 
508	-1.70543725671939 
509	-1.86569822493639 
510	-2.1580474582442 
511	-1.96354708800381 
512	-1.67315495167175 
513	-1.53391553724396 
514	-1.46124870369139 
515	-1.2782058320713 
516	-1.90114428172299 
517	-2.78867011747742 
518	-3.0696767450184 
519	-1.27983072106946 
520	-0.818302163165943 
521	-2.22255843086983 
522	-1.76287956245528 
523	-2.61576852934413 
524	-3.64025699582149 
525	-2.08548456983283 
526	-2.20631954892665 
527	-2.60054107262682 
528	-1.774589973975 
529	-2.2058987728844 
530	-2.61631245939799 
531	-2.29499859024549 
532	-1.32331505798608 
533	-1.59321782181225 
534	-2.63710440528365 
535	-2.6931163158538 
536	-2.00127361776305 
537	-1.74624669789601 
538	-2.65651823944271 
539	-2.54916606360233 
540	-1.0015636546091 
541	 0.873005011864781 
542	-1.20714538444631 
543	-2.1067221419389 
544	-1.94451114149936 
545	-3.7703350197207 
546	-3.36134280637983 
547	-1.97556041418956 
548	-1.75809715047885 
549	-1.98165440625493 
550	-2.53885951964267 
551	-3.1168087381399 
552	-2.90055609860673 
553	-1.83992521515066 
554	-1.14569816967243 
555	-3.08338056422487 
556	-3.3364975705095 
557	-2.28183467464518 
558	-1.62880238236424 
559	-2.24163609843978 
560	-2.17990564448614 
561	-0.871155658820141 
562	-1.93233318506696 
563	-2.37971127960177 
564	-1.81464155109812 
565	-2.12236651228982 
566	-2.8888653050081 
567	-3.37793288695196 
568	-2.75200295771011 
