Wavelength	3mm_blackTPU00000.asd
350	 0.30793618715657 
351	 0.480027300140886 
352	 0.546092226372683 
353	-0.739453691426274 
354	-0.924023797698359 
355	-0.328643398315322 
356	 0.359787183308376 
357	 0.984526688231862 
358	 1.04906226025699 
359	 0.613009859847104 
360	 0.230031387086581 
361	 0.55138978935433 
362	 1.02706339198004 
363	 0.857630396197741 
364	-0.718355826652306 
365	-0.487452816065779 
366	 1.56591353451556 
367	 1.30886684484471 
368	 1.63073891277584 
369	 1.84563413415879 
370	 0.580761605161885 
371	-0.492808501939743 
372	-0.655137771602513 
373	-2.06824174986671E-02 
374	-0.20133502425951 
375	 0.445941344213813 
376	 1.09289636780245 
377	-9.14900172734614E-02 
378	-1.52372478496834 
379	-1.25817220686974 
380	 0.854576604642488 
381	-0.332458223530297 
382	-1.49598823752123 
383	-1.14963038222113 
384	 0.652246168794265 
385	 0.714273380714925 
386	-0.360515304385586 
387	-0.9563526481931 
388	 3.20543367621942E-02 
389	 0.650505285846991 
390	 0.133064882175245 
391	-0.471422412503408 
392	 0.564500837162905 
393	 1.83188496702637 
394	 0.897829289875063 
395	 0.201105901790584 
396	-0.507345722518894 
397	-1.15831738322908 
398	 0.195612975450385 
399	 1.42092425201435 
400	 1.77929856726112 
401	 1.54998811539468 
402	 0.576728427865417 
403	-0.804843207563225 
404	-1.9316412906123 
405	-1.16000746480539 
406	-0.542031541549584 
407	-0.755677912921277 
408	-0.199780271065006 
409	 0.294266177633079 
410	 0.221467319321109 
411	-0.602189746122303 
412	 7.26246918247896E-03 
413	 0.649285299399071 
414	 0.232296727461661 
415	-0.138826221204795 
416	-0.411092504702262 
417	-0.435707789131453 
418	-7.75790570818974E-04 
419	 0.261584403174225 
420	 1.08277549240553 
421	 2.75142835637642 
422	 0.697473615607857 
423	-0.262323593595915 
424	 1.63385219337497 
425	 1.59305015969939 
426	-0.328023759245978 
427	-2.14316539271031 
428	-0.776204252355189 
429	-0.323883229077218 
430	-0.108350060068858 
431	 0.730499029527738 
432	 0.206222604605812 
433	-8.09697286526022E-02 
434	 0.432896396932936 
435	 1.04834304631093 
436	 1.60962684487145E-02 
437	-1.10161204632197 
438	 4.71497567018465E-02 
439	-0.512282979753295 
440	-1.39782529760981 
441	-1.21633847454559 
442	-9.46166103442896E-02 
443	-0.521261587432854 
444	-1.6008304542972 
445	 0.706124079630226 
446	-0.124071550586381 
447	-2.2436848733113 
448	-1.99184231943484 
449	-1.11334539215525 
450	-0.189833740939617 
451	 0.25701826869674 
452	-0.570401901336358 
453	-1.05671132426861 
454	-0.845393028689414 
455	-0.395104599456677 
456	 0.912431247161266 
457	 1.18105012098124 
458	-0.777721663221189 
459	 0.248195401503793 
460	 0.457273302945766 
461	-1.53676008722552 
462	-2.30300784518003 
463	-1.60462150584886 
464	-0.243689301340297 
465	 0.180035858395739 
466	-0.141292350383884 
467	-0.922570750428177 
468	-1.63780795908068 
469	-1.02951512173504 
470	-0.403993137570043 
471	-0.378362413865002 
472	-0.529982163521257 
473	-0.234641229898114 
474	 7.39494135783305E-02 
475	-0.451915966206992 
476	-0.256209973478437 
477	 0.277778365577386 
478	 0.464961638877319 
479	-0.235224695371637 
480	-0.739128231051667 
481	-1.07739782519757 
482	-3.04621893554842 
483	-3.19209754873526 
484	-1.73511026237041 
485	-0.62887963826311 
486	-1.77347548150143 
487	-2.39573330716548 
488	-0.696945729562169 
489	-0.944102940842561 
490	-0.730797344762094 
491	 0.283355025625058 
492	-0.303603726293816 
493	-1.54390393185874 
494	-2.06243340221935 
495	-0.626455006050488 
496	-1.67326744225574 
497	-1.56284428929661 
498	 1.62784779730166 
499	-0.248954274378156 
500	-1.95041929203259 
501	-1.76604459812712 
502	-2.51067685989632 
503	-2.65386892225585 
504	-1.85754363089072 
505	-0.446689928204204 
506	-1.25087048868739 
507	-2.11980502427176 
508	-1.27103969343238 
509	-0.918552572301771 
510	-0.745575729320763 
511	-0.560935273818694 
512	-0.307683704902799 
513	-0.840018834338872 
514	-1.50284367922757 
515	-1.13264533768715 
516	-1.58254298902985 
517	-2.74483989540161 
518	-3.60512425671839 
519	-0.643498762084867 
520	 0.242437602441451 
521	-1.99599353028702 
522	-1.21458675982997 
523	-1.85771781104959 
524	-3.07327721873618 
525	-1.95452861034462 
526	-1.36864320003417 
527	-1.40969359295071 
528	-1.67890804863075 
529	-1.95725349566875 
530	-2.30786436379996 
531	-2.52396616689587 
532	-1.79874995047055 
533	-1.52667477995782 
534	-1.72587492429212 
535	-1.72127808919516 
536	-1.77518697790894 
537	-2.14927433683229 
538	-2.87646435183686 
539	-3.16943631656364 
540	-1.87070413087139 
541	 0.367076742836057 
542	-0.734256413695696 
543	-1.33474203207639 
544	-1.47223660034707 
545	-3.2456694898689 
546	-2.73669443346597 
547	-1.72574127546239 
548	-2.47674887774903 
549	-1.78281946200659 
550	-1.68372176946516 
551	-2.89513349228773 
552	-2.838718753092 
553	-1.30132898176382 
554	 0.154027922867671 
555	-1.60113291565539 
556	-2.66929852616235 
557	-2.11623037715002 
558	-0.468627633807652 
559	-2.09784971846206 
560	-2.93622470341546 
561	-0.997479044627435 
562	-1.18462147862881 
563	-2.35222530078302 
564	-3.38084300977635 
565	-2.87352504112671 
566	-2.61856726450946 
567	-2.61767321651653 
568	-2.26537529120124 
569	-0.976589538910919 
570	-0.503772184664509 
571	-1.62446405839046 
572	-1.33962264006723 
573	-1.64851906101275 
574	-2.67403188944694 
575	-2.30723600306484 
576	-1.2869619420258 
577	-0.446001963911066 
578	-0.69042680547964 
579	-1.76276977557449 
580	-1.84701860111821 
581	-0.216959043295505 
582	-1.08653238014689 
583	-1.95695421675431 
584	-1.40352396146599 
585	 0.81368409944171 
586	-0.548180236246741 
587	-3.89927546952631 
588	-3.99007226738273 
589	-2.66640734831808 
590	-1.29838072583935 
591	-0.916926969046117 
592	-0.797436844693112 
593	-1.66487442459176 
594	-2.96233778384691 
595	-1.14771722744024 
596	-0.023917037744953 
597	-0.445152539685206 
598	-1.44103959099978 
599	-2.04913288475555 
600	-2.55969668540571 
601	-3.40600215404823 
602	-3.27746979895362 
603	-3.24360090817873 
604	-3.57152510250151 
605	-1.89162169126048 
606	-0.918386699838248 
607	-1.23851072402563 
608	-1.61488486354245 
609	-2.4953156101094 
610	-2.98514714047205 
611	-2.08657657018545 
612	-1.74822354829617 
613	-1.76092269504678 
614	-1.88380424271006 
615	-2.8777619656224 
616	-3.07201559180316 
617	-2.27028881863815 
618	-2.02981798606832 
619	-2.55390007431662 
620	-3.03901581173725 
621	-2.37192212740943 
622	-3.31162684518973 
623	-4.00958174175641 
624	-2.80152974573885 
625	-1.64755940515298 
626	-1.4680211860227 
627	-2.23785649761527 
628	-2.54895021762851 
629	-2.16823647041186 
630	-1.75717288592534 
631	-2.51863782537817 
632	-2.29289646309182 
633	-1.78150146695794 
634	-1.95556467449176 
635	-1.68199983733282 
636	-1.14910017983603 
637	-1.01453734890217 
638	-3.28015112972573 
639	-3.31792249304856 
640	-1.52095813616823 
641	-1.96747269462566 
642	-1.53186070775092 
643	-0.762354984943078 
644	-1.01480123614753 
645	-2.20403570511618 
646	-2.96222668550663 
647	-2.59888946508349 
648	-2.29355823005857 
649	-2.15584814997284 
650	-2.09412712803598 
651	-1.7464566929527 
652	-2.23398796771403 
653	-2.73963308238876 
654	-2.11889755526774 
655	-3.52562086437642 
656	-4.31697695354669 
657	-2.80989683111748 
