Wavelength	2mm_whiteABS00000.asd
350	-0.970068077794468 
351	-0.387150855972963 
352	-0.13311476898553 
353	 0.63796887620998 
354	 0.68437115743144 
355	 0.169708625323729 
356	-0.275006945070557 
357	 0.805778540976453 
358	 0.977100242539808 
359	 0.137850262446273 
360	 0.108899232346912 
361	-0.488881809921582 
362	-0.985973802299134 
363	-0.658046853267983 
364	-0.517443956095985 
365	-0.341237453711731 
366	-0.094241193201336 
367	-1.41673165969343E-02 
368	-0.231050164918258 
369	-0.607827429028338 
370	-0.648396985689407 
371	 1.93423033398632 
372	 3.3165832672126 
373	 1.78764750951362 
374	 0.34294751011166 
375	-1.00247134887012 
376	-1.744130114579 
377	-1.42019238972179 
378	-1.51142138414611 
379	-0.905143385800597 
380	 0.774993888580557 
381	 0.578055154113578 
382	 0.142665430966337 
383	 0.026893733414337 
384	-0.108151456001342 
385	-1.59991276924555 
386	-2.4975027994361 
387	-1.0234034170552 
388	-0.472251903190952 
389	 0.228388127887094 
390	 1.08786819419151 
391	 0.065904367284389 
392	-0.647647277675865 
393	-0.106610938294102 
394	 1.68617127998341 
395	 0.603558484572736 
396	-0.248200561199156 
397	 1.19902746954592 
398	 2.07596005942339 
399	 2.88198984777584 
400	 3.67925434480282 
401	 4.28734470502049 
402	 5.12203905428639 
403	 5.65988132173236 
404	 5.59894361040739 
405	 6.59499194616112 
406	 8.44827384654698 
407	 10.3007888113486 
408	 10.1763447462982 
409	 11.4367417614758 
410	 13.6675910068101 
411	 15.0062588335399 
412	 16.4430124421129 
413	 18.3721773538428 
414	 20.7643249072276 
415	 22.6416011546225 
416	 24.4367789363739 
417	 26.3479100600547 
418	 28.39389095822 
419	 30.5691512871584 
420	 33.0986165561549 
421	 36.015717378737 
422	 38.0729337181482 
423	 39.4614631270268 
424	 40.9956169210846 
425	 44.8394450644809 
426	 47.4132264325084 
427	 49.391944110458 
428	 53.4491026575197 
429	 55.1390656585001 
430	 56.7318388276452 
431	 60.3064075634446 
432	 62.5359341400038 
433	 64.141412544535 
434	 66.0929183679124 
435	 69.7836129912418 
436	 72.3343331063117 
437	 73.6572808061403 
438	 74.9709016168007 
439	 78.5739746990234 
440	 82.2614269792264 
441	 84.3745941182123 
442	 86.1444778440467 
443	 88.483739624981 
444	 91.033087466672 
445	 92.2234238548637 
446	 94.1741578396522 
447	 97.3166924045792 
448	 101.105335508701 
449	 102.399701199187 
450	 103.416583874701 
451	 105.670333438111 
452	 108.336338079222 
453	 111.5077428225 
454	 114.436191578243 
455	 115.875242778458 
456	 118.28704031716 
457	 121.026178588215 
458	 123.023489832214 
459	 124.875872402304 
460	 127.511058566701 
461	 131.114337513949 
462	 134.612142773512 
463	 138.109979328046 
464	 141.378848550816 
465	 144.078511652268 
466	 146.193334258346 
467	 148.762064619301 
468	 152.628604879009 
469	 157.282919304834 
470	 160.720165885162 
471	 163.356982357337 
472	 169.833576523785 
473	 173.00527463388 
474	 174.750650351378 
475	 180.759478005537 
476	 186.386177920977 
477	 191.351086578029 
478	 196.061091442821 
479	 200.5134927354 
480	 205.615267805481 
481	 211.270282945389 
482	 215.87060820768 
483	 221.828369880468 
484	 228.247574621243 
485	 233.06565198341 
486	 238.762986973868 
487	 245.035289020493 
488	 251.496659181283 
489	 259.161351344367 
490	 266.837505868225 
491	 274.275395465045 
492	 282.505728364976 
493	 290.269214855853 
494	 297.093991779608 
495	 303.302771896793 
496	 314.437133132958 
497	 325.122737507322 
498	 331.383919616191 
499	 339.500825604706 
500	 348.019446644824 
501	 356.620716755489 
502	 366.513306456623 
503	 377.062519331396 
504	 387.548032849025 
505	 397.247510655681 
506	 406.816504489248 
507	 416.251806793857 
508	 425.590442545313 
509	 435.108858605775 
510	 446.141524294048 
511	 458.945590442872 
512	 472.592623905368 
513	 484.249308817398 
514	 494.891024821634 
515	 507.131792531503 
516	 519.288511038669 
517	 531.258407320916 
518	 543.242344250974 
519	 555.536315582559 
520	 568.823108030003 
521	 582.581404590016 
522	 594.279086344275 
523	 607.536579461727 
524	 622.156522457785 
525	 636.215043783617 
526	 649.95696179973 
527	 664.187699013536 
528	 678.954665931124 
529	 690.367822621864 
530	 703.425256245601 
531	 719.509030305497 
532	 734.069365474015 
533	 748.380296907161 
534	 762.27847830368 
535	 775.170706413534 
536	 788.481500879355 
537	 802.050527919437 
538	 815.636581811105 
539	 830.405546670951 
540	 845.068485452393 
541	 858.699224301927 
542	 870.843058600143 
543	 883.741342008602 
544	 897.389498924868 
545	 910.425510928274 
546	 924.189943426449 
547	 938.052079933383 
548	 951.125547481769 
549	 963.763110266094 
550	 976.283852884282 
551	 988.671158647339 
552	 1000.12173393037 
553	 1011.58528899444 
554	 1023.29957453344 
555	 1035.00654278461 
556	 1045.8528935633 
557	 1056.60085536556 
558	 1068.1060235458 
559	 1078.41264388168 
560	 1088.35124596414 
561	 1098.40173351656 
562	 1107.83843836563 
563	 1114.59074445479 
564	 1119.46917882962 
565	 1126.1662997365 
566	 1131.16463299105 
567	 1134.94015614885 
568	 1138.88972695371 
569	 1140.6317744723 
570	 1140.20130799399 
571	 1138.87932469838 
572	 1141.13313319462 
573	 1141.1245467238 
574	 1138.1763315127 
575	 1137.92155814412 
576	 1134.64937949701 
577	 1129.10231125507 
578	 1124.4268691479 
579	 1119.1012045068 
580	 1113.01353765485 
581	 1106.70519057065 
582	 1102.52906905292 
583	 1098.08731327146 
584	 1092.55034254752 
585	 1087.58794478594 
586	 1082.13302751218 
587	 1076.31777426734 
588	 1070.87582262631 
589	 1066.35683600382 
590	 1062.67414056261 
591	 1059.82395744336 
592	 1059.06680444233 
593	 1059.64176309248 
594	 1060.4711793424 
595	 1059.46962297768 
596	 1061.03692054971 
597	 1065.85344586337 
598	 1072.12688906982 
599	 1078.97726411965 
600	 1085.81756191914 
601	 1092.3821945879 
602	 1099.09111795728 
603	 1106.79145422217 
604	 1115.45929810024 
605	 1122.78158078158 
606	 1130.6993178761 
607	 1140.75824841338 
608	 1154.40685345449 
609	 1169.63786088422 
610	 1185.50577280369 
611	 1201.55653099823 
612	 1218.89165168713 
613	 1236.11276481376 
614	 1252.15861489851 
615	 1267.83074675 
616	 1283.13221216466 
617	 1297.51165086512 
618	 1309.43244201345 
619	 1322.97637489041 
620	 1338.23768737695 
621	 1353.54771780731 
622	 1368.7367374249 
623	 1383.94587181305 
624	 1399.45679461128 
625	 1415.87904389317 
626	 1431.5029734766 
627	 1445.93409126964 
628	 1460.9766623427 
629	 1475.82478894935 
630	 1489.6730130499 
631	 1501.69952684946 
632	 1514.67269596659 
633	 1527.38951357964 
634	 1538.28526645642 
635	 1548.791711212 
636	 1559.25293625908 
637	 1569.59727566561 
638	 1578.96273343596 
639	 1588.43669818355 
640	 1598.0376971653 
641	 1607.05480529063 
642	 1618.64332926635 
643	 1631.10560415254 
644	 1641.94080415134 
645	 1653.8543596891 
