Wavelength	3mm_whiteABS00000.asd
350	-0.858851016126413 
351	-0.535356610128541 
352	-0.248739802663385 
353	 0.269085577973994 
354	 0.977089956467446 
355	 1.08076215025999 
356	 0.306569661124669 
357	 0.292323390597775 
358	-0.225844512811556 
359	-1.04487423464504 
360	-0.771954057680317 
361	-0.290092161471334 
362	 0.23050876059457 
363	 0.636237965657217 
364	 0.168676094308925 
365	-0.35675099526521 
366	-0.653527743464587 
367	-1.172050126681 
368	-0.872797336963662 
369	-0.255116356148958 
370	-8.76689868966266E-02 
371	 0.931386637830716 
372	 1.76718282176439 
373	 1.79412088814066 
374	 1.55968612348778 
375	-5.03593110455722E-03 
376	-1.61791997781015 
377	-1.07655978628275 
378	-1.15781861688482 
379	-1.14326022674584 
380	-0.464245558142599 
381	-0.606133013397279 
382	-0.756269849094297 
383	-0.476965168986569 
384	 0.34265793399267 
385	-0.435425866766568 
386	-1.41854246251155 
387	-0.897501509924756 
388	-0.461506444652248 
389	 0.507846245056182 
390	 1.57218367682667 
391	 0.394816204319158 
392	-0.704805352529869 
393	-0.498463296180156 
394	 1.23756433936649 
395	-0.936742582551218 
396	-1.91437931623143 
397	 1.02770034033122 
398	 1.16417106082257 
399	 1.39156356082518 
400	 1.96404722365414 
401	 1.34979178081949 
402	 1.94257780291135 
403	 2.87178177077782 
404	 2.88348227832703 
405	 2.54565835544406 
406	 4.05873338867128 
407	 6.64730796572572 
408	 4.53926029596243 
409	 4.99961033245895 
410	 6.93838761782805 
411	 6.30360810916855 
412	 6.83801162137365 
413	 9.1593159717751 
414	 12.2376426877299 
415	 11.441345400542 
416	 11.5031594038725 
417	 13.4213708787029 
418	 15.0012880661117 
419	 16.7469131390886 
420	 18.3819939562201 
421	 19.6336288779361 
422	 21.180921408461 
423	 22.3148336901062 
424	 23.0609619974749 
425	 25.189450770841 
426	 26.165420041059 
427	 27.2222748710589 
428	 31.2145503695774 
429	 31.6728067145206 
430	 32.0750829433513 
431	 35.6155142315142 
432	 37.4243338465375 
433	 38.3279886599402 
434	 39.3105345571774 
435	 41.5535573071456 
436	 43.5569406580029 
437	 44.9423275561979 
438	 45.9830027265803 
439	 48.992827528557 
440	 51.2304946115445 
441	 51.3514926749144 
442	 53.521060548305 
443	 55.415197516884 
444	 56.4922736988754 
445	 57.7052335423469 
446	 58.9890356765621 
447	 61.289890805235 
448	 65.0589357204402 
449	 66.173667037782 
450	 66.6190352497638 
451	 67.9569661943869 
452	 69.8326920380344 
453	 72.266000086469 
454	 74.5188530788779 
455	 75.3876147138998 
456	 77.3074174915586 
457	 79.7345862648406 
458	 81.6951463193364 
459	 83.9208179085188 
460	 85.8345648033024 
461	 87.4998802967411 
462	 90.3395245243317 
463	 92.9863666732802 
464	 95.38566947961 
465	 98.0534391794077 
466	 99.3694238404628 
467	 101.298552641864 
468	 105.380824017511 
469	 108.624315375721 
470	 111.240224326801 
471	 113.988130267851 
472	 118.666842449264 
473	 121.028539333439 
474	 122.553027005157 
475	 127.172996979044 
476	 131.855508860646 
477	 135.182506264499 
478	 137.131723101389 
479	 141.556225463889 
480	 146.784454700427 
481	 151.517837473174 
482	 154.830798219208 
483	 159.295071136931 
484	 164.130885900604 
485	 167.408786756003 
486	 172.337881299331 
487	 178.407846172817 
488	 184.513065548625 
489	 189.559185502398 
490	 195.543577874747 
491	 202.362713642315 
492	 207.003830935361 
493	 212.930477947598 
494	 219.668974312612 
495	 225.514668416562 
496	 234.399878992807 
497	 242.48818476533 
498	 247.127932589104 
499	 253.304283223813 
500	 260.415410701276 
501	 268.039649052853 
502	 276.016087150366 
503	 284.370046115128 
504	 292.856364822434 
505	 301.074939977844 
506	 308.224645436614 
507	 315.494464423034 
508	 323.765844822913 
509	 331.627428690098 
510	 340.592923899469 
511	 351.212986539183 
512	 363.026750705817 
513	 372.747250231182 
514	 381.173065874438 
515	 390.886732025611 
516	 400.574676439496 
517	 410.521863870462 
518	 421.022852054732 
519	 431.599888223947 
520	 442.51822039889 
521	 453.486905582169 
522	 463.181543843015 
523	 474.328984931381 
524	 486.311799708517 
525	 497.080587128772 
526	 508.645528806236 
527	 520.776314667615 
528	 532.739930302207 
529	 543.169368186089 
530	 555.279471036617 
531	 569.287663076753 
532	 580.28202448651 
533	 591.809022075612 
534	 603.696856537026 
535	 614.18963757249 
536	 626.247155022479 
537	 638.407174406661 
538	 649.230499635068 
539	 661.740283998563 
540	 674.773227191297 
541	 686.902691280268 
542	 695.979492409162 
543	 706.150419230432 
544	 717.774862721743 
545	 729.002435439004 
546	 741.361079933619 
547	 753.738007752631 
548	 764.900953564563 
549	 776.639751437839 
550	 786.853625435557 
551	 795.357761745277 
552	 806.623797635518 
553	 817.527595217322 
554	 827.668597645487 
555	 838.453804692027 
556	 848.762326132411 
557	 858.635442077909 
558	 868.224701587647 
559	 876.045829188654 
560	 884.299218835955 
561	 894.106620906232 
562	 903.631830150038 
563	 910.494395311062 
564	 915.02785886451 
565	 920.238344732512 
566	 925.150982459174 
567	 929.337154808318 
568	 932.455911923582 
569	 934.545578152701 
570	 935.067238459306 
571	 934.470736722681 
572	 936.666451792994 
573	 936.963469013941 
574	 934.924203458401 
575	 935.23816659865 
576	 935.009480963548 
577	 932.878595860014 
578	 928.242090073806 
579	 924.113435293099 
