Wavelength	1mm_whiteABS00000.asd
350	-1.19947117404281 
351	-0.379403764717627 
352	-0.238891203415448 
353	-3.87637488546466E-02 
354	 0.776000529298776 
355	 0.379053924533994 
356	-1.67006988350068 
357	-0.496925019839739 
358	 0.946956734974349 
359	 1.4314283701347 
360	 1.10790487088548 
361	-0.280795684773147 
362	-0.766978003521465 
363	 0.811096947936556 
364	 0.120652354568718 
365	-0.75117022648529 
366	-0.575770871339512 
367	 0.683296338431369 
368	 0.715375650102092 
369	 5.26913436177776E-02 
370	 9.94047637114076E-02 
371	 0.664594555821569 
372	 1.70690349605979 
373	 2.62284001913721 
374	 1.54491523705522 
375	 0.318904783031438 
376	-0.463105407852484 
377	-0.825628364290544 
378	-1.54424453315251 
379	-0.971064238329005 
380	 1.34645798566452 
381	 1.49492788840973 
382	 0.487436347578296 
383	-0.176822374349576 
384	 1.44767582235718 
385	 0.338432360501835 
386	-0.729361789047784 
387	 1.45611653888418 
388	 2.04545952198344 
389	 2.55006350275057 
390	 3.35893339917294 
391	 2.6351722034242 
392	 2.09320250480889 
393	 2.71386768975363 
394	 4.73408543459241 
395	 3.9770681702223 
396	 3.79732164712466 
397	 6.32980810292592 
398	 8.38435405814451 
399	 9.46401074617554 
400	 10.034995105826 
401	 11.4356561091729 
402	 14.0461081111317 
403	 16.1414079915851 
404	 16.533835689023 
405	 18.8920069383123 
406	 22.4876799752824 
407	 25.889158684319 
408	 26.5084306195665 
409	 29.3632403104304 
410	 33.2457393194631 
411	 34.8673910921827 
412	 39.0188771278129 
413	 43.9212657613847 
414	 47.6861660366559 
415	 50.3378824214137 
416	 54.5024614880919 
417	 59.7559366303731 
418	 62.957061104395 
419	 68.1158326173851 
420	 73.9586867733076 
421	 78.2684601408708 
422	 82.1998422556932 
423	 86.3072497729175 
424	 90.7736829725084 
425	 95.1825803941189 
426	 99.608264559119 
427	 104.554870102463 
428	 110.558929692277 
429	 113.844882514392 
430	 117.395550199941 
431	 123.573972906449 
432	 127.661030640825 
433	 131.0443071032 
434	 134.791604226459 
435	 139.588641833003 
436	 143.381868447992 
437	 146.717108507618 
438	 151.027980817447 
439	 155.869579572186 
440	 159.861284130484 
441	 162.594150750138 
442	 166.636636321007 
443	 169.974439819194 
444	 172.66741904714 
445	 176.606874003321 
446	 180.208682788597 
447	 183.781498021175 
448	 187.936083651925 
449	 191.762591905845 
450	 195.143914720826 
451	 198.103101349246 
452	 200.586642164221 
453	 204.368933882778 
454	 208.627082454516 
455	 210.812788524754 
456	 214.435208444912 
457	 218.457364954873 
458	 221.458548840164 
459	 225.679000304292 
460	 229.881794649104 
461	 233.754013812657 
462	 238.996596603246 
463	 244.502751132477 
464	 249.427720273934 
465	 253.056783097164 
466	 256.704966297592 
467	 261.28286731371 
468	 267.068765469741 
469	 272.259563075295 
470	 277.962695369978 
471	 284.485290273383 
472	 290.905997453397 
473	 296.370439111116 
474	 301.718882611864 
475	 308.590010022178 
476	 316.085780720709 
477	 323.389855079877 
478	 330.087550694533 
479	 337.065215285716 
480	 344.642535199101 
481	 352.835248957115 
482	 361.318958144271 
483	 369.499526120281 
484	 377.531083008822 
485	 385.940772827952 
486	 394.857290775468 
487	 404.339556831739 
488	 414.303900613441 
489	 424.197696460243 
490	 435.128916564734 
491	 446.926535967237 
492	 457.656735881177 
493	 469.384513917041 
494	 481.182268455363 
495	 491.403280880777 
496	 505.083861414022 
497	 519.149734610042 
498	 530.901073850996 
499	 543.047515209079 
500	 555.626974393313 
501	 568.731268880289 
502	 582.602811276689 
503	 596.412353055917 
504	 610.576348387064 
505	 625.970193884592 
506	 642.332023280144 
507	 657.498882302934 
508	 670.452359899237 
509	 684.645037316564 
510	 700.130229119861 
511	 716.913891591711 
512	 735.193178595533 
513	 752.100403047215 
514	 768.719015344422 
515	 787.588600764701 
516	 804.873592471665 
517	 821.643812210475 
518	 839.332443187519 
519	 857.540917914589 
520	 876.655891905747 
521	 896.231339442429 
522	 914.443312846544 
523	 933.477343287849 
524	 952.970068367149 
