Wavelength	Reference_WhitePLA00000.asd
350	 18.8318553225521 
351	 21.0409953327715 
352	 23.3117672893886 
353	 23.1695234173598 
354	 24.9815283888826 
355	 26.5135905609116 
356	 26.0848978516973 
357	 26.885566335052 
358	 28.4280735554358 
359	 30.0237751777788 
360	 30.7901698826463 
361	 31.9034811215188 
362	 32.8787532740084 
363	 33.2917750910083 
364	 34.5811116811124 
365	 36.6313199216774 
366	 38.2473336719802 
367	 36.759081291313 
368	 37.6083554614368 
369	 39.9388298251157 
370	 41.0388709403396 
371	 41.435044015151 
372	 41.5995346760905 
373	 42.3028573655555 
374	 45.1546395123076 
375	 47.7631361161052 
376	 49.0498636330262 
377	 48.7901383134162 
378	 49.3579395576436 
379	 50.5945108375674 
380	 52.0710389853655 
381	 53.8225093108994 
382	 56.7192157921312 
383	 59.8896912324235 
384	 60.9757164856035 
385	 62.7748578615051 
386	 65.4532310052689 
387	 68.6644826858284 
388	 73.12647148372 
389	 77.6918914441468 
390	 81.7029960695243 
391	 85.2189772718233 
392	 89.265169035185 
393	 94.6155697423744 
394	 101.603462178657 
395	 107.772663558039 
396	 114.248160099298 
397	 122.053313556773 
398	 130.763393425891 
399	 140.276043996214 
400	 150.464497601584 
401	 161.240439072087 
402	 174.499205096893 
403	 189.405899020954 
404	 204.572170870802 
405	 219.388060331815 
406	 235.555686166783 
407	 253.975415312123 
408	 274.325799954322 
409	 296.051433912811 
410	 318.788156988035 
411	 342.397851718103 
412	 368.101884588341 
413	 394.444238719373 
414	 420.493426393136 
415	 447.661373213922 
416	 476.082361069943 
417	 505.466703389973 
418	 535.098362137639 
419	 563.984226861042 
420	 592.196269010371 
421	 620.022185565251 
422	 646.594106795361 
423	 673.85477750683 
424	 702.244207444073 
425	 729.200753203972 
426	 754.972653771221 
427	 780.143239692264 
428	 805.519663864642 
429	 829.390908727475 
430	 851.762893646281 
431	 873.119928196634 
432	 894.261757066922 
433	 915.293678617416 
434	 935.93780798504 
435	 955.533187963359 
436	 971.975417390646 
437	 987.97881990612 
438	 1007.36997544532 
439	 1024.62558049649 
440	 1040.53546586091 
441	 1056.27156134278 
442	 1071.74428776531 
443	 1087.13949599558 
444	 1102.56780552341 
445	 1118.07162605999 
446	 1134.02378264321 
447	 1149.12894403748 
448	 1162.39026779073 
449	 1178.20064383499 
450	 1192.20046078757 
451	 1202.97817094817 
452	 1216.68069766778 
453	 1231.85938396049 
454	 1247.3222907308 
455	 1261.70973402048 
456	 1274.99037680231 
457	 1288.47741676402 
458	 1303.66322107117 
459	 1321.32946486844 
460	 1338.11597363062 
461	 1353.31928240695 
462	 1371.36871944183 
463	 1389.48026935355 
464	 1407.17194479141 
465	 1425.15326558059 
466	 1446.3956220329 
467	 1468.39905046204 
468	 1488.91567968022 
469	 1511.54691850349 
470	 1534.88518728607 
471	 1558.45173687247 
472	 1583.40484688749 
473	 1608.76581579219 
474	 1635.3338874018 
475	 1664.60375195738 
476	 1695.47851767055 
477	 1726.53641586943 
478	 1757.05814451012 
479	 1788.85497780401 
480	 1821.97204046779 
481	 1856.06439213291 
482	 1890.11448930359 
483	 1926.86382641458 
484	 1965.14869772214 
485	 2002.39279343448 
486	 2041.53126521813 
487	 2082.78374404837 
488	 2125.74284981762 
489	 2169.51357811644 
490	 2214.23448963769 
491	 2260.52048825377 
492	 2309.82541223385 
493	 2358.63933732474 
494	 2408.0401966554 
495	 2460.66551977049 
496	 2512.90072314799 
497	 2566.04260999848 
498	 2621.39140601243 
499	 2677.71939924385 
500	 2735.31481800943 
501	 2794.05454656767 
502	 2853.35866361691 
503	 2911.51387442328 
504	 2970.7697509047 
505	 3034.55126621127 
506	 3097.68333799927 
507	 3159.62820746847 
508	 3221.61481476373 
509	 3288.0526247816 
510	 3356.56251501656 
511	 3425.55763437868 
512	 3494.34266843305 
513	 3564.55164747946 
514	 3636.08853989701 
515	 3708.39942655414 
516	 3785.314608287 
517	 3862.50908638943 
518	 3936.53657266649 
519	 4011.74299498542 
520	 4088.69361839133 
521	 4167.45195070679 
522	 4247.66852544995 
523	 4327.5327312548 
524	 4407.081752059 
525	 4487.37990029056 
526	 4569.60350548828 
