Wavelength	4mm_WhitePLA00000.asd
350	-0.70795695131244 
351	-0.347767298529398 
352	 0.361020638743571 
353	 0.46825836502911 
354	 0.684714905478546 
355	 0.923392814722279 
356	 0.915924942130209 
357	 0.116086271538558 
358	-0.245576480242884 
359	-0.135392690436942 
360	-0.502549056846899 
361	-0.305412268847101 
362	-0.494177555881541 
363	-1.51692771749698 
364	 0.474652844291252 
365	 1.40950630132546 
366	 0.117458109671972 
367	-0.791536002784991 
368	-0.121423456467289 
369	 0.821490930662638 
370	 0.241799152012821 
371	 0.128690501500746 
372	-0.110961369535358 
373	-0.484694893225645 
374	 0.685452975819886 
375	 1.76539428863302 
376	 1.69589784344647 
377	-6.76039975604689E-02 
378	-0.526876468734758 
379	-0.609480744609473 
380	-1.11631434464308 
381	-0.591372947620196 
382	 0.929745160024597 
383	 1.96457580470198 
384	-0.201138165632571 
385	-0.837767691859502 
386	-0.562656873235364 
387	-0.798681299782421 
388	 0.375101870848365 
389	 1.49436237939047 
390	 1.59015331240916 
391	 0.523076922492443 
392	-0.911706456098967 
393	-1.43310104103327 
394	 6.63978644217909E-02 
395	 1.13204093833511 
396	 1.21795197212531 
397	 0.700193986821936 
398	 1.75699178569153 
399	 1.68789812598256 
400	 0.426476271520878 
401	-8.04398863843853E-02 
402	 0.940422279676737 
403	 2.63924411680891 
404	 3.62314925047715 
405	 2.22887043403934 
406	 1.00529272949579 
407	 1.31245524214535 
408	 2.71680049495917 
409	 3.29521983025337 
410	 3.47215753656343 
411	 4.71398360979415 
412	 7.33225037276729 
413	 9.2059364412567 
414	 9.63002721978711 
415	 12.557947883158 
416	 17.1213507116457 
417	 22.7023363327285 
418	 28.781614190676 
419	 33.8052736472892 
420	 38.5505093451148 
421	 44.1061635658867 
422	 48.9976897221973 
423	 53.9090832019323 
424	 59.2669021966369 
425	 64.8766248712313 
426	 70.0813895926604 
427	 74.7994447227972 
428	 79.371590277879 
429	 85.3740321043808 
430	 90.5925078398257 
431	 93.3131074370113 
432	 96.4371932030562 
433	 98.0126345519684 
434	 98.7332932312813 
435	 102.985591040287 
436	 106.195026956909 
437	 108.343340715133 
438	 110.975571041972 
439	 113.712380772698 
440	 115.514085916498 
441	 116.084232309079 
442	 117.130539333497 
443	 119.426381671886 
444	 122.043883246608 
445	 122.403329749966 
446	 124.641648832555 
447	 127.071303314068 
448	 127.35821205245 
