Wavelength	2mm_WhitePLA00000.asd
350	 0.731731230645759 
351	 0.697373959388878 
352	 0.795745062693586 
353	-9.04612604382939E-02 
354	 0.719735710647398 
355	 1.3983608404404 
356	 0.565670561738369 
357	 0.305745968627967 
358	 1.0949114192478 
359	 1.94517646254025 
360	 0.681083531600976 
361	 0.666196268615978 
362	 0.798349944560048 
363	-0.114668906287822 
364	 1.08325099561787 
365	 2.34866690415301 
366	 2.33556209664509 
367	 0.592735136846564 
368	 0.70673240839395 
369	 1.62580294406628 
370	 1.07616671822584 
371	 0.332539287905478 
372	-3.42297800024858E-02 
373	 0.37375574581273 
374	 1.98511903117633 
375	 3.04340378317889 
376	 2.81227045998475 
377	 1.29683754027187 
378	 0.737775967641569 
379	 0.576264653431135 
380	 7.07660875053166E-02 
381	-0.896371553391475 
382	 0.131868865530186 
383	 2.08238236329224 
384	 0.842169335100068 
385	-1.29704058163541E-02 
386	-0.147061828600876 
387	 6.45923968160896E-02 
388	 0.885857689079083 
389	 1.95014392774719 
390	 2.60363634482961 
391	 1.63196410328706 
392	 1.05665413315127 
393	 0.947747057072034 
394	 0.614981162074932 
395	 0.237163323417354 
396	 0.202968442244444 
397	 0.802530974505557 
398	 2.26490722573845 
399	 2.56169668367147 
400	 1.93763481247691 
401	 2.3935385324721 
402	 2.85918916813892 
403	 3.48830448925479 
404	 4.30696709883094 
405	 3.51850839672467 
406	 2.67436083968627 
407	 2.82202740134515 
408	 4.2586936734054 
409	 4.97557961699564 
410	 5.42221797352384 
411	 7.10157370748138 
412	 10.2102085095262 
413	 13.3433189412751 
414	 15.9289662877249 
415	 20.3138535899019 
416	 25.3338550063947 
417	 30.9698945794497 
418	 38.1623330159242 
419	 45.7347613568041 
420	 52.7420114479587 
421	 58.6293760590863 
422	 64.2627927951154 
423	 71.3250060265744 
424	 79.8133781247656 
425	 86.6456939024563 
426	 91.891204761292 
427	 96.9295414613762 
428	 103.875133947101 
429	 109.935025729581 
430	 114.728488304769 
431	 118.561104158867 
432	 122.3742304093 
433	 125.883875312357 
434	 129.035344769154 
435	 132.125573894545 
436	 134.252068823559 
437	 136.656496036459 
438	 140.933489259628 
439	 143.698720625161 
440	 145.704769677045 
441	 147.801303805106 
442	 149.561394452146 
443	 151.359262690408 
444	 153.264461755286 
445	 155.076341851145 
446	 157.798576345194 
447	 160.301040913312 
448	 161.603629828868 
449	 166.291793440574 
450	 169.108570996923 
451	 168.278399708693 
452	 170.790625108475 
453	 175.568908593866 
454	 180.232507269953 
455	 181.217469298155 
456	 183.097091742838 
457	 185.436421308436 
458	 187.263594318404 
459	 191.097275323162 
460	 194.877474702332 
461	 197.594816190988 
462	 200.309771785097 
463	 203.486098836309 
464	 206.917705861266 
465	 210.004299508236 
466	 213.519499380106 
467	 217.179689099589 
468	 220.829402335235 
469	 225.96318683748 
470	 229.846161799298 
471	 232.434798907199 
472	 238.233526046047 
473	 242.188043340604 
474	 245.193719412315 
475	 250.715781811312 
476	 257.584606370133 
477	 263.733230220342 
478	 268.080421669775 
479	 273.620246159708 
480	 279.775533680236 
481	 285.79564623647 
482	 290.520122996049 
483	 297.178437655024 
484	 304.944317822311 
485	 311.349454181784 
486	 317.551013989135 
487	 324.659554267537 
488	 332.974065725933 
489	 339.938872765177 
490	 347.697775012225 
491	 356.838252444238 
492	 365.974825177638 
493	 375.059318182998 
494	 384.009727264905 
495	 392.847220763922 
496	 401.910869107461 
497	 411.66098892934 
498	 422.326653194491 
499	 433.60883655953 
500	 444.157354340783 
501	 453.916284299367 
502	 464.492735137404 
503	 475.121811589261 
504	 485.981316793761 
505	 497.549250389721 
506	 509.897373919315 
507	 521.075964775835 
508	 530.617548509822 
509	 544.101308133396 
510	 558.10039833669 
511	 571.214471040975 
512	 584.817742483477 
513	 596.685837962707 
514	 608.282352158913 
515	 622.541945667723 
516	 638.313565043266 
517	 653.811902960399 
518	 667.818001715083 
519	 681.384538391844 
520	 695.360185337903 
521	 710.338244210663 
522	 726.792079299061 
523	 742.758584994578 
524	 758.171689022654 
525	 773.94777501904 
526	 791.152971580272 
527	 808.374169522766 
528	 824.257526264521 
529	 839.459468684191 
530	 855.318756671248 
531	 872.158629376548 
532	 888.68410038714 
533	 905.916879546366 
534	 922.571526162462 
535	 936.473449871496 
536	 953.651932063359 
537	 970.759773395552 
538	 984.416389362468 
539	 1000.3016138596 
540	 1017.24756743514 
541	 1033.96980195236 
542	 1049.3411011012 
543	 1064.56827275939 
544	 1079.9604863858 
545	 1095.34293065059 
546	 1110.2391259288 
547	 1125.30123878126 
548	 1141.05271437014 
549	 1155.75281786327 
550	 1170.46383805097 
551	 1185.51659354195 
552	 1199.21377159434 
553	 1213.21757021268 
554	 1227.41663131648 
555	 1240.43779491106 
556	 1254.37327623489 
557	 1267.81507692485 
558	 1278.9523110313 
559	 1290.11489200566 
560	 1302.1430707336 
561	 1314.70275438382 
562	 1325.02258024388 
563	 1334.41272791957 
564	 1342.55668919051 
565	 1347.60487304891 
566	 1353.53740397952 
567	 1359.65539420479 
568	 1363.76054869139 
569	 1366.18707469985 
570	 1366.95093658556 
571	 1366.46985191795 
572	 1366.46483929016 
573	 1365.12054040228 
574	 1362.46936474524 
575	 1360.89906366855 
576	 1356.97778367706 
577	 1351.78266400181 
578	 1347.82485049314 
579	 1340.34077243339 
580	 1332.3586380624 
581	 1326.59791622644 
582	 1319.61564753953 
583	 1314.05890797051 
584	 1309.91002549372 
585	 1302.59312402077 
586	 1296.48639992258 
587	 1291.23433001775 
588	 1284.35255073216 
589	 1278.98152392354 
590	 1275.70250735839 
591	 1274.09894866803 
592	 1271.99435518465 
593	 1270.35582926566 
594	 1270.00171750529 
595	 1271.15790008122 
596	 1273.89501635761 
597	 1278.78140119947 
598	 1286.7096115071 
599	 1296.41179717828 
600	 1306.20108286708 
601	 1314.7949613912 
602	 1324.14058209135 
603	 1333.62101295498 
604	 1343.03618532879 
605	 1353.81860126028 
606	 1364.30166731135 
607	 1375.29250106059 
608	 1389.89421777288 
609	 1407.99802046063 
610	 1428.43037084269 
611	 1449.5245571865 
612	 1470.97099102507 
613	 1492.24718135032 
614	 1512.67290927834 
615	 1530.82472421994 
616	 1548.27582317567 
617	 1565.4902732457 
618	 1581.48959850199 
619	 1598.55181271463 
620	 1617.01366679623 
621	 1636.26189659038 
622	 1655.40091183967 
623	 1673.69455806903 
624	 1691.37396862329 
625	 1712.29310862589 
626	 1732.31982452812 
627	 1750.13346593525 
628	 1769.12283404027 
629	 1788.47792899707 
630	 1806.68400876261 
631	 1821.71647098057 
632	 1837.06128046422 
633	 1851.64160656928 
634	 1864.27577307189 
635	 1878.56800931636 
636	 1893.41079197855 
637	 1907.34641121372 
638	 1918.26292593793 
639	 1930.21615583451 
640	 1943.64077792854 
641	 1956.41140821726 
642	 1970.67347403629 
643	 1985.48316190581 
644	 1999.36876932177 
645	 2013.49861201394 
646	 2028.06251211101 
647	 2043.25032058761 
648	 2059.76372133704 
649	 2075.39528827206 
650	 2090.48781111422 
651	 2107.99317088124 
652	 2124.40766469994 
653	 2140.39361050289 
654	 2157.88550517707 
655	 2175.98378447957 
656	 2194.48990728372 
657	 2213.38236807849 
658	 2233.19446926332 
659	 2251.84336378422 
660	 2269.69261572526 
661	 2290.41777816718 
662	 2311.20354684278 
663	 2331.44449040124 
664	 2351.40956692419 
665	 2371.32851740407 
666	 2392.05996347047 
667	 2414.19508587459 
668	 2437.25585723442 
669	 2459.38967103031 
670	 2480.51458723428 
671	 2503.30105725374 
672	 2528.05754449124 
673	 2554.24438095097 
674	 2580.61570068577 
675	 2606.89501405288 
676	 2633.39388791796 
677	 2660.4286140195 
678	 2687.27804435482 
679	 2715.07086489164 
680	 2744.04755401062 
681	 2772.65323216756 
682	 2800.73350529821 
683	 2828.8507893299 
684	 2858.18949132671 
685	 2888.16032409228 
686	 2918.67908383346 
687	 2949.49575671611 
688	 2978.69940495749 
689	 3008.37689949868 
690	 3039.83776190299 
691	 3072.46989778705 
692	 3102.66272263129 
693	 3131.15222140109 
694	 3162.47116918615 
695	 3192.52139457697 
696	 3221.59384917267 
697	 3250.92589210357 
698	 3278.534946068 
699	 3306.42732923533 
700	 3335.37896341448 
701	 3361.85968109735 
702	 3388.10921734537 
703	 3413.76570950083 
704	 3435.77822469787 
705	 3460.37574911711 
706	 3485.76123322655 
707	 3507.82893120299 
708	 3529.59277659008 
709	 3551.4823997345 
710	 3572.98794429008 
711	 3591.72732145951 
712	 3609.27529133052 
713	 3626.85531474809 
714	 3645.56475494652 
715	 3661.97336839064 
716	 3677.55298489183 
717	 3695.21414901265 
718	 3710.82256004852 
719	 3725.57573968068 
720	 3740.54109825112 
721	 3753.80869473992 
722	 3765.91609194415 
723	 3777.72228189849 
724	 3790.62907429099 
725	 3802.89517311656 
726	 3815.47758883202 
727	 3830.06620073293 
728	 3842.95457535789 
729	 3856.08443785057 
730	 3870.69969662205 
731	 3882.05723824368 
732	 3895.62156875758 
733	 3912.28025539097 
734	 3926.68480877474 
735	 3942.17845017857 
736	 3958.34275069142 
737	 3973.30030995468 
738	 3986.6615119349 
739	 3999.22995314558 
740	 4011.49379787869 
741	 4021.64172262919 
742	 4032.79130276262 
743	 4045.46021263719 
744	 4056.72315704192 
745	 4066.66077670588 
746	 4074.92858254744 
747	 4081.41963064272 
748	 4088.76809624273 
749	 4097.22368369675 
750	 4105.98990625007 
751	 4112.40389656021 
752	 4117.95333995724 
753	 4122.93047079457 
754	 4125.92884484563 
755	 4129.05950895952 
756	 4132.14976983647 
757	 4134.03989965361 
758	 4134.41518044011 
759	 4131.68832942634 
760	 4126.70397472091 
761	 4128.7445565381 
