Wavelength	3mm_WhitePLA00000.asd
350	-1.16251787215082 
351	-0.450851974464624 
352	 1.12119021507095 
353	-0.266384691157436 
354	-0.208255717527476 
355	 0.163560335032118 
356	-0.374726175248012 
357	-0.630036707715424 
358	-4.77041098575511E-02 
359	 0.745128942605543 
360	 0.138987075270522 
361	-0.463548251140707 
362	-1.22131277698496 
363	-2.03681460138981 
364	 1.77946055693078E-02 
365	 1.10049111953636 
366	 0.273556444503643 
367	 0.422436979925578 
368	 0.474442449752457 
369	 2.30151118863151E-02 
370	-0.907134793711578 
371	-0.462447429549175 
372	-0.441807827630862 
373	-1.14414998275276 
374	 0.885963794287283 
375	 1.93018510268318 
376	 1.36808617286917 
377	 0.167976419094684 
378	-0.255936364725387 
379	-0.447549955270612 
380	-0.914417232223512 
381	-1.18144671399451 
382	 7.05556864503983E-02 
383	 1.55282784693097 
384	-0.261340850111948 
385	-1.33761950179074 
386	-1.3262715954262 
387	-0.74521056363071 
388	 0.712025415898821 
389	 1.65164117774863 
390	 1.30949196028953 
391	-0.286604995770246 
392	-0.619986945332705 
393	 0.118295212190085 
394	 0.559426328143445 
395	 0.588789296434669 
396	 0.459686680451924 
397	 0.361741098177591 
398	-1.46382418151829E-02 
399	 0.678157766011327 
400	 2.02070010178819 
401	 2.22301729039227 
402	 1.77956119984515 
403	 1.68776981681666 
404	 2.45534436565785 
405	 1.63910852005158 
406	 0.369737095662718 
407	 0.1040934832712 
408	 2.94927328285518 
409	 4.53088714817273 
410	 4.68057377957579 
411	 5.14848284762103 
412	 7.3420872742109 
413	 9.79295711293749 
414	 11.8316462648189 
415	 16.3290547994552 
416	 20.9408094359072 
417	 25.7977635961334 
418	 33.1578093748747 
419	 38.5721106238074 
420	 43.3503011969848 
421	 49.8185496874926 
422	 56.2745345605065 
423	 62.4670081735728 
424	 68.2072964276454 
425	 73.0617822563242 
426	 78.382895462202 
427	 84.2051083800041 
428	 89.8451069687292 
429	 95.7227862002908 
430	 100.022668255817 
431	 101.956850315152 
432	 105.858980289763 
433	 109.354427436296 
434	 111.842146432462 
435	 115.161300117643 
436	 117.192759310318 
437	 119.372309705456 
438	 123.853606270439 
439	 126.208955139141 
440	 127.478088791681 
441	 128.895704380789 
442	 130.181005522508 
443	 131.789624897582 
444	 133.79562628812 
445	 135.927619516367 
446	 138.672992911105 
447	 140.922507026064 
448	 141.83769773018 
449	 145.558628092602 
450	 148.001364456493 
451	 147.76669079287 
452	 150.424517366307 
453	 154.433849033411 
454	 158.249057895342 
455	 160.052460800673 
456	 161.507488728048 
457	 163.119092597262 
458	 165.296487881577 
459	 169.521217230548 
460	 172.746904034162 
461	 174.225299904305 
462	 177.745765332737 
463	 180.662488615727 
464	 182.851813878134 
465	 185.427723264882 
466	 189.187194688936 
467	 192.977695840915 
468	 195.867737386859 
469	 199.648792600829 
470	 203.13656822371 
471	 206.274174517135 
472	 210.999723505179 
473	 214.901355250815 
474	 218.162765848705 
475	 222.263061653875 
476	 229.047491113426 
477	 235.390423640592 
478	 238.952039231845 
479	 243.311453242097 
480	 248.509578545735 
481	 254.104274312262 
482	 258.962581873377 
483	 264.71599612616 
484	 271.320721151041 
485	 277.916884548674 
486	 282.946122146859 
487	 288.960022898501 
488	 297.439639902515 
489	 303.951713403288 
490	 310.681908961423 
491	 318.534851878733 
492	 326.851773669414 
493	 334.349027240465 
494	 341.675179761502 
495	 350.270747255817 
496	 359.520882126574 
497	 369.401082006392 
498	 379.671279614134 
499	 389.321960241884 
500	 397.660141847027 
501	 405.421884423733 
502	 415.260588727623 
503	 425.947959275918 
504	 436.619803925504 
505	 446.612275053122 
506	 457.787860311401 
507	 468.228495738313 
508	 476.956920351978 
509	 487.99928081302 
510	 500.496860315462 
511	 513.395921953001 
512	 525.376758222033 
513	 536.424256790134 
514	 547.559961451738 
515	 560.283754201972 
516	 574.197896252211 
517	 587.916887487715 
518	 600.399351453197 
519	 612.100441465149 
520	 625.321752733432 
521	 640.4712569102 
522	 655.445961182604 
523	 668.834394502226 
524	 681.960067564684 
525	 697.433039843242 
526	 712.840712572987 
527	 728.078488197593 
528	 743.209042894129 
529	 757.130268564443 
530	 771.376108090805 
531	 786.655980055361 
532	 802.469853681516 
533	 818.0093276613 
534	 832.481871797341 
535	 845.366433769192 
536	 861.261139720496 
537	 877.031557312869 
538	 889.618891082489 
539	 904.043035139238 
540	 919.058607108264 
541	 933.79101769306 
542	 948.602661201555 
543	 962.451649010033 
544	 975.897564533033 
545	 990.48523061873 
546	 1004.68091852236 
547	 1018.47659860352 
548	 1032.20900700101 
549	 1046.04642934254 
550	 1059.86685506469 
551	 1073.25788334014 
552	 1084.94438159879 
553	 1097.40185105213 
554	 1110.91044778302 
555	 1124.14823618544 
556	 1136.84989592339 
557	 1148.35749845289 
558	 1158.46789389029 
559	 1170.18976402551 
560	 1181.73889582314 
561	 1191.73103350343 
562	 1200.78684639245 
563	 1209.32652900144 
564	 1216.97976545963 
565	 1222.53289502113 
566	 1228.76656747375 
567	 1234.46847549553 
568	 1237.39278474538 
569	 1239.4120418962 
570	 1240.56047039131 
571	 1240.86198752305 
572	 1241.13068840766 
573	 1240.01166840138 
574	 1237.56604126705 
575	 1235.67330959371 
576	 1231.36763429793 
577	 1226.5635400998 
578	 1224.54602613132 
579	 1218.17441277573 
580	 1210.79109142998 
581	 1205.6861361032 
582	 1199.01855368239 
583	 1194.04272320031 
584	 1190.84851508636 
585	 1184.1432437661 
586	 1179.04725070876 
587	 1175.02980690941 
588	 1168.98794885362 
589	 1164.4804620788 
590	 1161.83672108135 
591	 1160.37982412607 
592	 1158.11468670985 
593	 1156.98923139581 
594	 1157.69427555624 
595	 1157.95417400981 
596	 1160.31895526114 
597	 1165.02171945382 
598	 1170.82820872979 
599	 1179.3405567737 
600	 1188.82624237064 
601	 1197.1235576846 
602	 1205.36990854106 
603	 1214.05277601935 
604	 1223.16271976895 
605	 1231.42321384042 
606	 1240.67777280384 
607	 1251.75026688281 
608	 1264.61168450532 
609	 1280.99826922404 
610	 1300.17268082315 
611	 1320.36110896612 
612	 1340.09813532126 
613	 1359.06531786708 
614	 1377.06145266757 
615	 1393.34987043185 
616	 1409.13491198768 
617	 1424.9389329144 
618	 1440.42655785466 
619	 1457.07699567931 
620	 1474.01422128299 
621	 1489.61887944733 
622	 1507.75619847548 
623	 1525.5909236037 
624	 1541.25883935918 
625	 1561.61023516 
626	 1580.54216143447 
627	 1596.00105029965 
628	 1612.70117343716 
629	 1629.56830497485 
630	 1646.28033098631 
631	 1662.58398730692 
632	 1677.36483009021 
633	 1690.35955789699 
634	 1701.91505714884 
635	 1713.70934352714 
636	 1726.91294551191 
637	 1740.85230238695 
638	 1750.77592862763 
639	 1761.82561304731 
640	 1774.82865919263 
641	 1787.670240669 
642	 1799.14894059121 
643	 1811.2854625581 
644	 1826.23610142351 
645	 1839.86747401506 
646	 1852.58696498545 
647	 1865.5786857783 
648	 1881.16857443582 
649	 1895.60947207667 
650	 1908.8561488992 
651	 1924.48452883989 
652	 1939.84673668674 
653	 1955.45580787265 
654	 1972.57149840868 
655	 1989.22406871147 
656	 2005.1606782394 
657	 2021.11017002507 
658	 2040.42700278071 
659	 2058.51011745265 
660	 2074.85816161321 
661	 2094.39087086769 
662	 2112.7835137213 
663	 2130.35984578953 
664	 2149.24288383517 
665	 2168.02133994317 
666	 2187.23653221141 
667	 2207.35644334602 
668	 2227.32246340854 
669	 2247.53508786831 
670	 2268.21082651337 
671	 2289.10621916913 
672	 2311.27232698677 
673	 2334.82710592398 
674	 2359.3106372811 
675	 2383.85147166663 
676	 2407.76742038463 
677	 2431.19403011532 
678	 2457.77196980126 
679	 2484.36680363209 
680	 2509.70131963702 
681	 2536.85494414656 
682	 2563.75106885378 
683	 2589.76986126392 
684	 2615.18059344542 
685	 2643.02070640487 
686	 2672.36714079246 
687	 2701.10667248043 
688	 2727.25578669681 
689	 2754.32824987737 
690	 2783.99314172672 
691	 2813.07000523293 
692	 2840.87897367228 
693	 2868.06157185755 
694	 2896.57940647791 
695	 2924.22025210314 
696	 2951.47937220672 
697	 2979.15365830798 
698	 3003.72691660901 
699	 3028.91531885136 
700	 3056.32709226343 
701	 3079.91673178289 
702	 3104.28004341218 
703	 3129.14684980758 
704	 3149.36699260488 
705	 3171.3104327829 
706	 3194.37346112697 
707	 3215.78956447191 
708	 3236.74799551158 
709	 3257.00437684553 
710	 3276.03068549207 
711	 3292.66867108538 
712	 3308.80101543864 
713	 3325.66900382955 
714	 3344.1049893998 
715	 3359.57904367849 
716	 3373.39630550819 
717	 3388.83616518281 
718	 3402.7862151739 
719	 3416.91687341032 
720	 3432.07373093147 
721	 3444.34296863608 
722	 3455.32268678893 
723	 3466.19096527825 
724	 3477.65655065982 
725	 3489.91327010151 
726	 3502.27165945707 
727	 3513.77300685715 
728	 3525.98929565526 
729	 3538.67366983514 
730	 3551.17578687421 
731	 3562.18489417367 
732	 3574.72040793463 
733	 3589.48537352297 
734	 3604.22365134777 
735	 3618.06236306539 
736	 3632.32487534887 
737	 3648.87340169254 
738	 3661.49566165088 
739	 3672.38172896197 
740	 3684.02077221835 
741	 3694.75253031877 
742	 3704.61681314787 
743	 3714.43792696748 
744	 3726.4323855982 
745	 3735.90154914216 
746	 3743.16284317798 
747	 3750.67267678197 
748	 3757.96699946572 
749	 3765.18024984426 
750	 3772.26055389039 
751	 3778.42139602358 
752	 3783.97020858168 
753	 3788.85224892953 
754	 3792.45237680454 
755	 3796.0855064911 
756	 3799.30749474859 
757	 3800.94338383223 
758	 3800.94223530949 
759	 3798.91821923102 
760	 3795.93132697263 
761	 3797.96265108445 
762	 3799.72886120741 
763	 3799.69737357675 
764	 3800.71425449802 
765	 3802.63515513598 
766	 3803.72634541977 
767	 3801.85532201307 
768	 3798.86254873828 
769	 3795.97224882074 
770	 3793.63291721708 
771	 3790.40775294006 
772	 3786.81588222675 
773	 3783.00068742867 
774	 3778.74039770205 
775	 3774.47307087985 
776	 3769.46194092603 
777	 3763.03228959524 
778	 3758.32230488088 
779	 3752.88072635653 
780	 3745.05202196318 
781	 3736.23884800943 
782	 3728.7759483247 
783	 3721.77945517962 
784	 3711.56492703065 
785	 3702.06350960337 
786	 3693.1411832327 
787	 3683.50121073794 
788	 3671.94647635795 
789	 3660.49677122086 
790	 3650.12154387426 
791	 3639.15973751571 
792	 3629.15266117218 
793	 3618.28947424098 
794	 3602.87343516737 
795	 3589.15568571383 
796	 3576.76517775475 
797	 3564.15840782257 
798	 3551.77207499496 
799	 3539.46803092875 
800	 3526.8341911736 
801	 3512.85544790797 
802	 3499.56475286524 
803	 3486.98947299671 
804	 3474.26450998756 
805	 3461.81448074898 
806	 3449.23752291773 
807	 3435.93232431964 
808	 3420.8166343055 
809	 3406.1463264827 
810	 3391.98430261266 
811	 3375.95780999442 
812	 3360.53483349915 
813	 3346.02195218432 
814	 3331.8818225189 
815	 3317.11550061989 
816	 3301.33946955342 
817	 3284.98905668375 
818	 3270.22511423962 
819	 3255.46008030654 
820	 3239.99643509535 
821	 3223.62829039866 
822	 3205.71505674397 
823	 3187.82900850424 
824	 3171.36648874968 
825	 3154.5541016503 
826	 3138.9756319256 
827	 3124.80827630272 
828	 3110.17641886016 
829	 3094.36592252556 
830	 3076.87560137034 
831	 3057.43278554039 
832	 3035.63119985607 
833	 3013.5027651725 
834	 2992.98694145405 
835	 2975.21903089649 
836	 2958.3499273647 
837	 2942.23143729829 
838	 2928.10826618067 
839	 2918.5679292085 
840	 2910.10538352182 
841	 2898.66960139322 
842	 2885.91808339825 
843	 2871.65547166638 
844	 2856.11500648899 
845	 2840.25607224208 
846	 2824.14972669945 
847	 2807.69879951704 
848	 2790.79043506164 
849	 2774.38097480785 
850	 2758.25497880305 
851	 2741.89965148198 
852	 2724.34251503631 
853	 2707.04847342852 
854	 2690.21283066799 
855	 2673.14118807535 
856	 2657.07968045599 
857	 2641.31712278021 
858	 2624.57686015554 
859	 2604.95188702618 
860	 2585.98270014024 
861	 2569.18993152532 
862	 2553.48437763447 
863	 2537.53584385407 
864	 2520.63173095361 
865	 2502.75977109326 
866	 2486.7362018724 
867	 2468.75608242025 
868	 2448.1312107519 
869	 2431.64713546308 
870	 2415.53267317657 
871	 2399.53895924427 
872	 2384.7210522517 
873	 2368.10319325182 
874	 2350.44611191069 
875	 2332.63163016178 
876	 2313.92397071163 
877	 2295.20986872952 
878	 2277.16588080255 
879	 2260.18482708461 
880	 2240.28112589599 
881	 2219.3180537741 
882	 2199.68144512321 
883	 2179.86054852147 
884	 2159.80286734898 
885	 2138.93053190934 
886	 2115.98802371136 
887	 2092.16992245353 
888	 2068.18518743005 
889	 2044.67569907797 
890	 2022.53983797393 
891	 2001.20878290279 
892	 1980.26132007445 
893	 1959.49561766413 
894	 1941.48322823117 
895	 1924.81599688305 
896	 1907.07782775248 
897	 1891.72998000982 
898	 1877.63633810211 
899	 1864.14203991094 
900	 1852.30927558712 
901	 1843.34122797504 
902	 1836.40170924851 
903	 1829.74421613436 
904	 1824.60096205559 
905	 1821.15022900838 
906	 1818.12101567624 
907	 1810.98662711357 
908	 1802.96807376512 
909	 1794.0465101611 
910	 1782.62406198642 
911	 1771.03639430052 
912	 1759.42166894132 
913	 1747.83355026079 
914	 1737.54726078743 
915	 1724.84384396373 
916	 1710.44294051617 
917	 1697.92498577426 
918	 1684.48026332039 
919	 1671.06633233721 
920	 1658.49670853138 
921	 1645.51122589923 
922	 1630.33995764482 
923	 1614.81120092467 
924	 1603.1402672101 
925	 1590.63617868328 
926	 1577.18374079121 
927	 1563.44978585624 
928	 1549.86465904188 
929	 1534.63987056018 
930	 1518.11990048364 
931	 1502.2107303931 
932	 1485.85445756627 
933	 1470.12379869942 
934	 1455.73055985167 
935	 1441.25206076246 
936	 1427.39474954836 
937	 1413.64674453585 
938	 1398.80754448502 
939	 1385.57153866201 
940	 1371.3371692339 
941	 1354.80736924903 
942	 1341.00836497605 
943	 1326.84106151296 
944	 1312.19130792481 
945	 1298.63994608038 
946	 1284.12123664066 
947	 1269.30614036673 
948	 1255.2647582732 
949	 1243.36469695354 
950	 1229.2398085893 
951	 1213.96788029658 
952	 1201.19728842508 
953	 1187.18788281321 
954	 1174.00738271975 
955	 1162.00837266727 
956	 1146.0729656672 
957	 1131.46980216193 
958	 1118.24006849324 
959	 1104.36911242113 
960	 1090.08609061262 
961	 1077.22627055645 
962	 1065.39815130088 
963	 1050.29123743632 
964	 1035.28275363572 
965	 1021.17882757973 
966	 1660.79913400952 
967	 1680.70806296881 
968	 1703.31799828832 
969	 1727.07629493119 
970	 1753.6511256971 
971	 1778.82567212257 
972	 1804.00551985132 
973	 1831.43342721432 
974	 1859.01633837345 
975	 1888.11468816594 
976	 1920.61850292124 
977	 1952.35446679001 
978	 1979.15126647965 
979	 2006.57574320834 
980	 2030.74048032959 
981	 2053.64878729057 
982	 2078.48043748923 
983	 2098.85905390147 
984	 2118.81199925604 
985	 2139.30193186506 
986	 2158.89109098069 
987	 2178.74875490923 
988	 2197.97802417965 
989	 2217.50628086572 
990	 2232.45937196726 
991	 2242.28167636301 
992	 2255.63222668286 
993	 2266.71371433484 
994	 2282.24014127411 
995	 2301.03951917088 
996	 2318.52571884093 
997	 2332.72956493016 
998	 2348.47697382581 
999	 2363.08040452764 
1000	 2379.43595881776 
1001	 2399.68489801942 
1002	 2413.55154384418 
1003	 2430.49447432258 
1004	 2450.94956148341 
1005	 2468.71501849571 
1006	 2487.11455435374 
1007	 2506.28101619159 
1008	 2525.23529053551 
1009	 2539.86614827152 
1010	 2559.31006929438 
1011	 2576.72778065934 
1012	 2594.44762570812 
1013	 2615.22041948712 
1014	 2632.67466213931 
1015	 2650.26725975001 
1016	 2666.85425862457 
1017	 2679.9609159588 
1018	 2696.20204429804 
1019	 2715.00941527213 
1020	 2735.52200357901 
1021	 2755.63695600655 
1022	 2769.70594177401 
1023	 2786.10958171693 
1024	 2800.98626565977 
1025	 2817.12638791043 
1026	 2835.29776018147 
1027	 2857.94985945335 
1028	 2876.23941479198 
1029	 2892.73933898692 
1030	 2910.19772781383 
1031	 2923.75763035876 
1032	 2943.83854383808 
1033	 2965.30756161585 
1034	 2978.5048618975 
1035	 2995.1540818712 
1036	 3010.33708986481 
1037	 3021.25512835585 
1038	 3036.18084094518 
1039	 3052.2021941329 
1040	 3069.8099426429 
1041	 3090.39873988747 
1042	 3108.07244222225 
1043	 3125.72567770455 
1044	 3143.41550489507 
1045	 3160.15907378771 
1046	 3174.65579260842 
1047	 3189.575517629 
1048	 3208.38595583638 
1049	 3227.19378096374 
1050	 3244.43113152833 
1051	 3263.76058573559 
1052	 3280.70706835218 
1053	 3295.89017019886 
1054	 3312.35052270501 
1055	 3326.71974188669 
1056	 3342.5167744062 
1057	 3355.84197978372 
1058	 3365.17520138205 
1059	 3377.36792781097 
1060	 3388.62365178217 
1061	 3402.25552255015 
1062	 3418.04299520352 
1063	 3434.58085224958 
1064	 3451.82499785154 
1065	 3468.62169109335 
1066	 3482.5792669458 
1067	 3497.18706676272 
1068	 3510.2453858378 
1069	 3524.07505429902 
1070	 3540.99301697067 
1071	 3558.29002851491 
1072	 3575.02661710202 
1073	 3591.8301437358 
1074	 3610.23314789629 
1075	 3630.14722112589 
1076	 3647.05366196817 
1077	 3663.38007996133 
1078	 3681.56794432083 
1079	 3698.66454612216 
1080	 3715.39760476192 
1081	 3731.86974993047 
1082	 3751.67901655949 
1083	 3773.34950583344 
1084	 3792.03286774275 
1085	 3811.58686326287 
1086	 3837.49033812725 
1087	 3857.578591502 
1088	 3877.97523241423 
1089	 3904.68007348834 
1090	 3929.70189396419 
1091	 3955.79689810146 
1092	 3982.98686361028 
1093	 4009.56075525931 
1094	 4035.07321178261 
1095	 4063.47752762988 
1096	 4094.15465700972 
1097	 4123.47396068461 
1098	 4152.09178737932 
1099	 4184.20722295019 
1100	 4215.9323310119 
1101	 4249.96472522696 
1102	 4291.07488604058 
1103	 4327.79880414246 
1104	 4361.7526747868 
1105	 4397.12500963197 
1106	 4433.80130294144 
1107	 4470.43460897456 
1108	 4509.79272700691 
1109	 4549.12449394513 
1110	 4587.06012308521 
1111	 4622.8167072172 
1112	 4661.42592763997 
1113	 4700.59457978819 
1114	 4740.25264440949 
1115	 4782.25518015949 
1116	 4821.99190431883 
1117	 4863.34040841232 
1118	 4899.87359639875 
1119	 4934.83926127005 
1120	 4966.14112654202 
1121	 4993.09448517476 
1122	 5018.64914586799 
1123	 5041.42630819473 
1124	 5062.71363386235 
1125	 5082.71998937404 
1126	 5099.61325208533 
1127	 5114.74858337705 
1128	 5127.66697089148 
1129	 5139.69472636932 
1130	 5147.4843030328 
1131	 5160.55653343875 
1132	 5172.60081850278 
1133	 5190.22345826683 
1134	 5210.87079849226 
1135	 5235.50863569979 
1136	 5264.56752980589 
1137	 5295.1117850663 
1138	 5330.46017301225 
1139	 5365.05183087455 
1140	 5403.7101389421 
1141	 5437.94352248167 
1142	 5474.45998664697 
1143	 5504.07372763109 
1144	 5532.24733684659 
1145	 5551.80537991173 
1146	 5566.74091592826 
1147	 5573.12340922321 
1148	 5571.75044253054 
1149	 5563.49634213132 
1150	 5544.16658035032 
1151	 5514.91084157446 
1152	 5480.26247574939 
1153	 5433.90842456743 
1154	 5387.96713181378 
1155	 5334.25605509207 
1156	 5285.19115962455 
1157	 5232.80083520223 
1158	 5184.43983335156 
1159	 5139.6907886769 
1160	 5093.64851982995 
1161	 5046.2710641256 
1162	 5002.78634018688 
1163	 4960.08938553496 
1164	 4920.5277397689 
1165	 4884.33542580541 
1166	 4850.21043556978 
1167	 4817.31251580672 
1168	 4787.55105681715 
1169	 4760.53224448812 
1170	 4738.38807658174 
1171	 4726.61668428523 
1172	 4717.75727538637 
1173	 4727.25325649204 
1174	 4746.30322178679 
1175	 4783.0230764124 
1176	 4833.73458697969 
1177	 4899.96592575199 
1178	 4982.44004933732 
1179	 5077.49366800327 
1180	 5189.54861059139 
1181	 5309.63983775333 
1182	 5446.07206160027 
1183	 5584.44285399053 
1184	 5741.22072893248 
1185	 5884.77454046024 
1186	 6032.17117209899 
1187	 6169.71278895488 
1188	 6300.98891383093 
1189	 6423.65302849321 
1190	 6540.6275016868 
1191	 6649.47816449139 
1192	 6747.2598015865 
1193	 6831.89258135488 
1194	 6902.83013590304 
1195	 6967.95571103509 
1196	 7030.45348560725 
1197	 7082.7898097803 
1198	 7138.04599217633 
1199	 7192.46789578332 
1200	 7244.5268200142 
1201	 7292.12129780576 
1202	 7342.56893760202 
1203	 7392.23526442072 
1204	 7443.54725774321 
1205	 7497.06944089692 
1206	 7549.13421893612 
1207	 7602.27190905378 
1208	 7653.02521797106 
1209	 7701.43927091906 
1210	 7750.86070359746 
1211	 7800.42944161584 
1212	 7849.26581409898 
1213	 7896.53302292799 
1214	 7938.24153594984 
1215	 7974.20879019529 
1216	 8007.44143270894 
1217	 8040.19840726404 
1218	 8075.45519711963 
1219	 8104.9156380613 
1220	 8130.26818552855 
1221	 8155.12722541381 
1222	 8176.19198558946 
1223	 8194.64933393678 
1224	 8212.1643056824 
1225	 8228.62811367277 
1226	 8239.81850545496 
1227	 8253.85326536556 
1228	 8270.05482009364 
1229	 8283.08914297545 
1230	 8293.19261112931 
1231	 8305.53399904872 
1232	 8316.74578772529 
1233	 8330.77122097084 
1234	 8349.33056263881 
1235	 8364.11000383048 
1236	 8378.03574637076 
1237	 8391.74178453089 
1238	 8403.97737590407 
1239	 8415.74016291901 
1240	 8428.49971627702 
1241	 8442.26930641306 
1242	 8456.29898437564 
1243	 8471.6722216047 
1244	 8488.2689807703 
1245	 8503.93381277927 
1246	 8517.47887734088 
1247	 8531.46082026953 
1248	 8547.32223352954 
1249	 8561.62669496469 
1250	 8575.9737259677 
1251	 8591.0409552506 
1252	 8605.72530291758 
1253	 8617.94391005412 
1254	 8633.05633372818 
1255	 8650.5135278386 
1256	 8666.79037105504 
1257	 8684.06630159459 
1258	 8701.30312807075 
1259	 8717.67359560506 
1260	 8734.36092735445 
1261	 8751.10138334917 
1262	 8769.11071887528 
1263	 8786.01995737382 
1264	 8801.59180297283 
1265	 8816.52152455121 
1266	 8828.71100191475 
1267	 8841.53740203494 
1268	 8854.02580249862 
1269	 8863.29108937475 
1270	 8872.16148369699 
1271	 8876.03856935099 
1272	 8875.58578209116 
1273	 8874.59612899222 
1274	 8870.42027887501 
1275	 8868.29000694633 
1276	 8867.21392928939 
1277	 8861.51742912708 
1278	 8858.01256180464 
