Wavelength	1mm_blackPC00000.asd
350	 0.178029448698397 
351	 0.605970262011899 
352	 1.15518780734133 
353	 0.43720517144716 
354	 0.562959197992451 
355	 1.84585785603628 
356	 3.294452546078 
357	 0.681010412825155 
358	-0.568114335413961 
359	 0.468138620925515 
360	 0.976468227883601 
361	 1.91945808277826 
362	 2.27374160906579 
363	 1.29632609767927 
364	 1.03117558280032 
365	 0.819087630211274 
366	 0.746195393024555 
367	 2.02227980594344 
368	 1.74695596030376 
369	 0.537947754099238 
370	 6.31424708069321E-02 
371	 4.45733041694984E-02 
372	 0.760220193111787 
373	 1.73408827534007 
374	 0.791783524805611 
375	 0.214906444207802 
376	 0.22600663017356 
377	 0.10125584855748 
378	 6.49823167134793E-02 
379	-0.224449246585839 
380	-0.728592854094605 
381	 0.020029546685944 
382	 0.164626532851779 
383	-0.016151350172075 
384	 1.5421395135429 
385	 1.09176980626712 
386	 0.295753472843383 
387	 1.20967151620971 
388	 0.685137564364874 
389	-1.07964796317518E-02 
390	 2.87710896109257E-03 
391	 0.889632827123357 
392	 0.829278459688639 
393	 0.818714763847804 
394	 2.53263195950949 
395	 1.75367732961837 
396	 0.857239124831893 
397	 1.34639987442722 
398	 0.252962250221214 
399	-0.608392904371354 
400	-0.418125436523606 
401	 0.894052255833885 
402	 0.569463351292169 
403	 0.302756526964748 
404	 1.90793314913293 
405	 2.62263379843262 
406	 1.71819888331604 
407	-9.58754260750037E-02 
408	-4.5640995233945E-03 
409	 9.45707608405677E-02 
410	 0.492540566370623 
411	 1.9946987408873 
412	 1.77582679684533 
413	 1.04901777484515 
414	 1.09637130258969 
415	 2.10216104540216 
416	 1.16320814922468 
417	-0.941068498406029 
418	-0.134165080637974 
419	 1.07493061962968 
420	 1.16811465547168 
421	-0.403928859368832 
422	-0.157209253942787 
423	 0.479956412412798 
424	 0.578851793328578 
425	 0.635328523060259 
426	 1.44585457850292 
427	 2.23932989311702 
428	 1.41362241787415 
429	-8.47372185979376E-02 
430	-1.13515801139003 
431	-0.923635744323768 
432	 0.270660612423073 
433	 1.54687729054495 
434	 2.09834450040425 
435	 1.11141609890199 
436	 0.165800007531633 
437	 1.22796609360909E-02 
438	 0.807981073243383 
439	 0.347419157028321 
440	 0.185546136286308 
441	 1.19203088424972 
442	 1.25347281653684 
443	-0.14574819640041 
444	-1.76503834021981 
445	-0.641013855451759 
446	-0.477272794055894 
447	-0.617475572465577 
448	 0.295269797065733 
449	-0.502145106356991 
450	-0.922691805014678 
451	 3.69346425346143E-03 
452	 7.12679060983044E-02 
453	 0.427924105117925 
454	 1.07971098865938 
455	 1.33314102633166 
456	 0.917868895224264 
457	 0.1566627051997 
458	-0.458515451197093 
459	-0.593553304919728 
460	-0.181296663427593 
461	 0.553901822787503 
462	 0.896410823177372 
463	 1.17092209417545 
464	 0.967564686813998 
465	-0.360608933747014 
466	-0.771975545917955 
467	-0.149334165436066 
468	 0.878719849595786 
469	 0.533976066451082 
470	-8.96476910724958E-02 
471	-0.439527922474127 
472	-0.893884613911296 
473	-1.22164856734398 
474	-1.08695326890736 
475	-0.14614811442421 
476	 1.19781517342533 
477	 1.82844704498547 
478	 1.02784492592686 
479	-0.358451431135761 
480	-1.26072649044755 
481	-1.16117580383461 
482	-0.110851492733358 
483	 0.216774284516941 
484	 2.68948708260964E-02 
485	 0.26137527807762 
486	-0.578465700039682 
487	-1.07947034000219 
488	-0.429985944451995 
489	-1.6443749881259 
490	-1.41043110011401 
491	 0.302197438551801 
492	-0.976954133501674 
493	-0.530264941561922 
494	 1.00751964470555 
495	 1.00182175482362 
496	 0.562191465435569 
497	-0.674770195928347 
498	-2.45593054188891 
499	-1.76027322131142 
500	-1.25525742520514 
501	-1.33913162665821 
502	 0.677825851977186 
503	 1.34368767870128 
504	 0.39160990777615 
505	-0.998355923349837 
506	-1.21082978817679 
507	-1.04547627469484 
508	-1.07708874609671 
