Wavelength	2mm_blackPETG00000.asd
350	 0.739809153875529 
351	 0.462987140071332 
352	-0.724146564418604 
353	-0.973447688050198 
354	 0.430646566769995 
355	 1.51789160011766 
356	 0.842398053329809 
357	-0.247219308334421 
358	-1.02146704097364 
359	-0.820654077465853 
360	 0.826436124237691 
361	-0.24833894144574 
362	-1.01546919485993 
363	 1.33847437237694 
364	 1.0728296145955 
365	 0.502875193761261 
366	 0.573879021196064 
367	 0.222987251961306 
368	 0.808620203059241 
369	 1.41030643955518 
370	 0.641391348991861 
371	-0.736842095871653 
372	-0.833145757376494 
373	 0.444015622065422 
374	-0.579173628846997 
375	-0.868743645686568 
376	-0.134955329414468 
377	 0.647419715883347 
378	 1.49502353621052 
379	 1.15224077620265 
380	-0.649111387807279 
381	-1.1018150441385 
382	-0.207626570311309 
383	 1.03846016100363 
384	 0.712294148126102 
385	-0.887174081871934 
386	-1.74043447259522 
387	-0.493556218426695 
388	-1.41231695036831 
389	-1.71962616918031 
390	-0.547040720259142 
391	-0.266952784452914 
392	-1.26705008905817 
393	-1.98719537526967 
394	-0.447576040319477 
395	-0.336011552759801 
396	-1.13931291805689 
397	-1.61379056027113 
398	 0.295827278550119 
399	 0.363898366368598 
400	-0.989459387793996 
401	 0.15481454339823 
402	 0.838764918140101 
403	 0.621522174243217 
404	 0.101189234108378 
405	 2.19210929282809 
406	 2.32821419352304 
407	-0.308225413378006 
408	-0.491275278734272 
409	-0.316292794004284 
410	-0.471142406377883 
411	-1.08405392346703 
412	-0.60878608785648 
413	 4.14517364906804E-02 
414	-1.71378462440229E-02 
415	-0.776946703574739 
416	-1.01954294149146 
417	-0.521150199945153 
418	 5.94425331166474E-02 
419	 0.769586520846889 
420	 0.817355516458137 
421	-0.22692629159455 
422	 0.359306201994418 
423	 0.880013874734224 
424	 0.241397297190438 
425	-1.30178171739105 
426	-1.76170357583496 
427	-1.20625887144474 
428	-0.854812183206413 
429	-0.193573111511769 
430	 0.29878340149028 
431	 0.195108995741617 
432	-0.191968311279863 
433	-0.800558961906208 
434	-1.27094650576722 
435	-0.758032029013284 
436	-1.03796939143798 
437	-1.38558501172324 
438	-0.46670869390148 
439	-1.0733799782121 
440	-1.04919304256121 
441	 0.511694449217995 
442	-0.698219780955041 
443	-1.229241458858 
444	-0.456872882492095 
445	-0.19423544204447 
446	-1.02385816559738 
447	-1.00871497985464 
448	 1.41775330364715 
449	 2.87054347164283E-02 
450	-0.665044449598473 
451	 0.961489072656887 
452	-1.95671100719807 
453	-2.23696989011374 
454	-0.161436401632337 
455	-0.823366702614478 
456	-2.09964593845805 
457	-2.37622881995702 
458	-0.926948734911448 
459	-1.15824322341664 
460	-0.913428084106328 
461	 0.270450914996617 
462	-0.855250596481265 
463	-1.41531076808438 
464	-0.987374617358109 
465	-0.380087160665425 
466	-0.228294308817472 
467	-0.68426146254804 
468	-1.42911332139583 
469	-0.824252301680158 
470	-0.134465580793357 
471	-0.165795575058561 
472	-1.12890158205788 
473	-1.18320448668847 
474	-0.652995853554614 
475	-0.806109726288676 
476	-3.04308403908682E-02 
477	 0.164108608306693 
478	-1.12044875113636 
479	-0.583227272172902 
480	-0.442145736102988 
481	-1.31544518359491 
482	-1.60485352538547 
483	-1.26962489014824 
484	-0.942368873011402 
485	-1.52775984299929 
486	-2.2005469725358 
487	-1.77852863986832 
488	-0.115409332585234 
489	-0.726107597650187 
490	-1.11098990405158 
491	-0.87560501689375 
492	-2.52165167270861 
493	-3.16689301383504 
494	-2.2158486435958 
495	-0.285252676384367 
496	-0.443149764567379 
497	-1.7084480419082 
498	-2.37446883712957 
499	-0.255832318906974 
500	-0.224001477319855 
501	-2.67723240678031 
502	-2.24257543833849 
503	-0.971414932195193 
504	-0.34362802069774 
505	-1.57896222374503 
506	-2.43674011071434 
507	-2.59344855380744 
508	-2.34423593833338 
509	-3.19480393721323 
510	-2.11144648504971 
511	 0.480069428769177 
512	-0.672584614236946 
513	-1.7647351373478 
514	-2.25885918425488 
515	-2.84149510426583 
516	-3.71527030187905 
517	-3.11531316993551 
518	-0.437553073554946 
519	-0.181965473787197 
520	-0.911449824118365 
521	-1.74847691016314 
522	-2.74181773885048 
523	-3.4770901460368 
524	-3.09618286718363 
525	-0.888181159561384 
526	-1.57659360678305 
527	-2.88380256755774 
528	-2.45244912578537 
529	-3.27509709499415 
530	-3.50954380910371 
531	-2.6061477953236 
532	-2.31433060415847 
533	-0.912862584601457 
534	 0.418503985162624 
535	-0.873785997619088 
536	-2.57333776241956 
537	-3.21004133983635 
538	-2.23150457811945 
539	-2.3912397150595 
540	-2.47453135406502 
541	-1.95875597159668 
542	-1.90441997635737 
543	-1.61336814928114 
544	-1.36475564918893 
545	-1.94956993298219 
546	-1.44559035715668 
547	-1.1772278006288 
548	-2.517545120836 
549	-2.66521168814747 
550	-2.77130075699581 
551	-3.25243285819218 
552	-2.419088150335 
553	-0.813578354350617 
554	 0.115036028217045 
555	-1.91446384638903 
556	-1.78920953794608 
557	-1.47583280723651 
558	-3.89285113398691 
559	-4.06945330374934 
560	-2.25237010639995 
561	 6.86840805241083E-02 
562	-0.441465348667594 
563	-2.01800458579455 
564	-3.11145780411233 
565	-2.05360598495105 
566	-1.58789298956643 
567	-1.38631355144427 
568	-0.390017755858614 
569	-0.77564308844093 
570	-1.39025465257665 
571	-1.40046010574938 
572	-2.27978043687928 
573	-2.92032827798796 
574	-2.57961611986925 
575	-0.715265177821312 
576	 0.069909929226516 
577	-0.335462598569414 
578	-1.00709689312531 
579	-2.62031927435534 
580	-4.20724405784672 
581	-4.59040700779485 
582	-2.42553711486853 
583	-0.731769444434912 
584	-0.820143662647792 
585	-1.58900855617664 
586	-1.89506911201119 
587	-1.95043623421161 
588	-2.67784800971761 
589	-2.28448874819795 
590	-1.36534917307583 
591	-0.97848245665568 
592	-1.8301548677137 
593	-2.63227940558367 
594	-2.76119147265824 
595	-2.99780299066726 
596	-3.1258040006827 
597	-2.80111398884906 
598	-1.56565508207297 
599	-1.17481132171683 
600	-1.80652556131133 
601	-2.84366182867302 
602	-1.88364199328519 
603	-0.767709555720096 
604	-0.875831817672931 
605	-1.84659149149616 
606	-2.3625103220477 
607	-2.15137988702963 
608	-1.86464447228299 
609	-2.97072797716113 
610	-3.8243896471126 
611	-2.15742746629592 
612	-0.801024390251113 
613	-0.344255611341572 
614	-0.798680064623542 
615	-1.47368567092525 
616	-2.67288522230136 
617	-3.56204839857837 
618	-1.57031014188713 
619	-1.3704446209472 
620	-2.34753661398593 
621	-1.83909294668563 
622	-2.40017542126445 
623	-3.06642299603467 
624	-2.70221676242656 
625	-1.53725896749188 
626	-1.77164746206959 
627	-3.35762535341635 
628	-2.30226792785941 
629	-2.05340056591728 
630	-2.85665484824841 
631	-3.37218866826694 
632	-3.70552266618406 
633	-2.901126270437 
634	-0.84326520628033 
635	-2.6013861942926 
636	-4.2472654029063 
637	-3.83015593641436 
638	-4.46963938076645 
639	-4.09520453156403 
640	-2.56978893395078 
641	-1.07097952159185 
642	-1.2055257669383 
