Wavelength	4mm_blackPA00000.asd
350	-1.04588203828587 
351	-0.885444258171999 
352	-0.744153886833252 
353	 0.283902444596511 
354	-0.968928664036728 
355	-2.01929967873129 
356	-0.755594877493074 
357	 1.52833360025764 
358	 0.501965795538381 
359	-2.44587917807423 
360	-1.17105503945482 
361	 9.27113224426377E-02 
362	 0.239317668957072 
363	-0.606149107745034 
364	-2.34048155184172E-03 
365	-1.0341109129581 
366	-2.89578155627436 
367	 0.518259845010736 
368	 0.115682892506738 
369	-2.1419431846654 
370	-1.35450769818092 
371	 0.523260958919545 
372	 0.737180078190138 
373	-1.13537229942503 
374	-0.874588742111471 
375	-1.14201421604769 
376	-1.66331871087134 
377	-0.966039048107205 
378	 0.128181443966536 
379	 0.129316533213417 
380	-1.45770075934844 
381	-2.1975309192137 
382	-2.24047080035993 
383	-1.5951600769252 
384	-0.231826509069393 
385	-0.300313548729497 
386	-1.0966816875048 
387	-1.36988264131693 
388	-1.31829714923113 
389	-1.20881303940146 
390	-1.07743359413208 
391	-0.579074882626828 
392	 8.88302292630004E-03 
393	 4.76225583565872E-02 
394	-0.978820898698321 
395	-0.682410409180035 
396	-1.30769160124516 
397	-3.37357912281709 
398	-1.1026404393254 
399	-0.467108239441267 
400	-1.31512058570025 
401	 0.984628313899689 
402	 1.36965552716596 
403	 0.474272001439402 
404	 4.82823957706052E-02 
405	 0.413469677088187 
406	 0.254048063668285 
407	-0.864159823346219 
408	-2.17796105789914 
409	-1.06819310347692 
410	 0.34934321433798 
411	-1.52353630110239 
412	-1.49601291126093 
413	-0.539231794069522 
414	-0.161012707077178 
415	-1.06442651362997 
416	-1.61525704447584 
417	-1.63614822685538 
418	-2.21677383552614 
419	-1.49818248062363 
420	-0.761810106353682 
421	-1.42644541031504 
422	-0.474803848259169 
423	 0.54831305738032 
424	 0.59227778045096 
425	-8.84110425883244E-02 
426	-0.840000004395457 
427	-0.972315173991935 
428	 0.058065571601688 
429	-0.344838088979812 
430	 6.09656957444091E-02 
431	 2.42852199989985 
432	 0.228767115679516 
433	-1.10193999047624 
434	-0.478380725488848 
435	-2.76420213469164 
436	-2.02402583857755 
437	 0.145651071466741 
438	-0.219832911901414 
439	-0.36826350107785 
440	-0.112168566336599 
441	 7.54904940606199E-02 
442	-1.55510719801221 
443	-1.52653331294416 
444	-0.14206929659771 
445	-1.1312494240851 
446	-1.0181710750921 
447	 9.88469775048467E-03 
448	 0.591379629795959 
449	-1.24370605431623 
450	-1.74691687407629 
451	 0.300487181399659 
452	-0.204493181418478 
453	-0.700034222865125 
454	-0.840375808062113 
455	-1.51616634935135 
456	-1.3464740819743 
457	-1.10687019853735 
458	-1.63317572421327 
459	-1.47724397604596 
460	-0.815704476092325 
461	-0.339327864330076 
462	-1.92846341965783 
463	-1.73278139162076 
464	-0.747852799590338 
465	-2.33491797444225 
466	-2.08244789560543 
467	-0.560516460726361 
468	 0.599566753379332 
469	-0.355035646155292 
470	-1.0158873836933 
471	-0.795906007173813 
472	-2.27396964791307 
473	-1.43176589452793 
474	 0.686743192097601 
475	 0.752665386963878 
476	-0.32819714394416 
477	-1.64989814766173 
478	-2.36919878839988 
479	-1.96040432141907 
480	-1.76598803069607 
481	-2.06281964027644 
482	-1.61064044135782 
483	-1.54184239975833 
484	-1.75704742818776 
485	-1.67338703198403 
486	-1.45174273371431 
487	-1.1391658708582 
488	-0.816262884634949 
489	-0.520819611644371 
490	-1.67301232572356 
491	-3.48356673739305 
492	-2.06638746921442 
493	-1.18849240709528 
494	-1.31465236334499 
495	-1.55819004358554 
496	-0.787698891488869 
497	-1.10970267615322 
498	-3.52818864203498 
