Wavelength	1mm_blackPA00000.asd
350	-1.53487371393899 
351	-1.08726465070972 
352	-0.658989736958436 
353	 1.63460409289602 
354	 9.02657351427699E-02 
355	-2.03975710807671 
356	-1.51761843187095 
357	 0.701267969155289 
358	 0.425104467599698 
359	-1.59537622553298 
360	-0.496340647320663 
361	 0.31735612286037 
362	 0.173078971644352 
363	-0.648662940344508 
364	-0.471664521540887 
365	-1.12587505292609 
366	-2.02783339339232 
367	 0.755144583340927 
368	-0.088501897274431 
369	-2.04259093159149 
370	-0.374041395029291 
371	 0.676782249757337 
372	 0.666936890056265 
373	 6.98913175305338E-03 
374	 0.191116044500722 
375	-5.79971119667058E-02 
376	-0.37560832761579 
377	 0.20848255436012 
378	-2.72275840219116E-02 
379	-0.784592455451869 
380	-1.48739867896012 
381	-1.79813851025637 
382	-1.56379929531868 
383	-0.72216718775941 
384	 0.656758545729226 
385	-0.35031033516851 
386	-1.70677167388405 
387	-1.03551891980841 
388	-1.15926445966826 
389	-0.780092516658586 
390	 0.369076806173671 
391	 0.771350941587581 
392	 0.591194783377935 
393	-0.274363793178701 
394	-1.71467960518546 
395	-1.48325597651428 
396	-1.02749862300664 
397	-1.33016382642024 
398	-0.804293739964873 
399	-1.31077669476506 
400	-1.95549908222795 
401	 0.168611166816856 
402	 0.911605289195601 
403	 0.673524307799421 
404	 0.729896304666698 
405	 1.04635596636954 
406	 0.728167252435772 
407	-0.49673285182908 
408	-2.18234685981097 
409	-1.03633706610225 
410	 0.953446242153408 
411	-6.92965993420288E-02 
412	-0.336145282231342 
413	-4.83186275822932E-02 
414	 2.98252730534181E-02 
415	-1.12031323321951 
416	-1.13435848571538 
417	-0.263168527051846 
418	-1.06840742862199 
419	-1.66179613466507 
420	-1.27267477732183 
421	 0.126602679831561 
422	 0.180189008188832 
423	 0.209139364480031 
424	 0.619230461256001 
425	-0.577065009739632 
426	-0.841648318378408 
427	-0.347472514830431 
428	-0.637984111855386 
429	-0.92019071561613 
430	-0.571174160734738 
431	 0.435161311716427 
432	-4.76785599926743E-02 
433	 7.93596733505907E-02 
434	 0.712717475842028 
435	-1.3250503458356 
436	-1.90360426291956 
437	-1.09422779472302 
438	-0.55330728524477 
439	-0.74219782867877 
440	-0.584837092783324 
441	 0.464135606448328 
442	 1.13209518013174 
443	 0.586431460356873 
444	-0.642196091245581 
445	-0.718432281090464 
446	-0.515063962310956 
447	-0.239903033360345 
448	-0.128301762265224 
449	-1.76219580530326 
450	-1.89360260612511 
451	 0.398919418415532 
452	 0.346352838879787 
453	 0.179516635645227 
454	-1.02057802310689E-02 
455	-1.29883783305322 
456	-1.241828155306 
457	-1.01364793986931 
458	-1.93060210304051 
459	-1.48574865979633 
460	-0.90642801794986 
461	-0.960099820119814 
462	-1.51329980979956 
463	-0.974272622652444 
464	-3.25422855233071E-02 
465	-0.623669144090288 
466	-2.14228235673834 
467	-2.43410571393384 
468	-0.430934628962429 
469	-0.741109349255289 
