Wavelength	reference_blackPA00000.asd
350	 18.7309485079989 
351	 19.2159515510637 
352	 20.0056109682323 
353	 22.3274168261009 
354	 23.4002037222652 
355	 23.841534502006 
356	 24.8890982769913 
357	 28.2252300338594 
358	 29.3150594875059 
359	 28.1291180612458 
360	 28.4265491420431 
361	 30.0165182361599 
362	 31.7834834026072 
363	 32.7107441206547 
364	 33.6775652735711 
365	 34.2064154675107 
366	 34.591876377452 
367	 36.2295691458182 
368	 35.9401195875897 
369	 35.504901442674 
370	 37.6834953168689 
371	 39.8907228015902 
372	 40.7861825609124 
373	 40.7646448142491 
374	 43.7310752871397 
375	 44.5090293083562 
376	 43.7556412529906 
377	 44.8579753893786 
378	 46.9523281265705 
379	 48.9266281356757 
380	 50.1112122471208 
381	 51.2371837490276 
382	 52.4775680119705 
383	 54.5133523016078 
384	 58.4124684027098 
385	 61.0099921648957 
386	 63.2144843555242 
387	 66.4871429373149 
388	 69.3919250898297 
389	 72.4638945194053 
390	 76.154007929612 
391	 80.6871810162508 
392	 86.1401409369892 
393	 91.2749233331557 
394	 94.8186341240245 
395	 100.833879671526 
396	 107.901981457652 
397	 114.843727288476 
398	 123.096993702157 
399	 130.77179323508 
400	 139.349601088079 
401	 152.76036764111 
402	 164.496877192174 
403	 175.971990431246 
404	 189.805270970645 
405	 204.787550070805 
406	 220.366460110974 
407	 236.710687688785 
408	 254.986581117493 
409	 275.652247503017 
410	 297.759992456198 
411	 319.921266508891 
412	 344.18893297539 
413	 369.079648006939 
414	 393.497054723197 
415	 418.482449874531 
416	 445.441676100342 
417	 473.543023653629 
418	 499.920945156685 
419	 527.912484543762 
420	 556.382212503947 
421	 583.542493128296 
422	 611.330375841841 
423	 638.59957531066 
424	 664.355179410189 
425	 687.804447458906 
426	 712.138327565924 
427	 737.230196039784 
428	 761.12534768507 
429	 783.757107180938 
430	 806.716709713141 
431	 830.35336649863 
432	 848.93434429736 
433	 867.994611421729 
434	 888.376947458407 
435	 904.617575441305 
436	 920.973891345897 
437	 938.489191157822 
438	 956.75809592051 
439	 973.019646636817 
440	 988.610026852435 
441	 1004.56947346581 
442	 1019.65943291277 
443	 1034.0221172173 
444	 1048.44856467739 
445	 1064.39174898375 
446	 1079.52413672173 
447	 1093.83241228181 
448	 1107.8035860102 
449	 1120.21953355038 
450	 1133.44541697194 
451	 1148.0845658754 
452	 1160.24880296377 
453	 1173.3019935396 
454	 1187.3847526535 
455	 1200.63213000243 
456	 1214.55733730623 
457	 1228.41874329004 
458	 1241.76163999108 
459	 1258.12301779127 
460	 1274.79799647094 
461	 1290.46799177326 
462	 1306.491850154 
463	 1324.48665513552 
464	 1343.11393566168 
465	 1359.55072999178 
466	 1378.40544137881 
467	 1398.81177580268 
468	 1419.26282922918 
469	 1440.31347802847 
470	 1462.63352662216 
471	 1486.17569712771 
472	 1509.60210874633 
473	 1535.68087829739 
474	 1563.71809899761 
475	 1591.35035727534 
476	 1617.90590414204 
477	 1645.68794228218 
478	 1676.34858726823 
479	 1707.29058945618 
480	 1738.38773743568 
481	 1770.32554335165 
482	 1805.08299954274 
483	 1839.21958889604 
484	 1873.50394428868 
485	 1910.41289567603 
486	 1949.04307836309 
487	 1989.33251714338 
488	 2031.03943441957 
489	 2073.21520699671 
490	 2114.74950559107 
491	 2156.86447325575 
492	 2204.07759728876 
493	 2252.06995891125 
494	 2300.71344186793 
495	 2351.28405326121 
496	 2401.84479612135 
497	 2451.86473265317 
498	 2502.06059864056 
499	 2556.25417740907 
500	 2613.3885369659 
501	 2671.667711943 
502	 2728.17575471691 
503	 2784.70564534612 
504	 2842.20589780817 
505	 2901.24543461206 
506	 2960.15872313965 
507	 3020.14623171444 
508	 3082.48267492769 
509	 3147.49772184043 
510	 3212.59043501052 
511	 3276.84742893072 
512	 3341.32013132214 
513	 3408.32553469563 
514	 3478.30355063186 
515	 3550.62612959007 
516	 3624.33172273404 
517	 3697.51367735206 
518	 3769.06222625495 
519	 3840.55922722173 
520	 3913.8831569156 
521	 3989.42278849902 
522	 4065.46591490494 
523	 4143.47687431655 
524	 4221.85427401376 
525	 4297.86379432182 
526	 4374.95107493077 
527	 4453.9384827212 
528	 4534.24028331538 
529	 4611.66333047402 
530	 4690.39452015257 
531	 4771.13066137865 
532	 4848.58396161257 
533	 4925.56164368792 
534	 5002.73584847477 
535	 5079.86960507323 
536	 5155.71961301791 
537	 5230.67317972614 
538	 5305.07834965595 
539	 5376.92518057181 
540	 5450.257882365 
541	 5525.68932306364 
542	 5597.15070758213 
543	 5667.74201935497 
544	 5737.21183619086 
545	 5803.72625425406 
546	 5872.41401328007 
547	 5941.13968548245 
548	 6006.75596432702 
549	 6070.68321147265 
550	 6135.88564338115 
551	 6202.34447242975 
552	 6263.39168578278 
553	 6324.00993242579 
554	 6384.36385767721 
