Wavelength	1mm_grayABS00000.asd
350	 0.932563196892847 
351	 1.4165709811056 
352	 2.56995401078886 
353	 2.71026110102097 
354	 1.98324771194834 
355	 1.01648223647061 
356	 0.327879145159025 
357	-0.468331807095494 
358	 0.837593450968068 
359	 3.00537805370063 
360	 1.95564383120127 
361	 0.487226842833435 
362	-0.289259181286571 
363	-8.93245657216576E-02 
364	-0.653348911330145 
365	 0.37209588558487 
366	 2.30295736052741 
367	 0.374843997216714 
368	 0.357308227283044 
369	 1.12471367764166 
370	-1.16108590092448E-02 
371	-0.123906771419049 
372	 1.15834333226661 
373	 2.82608755979271 
374	 1.26417745045625 
375	 0.841541702679242 
376	 1.30528691764667 
377	 0.358832141301188 
378	-0.29736329628459 
379	-0.256438310642436 
380	 0.513548342127401 
381	 1.95883247269518 
382	 0.906792163117412 
383	-1.03918918762781 
384	 1.80405056283548 
385	 1.60720879926974 
386	 0.498093131537845 
387	 1.83891989683588 
388	 1.98319346833202 
389	 2.4942964447818 
390	 3.32396513111284 
391	 1.43096759581742 
392	 0.649085499179247 
393	 0.492622000270174 
394	-0.844517273341029 
395	-1.03110209135168E-02 
396	 1.73364014663539 
397	 2.75014140287097 
398	 1.67959070542481 
399	 1.60530613781028 
400	 2.13424556652193 
401	 0.314590347340817 
402	 0.738310714923232 
403	 2.04111602505075 
404	 1.99007109574055 
405	 1.34272996703584 
406	 1.00765040652196 
407	 1.04375546332451 
408	 0.166461557774009 
409	-0.534278758044713 
410	-0.217430192950257 
411	 1.47118289327904 
412	 0.64844235822341 
413	 9.49884766938264E-02 
414	 1.32226893853523 
415	-0.687651214915159 
416	-0.383044917714758 
417	 1.82727209229461 
418	 0.329344311535883 
419	-1.76034096908295E-02 
420	 0.392739167142231 
421	 0.190402531006005 
422	 0.922489273585358 
423	 0.914221621816243 
424	-1.41168774034022E-02 
425	 1.30244200071343 
426	 2.32338791004258 
427	 2.01225226742662 
428	 0.234979734591213 
429	 0.520680170371879 
430	 1.01888228601762 
431	 0.149002203934305 
432	 1.57237701878281 
433	 2.02850118099772 
434	 1.02990663802588 
435	 1.81695693960819 
436	 1.70365936903593 
437	 0.952888467500558 
438	 0.803159265082762 
439	 0.950161409791319 
440	 0.870844626460208 
441	 0.395321060324007 
442	 0.52095363901816 
443	-0.345560160755661 
444	-1.64819310568199 
445	-0.864744833384835 
446	-9.82082765033197E-02 
447	 0.258774747281697 
448	 0.386868605694874 
449	 1.0548673488367 
450	 1.1954269838136 
451	 0.286478194110022 
452	-1.14171584993359 
453	-0.102838759694158 
454	 2.08709331652241 
455	 1.14130628398379 
456	 6.51713534525012E-02 
