Wavelength	reference_grayABS00000.asd
350	 20.5851522751316 
351	 22.8379108266781 
352	 24.5460259011675 
353	 24.449932819701 
354	 25.5074154670038 
355	 26.3778903530107 
356	 26.1048263714846 
357	 26.9967890131221 
358	 28.8160813634491 
359	 30.7306784504172 
360	 31.4172127540543 
361	 32.9829308162935 
362	 33.9084023949796 
363	 33.0315089278703 
364	 34.2953406471165 
365	 35.9330388835865 
366	 36.9477083805228 
367	 37.4711104544819 
368	 37.8731210126934 
369	 38.4251634622316 
370	 39.3430435241213 
371	 40.7279974129819 
372	 42.5716023085064 
373	 44.2653515197603 
374	 43.6942401141997 
375	 44.5592824882158 
376	 46.3711713807852 
377	 46.8405571905115 
378	 49.1131240743818 
379	 51.286883352862 
380	 52.0994919931628 
381	 54.4944517559017 
382	 56.2042972322833 
383	 57.44066655448 
384	 60.5020534462419 
385	 63.5727463217187 
386	 66.5062318141421 
387	 69.668657732342 
388	 73.9149707888586 
389	 78.0720972091856 
390	 81.3279485298633 
391	 83.179214166722 
392	 88.3075035715865 
393	 94.5651759679042 
394	 97.7837234863296 
395	 104.830399822797 
396	 113.193392323346 
397	 120.512818563236 
398	 127.671647473136 
399	 136.086221176712 
400	 145.942849389855 
401	 156.462160791161 
402	 168.356705445261 
403	 181.484023641559 
404	 195.633365848546 
405	 211.316409453526 
406	 227.735357855773 
407	 244.989404283725 
408	 264.706458769028 
409	 284.964981059447 
410	 306.351529642831 
411	 330.144380502914 
412	 353.124276652621 
413	 377.961300345737 
414	 405.907005252814 
415	 431.971504855384 
416	 459.473631905383 
417	 488.424560419997 
418	 516.007494409198 
419	 544.562889725617 
420	 573.48461161928 
421	 601.729142270406 
422	 630.639806884359 
423	 658.364617583451 
424	 684.49316176538 
425	 711.863519499506 
426	 737.529417383854 
427	 761.456073586433 
428	 785.196124853261 
429	 810.619665580756 
430	 834.069508001753 
431	 853.44452086159 
432	 876.508885972423 
433	 897.848923405577 
434	 916.15886743336 
435	 935.647503364946 
436	 953.155124756804 
437	 970.015820005107 
438	 988.563194028796 
439	 1004.20429075294 
440	 1019.01062944447 
441	 1034.9936297891 
442	 1052.07420032163 
443	 1067.36062939009 
444	 1081.28372012398 
445	 1097.32815268435 
446	 1113.06889933367 
447	 1128.04485036689 
448	 1142.35599465338 
449	 1156.14136065116 
450	 1170.04321652729 
451	 1183.93724100923 
452	 1195.5949406027 
453	 1209.15088537737 
454	 1224.47877370953 
455	 1238.61999882137 
456	 1252.74603556619 
457	 1267.30149491105 
458	 1282.51929570772 
459	 1298.15996390501 
460	 1314.19542688271 
461	 1330.68066773736 
462	 1347.77460809791 
463	 1365.73781867041 
464	 1384.18962728321 
465	 1402.42697878247 
466	 1421.20830913515 
467	 1441.41511034963 
468	 1463.32109340346 
469	 1484.5412253959 
470	 1507.86911488099 
471	 1533.42176541038 
472	 1556.8340784919 
473	 1581.78054533784 
474	 1608.96346684733 
475	 1637.7010597546 
476	 1666.28690198515 
477	 1695.40406125477 
478	 1725.70649533276 
479	 1755.7504806602 
480	 1787.9185816337 
481	 1822.55052100335 
482	 1857.20192153045 
483	 1891.95643897315 
484	 1927.83220635464 
485	 1966.32339548267 
486	 2007.04512804621 
487	 2049.38201719521 
488	 2092.38673645909 
489	 2133.91082606909 
490	 2177.17709755489 
491	 2223.35046787063 
492	 2271.11424333757 
493	 2318.83330869917 
494	 2367.50658223017 
495	 2419.02171221077 
496	 2470.25207690607 
497	 2522.51014685229 
498	 2577.11379221522 
499	 2633.26154308349 
500	 2689.8670905642 
501	 2746.64200552993 
502	 2804.29500900875 
503	 2862.2714394193 
504	 2921.57194356104 
505	 2983.50189625239 
506	 3044.82974457575 
507	 3106.56599448615 
508	 3169.9809841724 
509	 3234.70247899245 
510	 3301.62056544679 
511	 3369.87450031712 
512	 3435.82553251316 
513	 3506.04356467626 
514	 3578.8913949814 
515	 3649.6254177574 
516	 3723.22484187625 
517	 3798.71078758373 
518	 3874.24661649986 
519	 3948.46431146389 
520	 4022.94268757715 
521	 4099.12342962047 
522	 4178.61586299167 
523	 4257.63488289206 
524	 4336.417009555 
525	 4416.87682313596 
526	 4495.86291201133 
527	 4575.64901663551 
528	 4657.8257490724 
529	 4737.28528595462 
530	 4816.53711076352 
531	 4897.23734256331 
532	 4980.00183896328 
533	 5060.09824173108 
534	 5137.94747448077 
535	 5216.71100052609 
536	 5295.28829613183 
537	 5372.30741670008 
538	 5447.04359828493 
539	 5521.92823111783 
540	 5597.24261229703 
541	 5672.28631416854 
542	 5744.57019048755 
543	 5816.24297460851 
544	 5887.62941342049 
545	 5958.06808881529 
546	 6027.33017622199 
547	 6096.10001237178 
548	 6164.88387007976 
549	 6231.95598507412 
550	 6298.10324299762 
551	 6363.48962443246 
552	 6426.55255635385 
553	 6488.37831580341 
554	 6549.15356379032 
555	 6608.46474211372 
556	 6665.67877017957 
557	 6720.8491111871 
558	 6773.85784517084 
559	 6821.50307463724 
560	 6869.16363207626 
561	 6917.83081557215 
562	 6955.67742486237 
563	 6989.83676804581 
564	 7020.42516663197 
565	 7041.30517492373 
566	 7057.02044049193 
567	 7067.21783000243 
568	 7070.32182124904 
569	 7068.14427498194 
570	 7060.11837983645 
571	 7047.12376743534 
572	 7035.87223718319 
573	 7018.59015816523 
574	 6994.20431259886 
575	 6969.7567946457 
576	 6938.96729978237 
577	 6901.87216910453 
578	 6860.93901427627 
579	 6815.8272077818 
580	 6767.26051940135 
581	 6717.06488848927 
582	 6669.27635635786 
583	 6630.63673948018 
584	 6599.31696090221 
585	 6559.85518299839 
586	 6521.0644210328 
587	 6482.79912502415 
588	 6441.46606435392 
589	 6404.01068402886 
590	 6372.38245493989 
591	 6347.77804684502 
592	 6334.28310848154 
593	 6325.34187252048 
594	 6316.69195773032 
595	 6307.27100293596 
596	 6309.78049801236 
597	 6327.37277432799 
598	 6356.49903042817 
599	 6386.77654971666 
600	 6416.78938124932 
601	 6448.64683545593 
602	 6487.93645939655 
603	 6525.96351690617 
604	 6558.99959490559 
605	 6597.45834729715 
606	 6637.53006388037 
607	 6683.99789394545 
608	 6749.74463205061 
609	 6825.28732478467 
610	 6910.05601928701 
611	 7004.49925532983 
612	 7096.67758208609 
613	 7185.85982059149 
614	 7271.35654023555 
615	 7346.14775843651 
616	 7420.18126763278 
617	 7495.24750973515 
618	 7562.70446715643 
619	 7634.69830633255 
620	 7711.14323477891 
621	 7787.06809117401 
622	 7865.79708832838 
623	 7947.07099534621 
624	 8029.44472313771 
625	 8109.52292239085 
626	 8188.16176944691 
627	 8265.59328388997 
628	 8341.0179476923 
629	 8413.33521484711 
630	 8481.21726821689 
631	 8543.49068968401 
632	 8606.47375443123 
633	 8664.41461883859 
634	 8712.66573355039 
635	 8766.28602417282 
636	 8819.2517337571 
637	 8867.80198127238 
638	 8914.96194893321 
639	 8961.18531071633 
640	 9006.88457682999 
641	 9052.39658727346 
642	 9104.89292633826 
643	 9159.17839023261 
644	 9208.33026545459 
645	 9260.69122751072 
646	 9315.92259741428 
647	 9372.886198131 
648	 9431.084935381 
649	 9487.23405276098 
650	 9543.27621272002 
651	 9606.68588047845 
652	 9669.99574929167 
653	 9735.69902619444 
654	 9808.31712414531 
655	 9877.91715311811 
656	 9945.84367996003 
657	 10014.7377340496 
658	 10085.6573543502 
659	 10159.9381713745 
660	 10237.3938216085 
661	 10316.0022961787 
662	 10394.6470554416 
663	 10473.3301909651 
664	 10552.6684959375 
665	 10631.825029524 
666	 10712.4362682689 
667	 10796.1948611232 
668	 10883.5483425174 
669	 10972.5208078926 
670	 11062.2885522855 
671	 11153.7645758424 
672	 11247.8024609115 
673	 11343.8027753076 
674	 11440.4273918906 
675	 11541.3076753817 
676	 11643.7758083699 
677	 11745.3847295712 
678	 11852.3590856572 
679	 11958.6024257276 
680	 12062.2655388473 
681	 12171.1200755117 
682	 12279.9168725069 
683	 12388.4561528275 
684	 12499.6273720058 
685	 12612.8416594124 
686	 12727.2985087254 
687	 12842.0027627843 
688	 12955.6089699504 
689	 13071.0306968515 
690	 13188.8459329431 
691	 13303.6684733269 
692	 13417.0227656057 
693	 13530.2971253375 
694	 13645.1499196203 
695	 13753.7820338866 
696	 13860.3848191168 
697	 13971.0049932436 
698	 14074.8087968024 
699	 14177.2258496408 
700	 14280.7055082146 
701	 14374.7813633607 
702	 14468.8947028112 
703	 14562.879597717 
704	 14646.9181408184 
705	 14734.6633623884 
706	 14820.6267148749 
707	 14894.7192696331 
708	 14970.2590565592 
709	 15043.2199389983 
710	 15110.7340769219 
711	 15180.7376606291 
712	 15244.0272023816 
713	 15300.0028889521 
714	 15357.8103021534 
715	 15414.9081601654 
716	 15468.326734439 
717	 15515.7618248723 
718	 15568.4017305028 
719	 15621.0891331698 
720	 15668.4147646192 
721	 15712.1626952361 
722	 15753.2343149866 
723	 15793.1462241215 
724	 15834.2840735218 
725	 15876.5846909408 
726	 15920.911598046 
727	 15967.5002513762 
728	 16006.7525226982 
729	 16045.778951571 
730	 16089.6309949773 
731	 16125.8576743378 
732	 16166.7099926494 
733	 16213.7703435981 
734	 16254.3590106317 
735	 16291.008894528 
736	 16326.1872552991 
737	 16362.2186057496 
738	 16390.6656291236 
739	 16415.332448416 
740	 16440.0157193239 
741	 16460.21675178 
742	 16483.2937607613 
743	 16508.6259970619 
744	 16524.1318228927 
745	 16541.523502636 
746	 16557.2041617463 
747	 16562.8758845766 
748	 16575.9049504962 
749	 16589.6751193553 
750	 16596.7191106319 
751	 16600.4763096166 
752	 16602.1547087125 
753	 16601.8173344175 
754	 16597.8548159701 
755	 16594.6293439942 
756	 16590.2520970307 
757	 16579.7684251509 
758	 16558.4268383758 
759	 16526.1211012853 
760	 16489.5553386071 
761	 16474.138090689 
762	 16464.0044315566 
763	 16452.0277304317 
764	 16441.2895104375 
765	 16427.6736134442 
766	 16410.5863834448 
767	 16390.1161141607 
768	 16358.6078302392 
769	 16324.6466165609 
770	 16294.530518569 
771	 16261.6468770435 
772	 16229.4505891539 
773	 16197.4558565222 
774	 16161.1337568897 
775	 16121.6996465354 
776	 16082.185043934 
777	 16045.1798014777 
778	 16003.9620686744 
779	 15958.1321328967 
780	 15908.8825717122 
781	 15859.0873662759 
782	 15809.8363728986 
783	 15759.2513075549 
784	 15702.7639229941 
785	 15647.3121779848 
786	 15591.1400302474 
787	 15531.7486073741 
788	 15478.1994349727 
789	 15420.4642843852 
790	 15356.2872186511 
791	 15303.4653567591 
792	 15243.6138462097 
793	 15175.0825608396 
794	 15106.2742989063 
795	 15036.1338746271 
796	 14966.0601508025 
797	 14897.4971914989 
798	 14831.1985971214 
799	 14763.5449958333 
800	 14693.1692954365 
801	 14622.0696199584 
802	 14552.0484930754 
803	 14484.1894908287 
804	 14418.5383918569 
805	 14349.2562768442 
806	 14277.5441426965 
807	 14204.6281475207 
808	 14126.8100318976 
809	 14052.2418146661 
810	 13980.4720458824 
811	 13901.3956266966 
812	 13828.3643783069 
813	 13757.0686082859 
814	 13679.4830560735 
815	 13605.9831278323 
816	 13531.4631161278 
817	 13453.8430700417 
818	 13381.7351097523 
819	 13306.1029237657 
820	 13226.4717683451 
821	 13147.7548103118 
822	 13063.5181801014 
823	 12978.3244823895 
824	 12897.7659458336 
825	 12820.8983792343 
826	 12745.4865858672 
827	 12671.0839413204 
828	 12600.5803097537 
829	 12523.6432359731 
830	 12439.3228524839 
831	 12350.2500020631 
832	 12251.0297893089 
833	 12150.3926833349 
834	 12056.254568351 
835	 11969.7751305689 
836	 11891.5231509466 
837	 11820.9985576972 
838	 11756.7682153975 
839	 11702.2306702256 
840	 11652.7750009043 
841	 11601.4471398911 
842	 11541.8262244902 
843	 11474.1016510713 
844	 11400.7521634978 
845	 11326.9930430694 
846	 11253.1738116234 
847	 11178.957772725 
848	 11103.5976323589 
849	 11028.6311210549 
850	 10954.1787800729 
851	 10880.3322874113 
852	 10807.7835905042 
853	 10735.1203309834 
854	 10663.0716331023 
855	 10593.8608862458 
856	 10524.6708433017 
857	 10454.0200394642 
858	 10381.4400880975 
859	 10309.0376164672 
860	 10236.2078561897 
861	 10163.0063548991 
862	 10090.3497480537 
863	 10019.9896946256 
864	 9951.45328404479 
865	 9883.20919059903 
866	 9813.45833173619 
867	 9742.59255529392 
868	 9672.0367283188 
869	 9605.09825452359 
870	 9538.61152421853 
871	 9471.66393205411 
872	 9404.38132960391 
873	 9336.43582972158 
874	 9268.08542801486 
875	 9199.08979286798 
876	 9127.22271183858 
877	 9055.37917409874 
878	 8985.48445599008 
879	 8918.59491842436 
880	 8851.13322661783 
881	 8784.98079692238 
882	 8721.44729702849 
883	 8653.77754766266 
884	 8589.22534551297 
885	 8528.16903605787 
886	 8462.62218422621 
887	 8394.36595289329 
888	 8327.06741654373 
889	 8263.69540558982 
890	 8198.47727694689 
891	 8132.95273363854 
892	 8068.15858884882 
893	 8003.88749453195 
894	 7936.00795620757 
895	 7867.18075229192 
896	 7801.98984620992 
897	 7736.28625687613 
898	 7669.67090228888 
899	 7603.40330463239 
900	 7541.83761202219 
901	 7479.11645479304 
902	 7415.02810916967 
903	 7351.92674038271 
904	 7289.01361054977 
905	 7226.93012665751 
906	 7165.80120158195 
907	 7104.37885587515 
908	 7041.71304174126 
909	 6977.64749964992 
910	 6912.6660251407 
911	 6847.39802046202 
912	 6784.29478031506 
913	 6724.12341382475 
914	 6662.67419079462 
915	 6601.68003487953 
916	 6540.50560083066 
917	 6477.34144896215 
918	 6417.55746918642 
919	 6357.69104209193 
920	 6294.81887151128 
921	 6232.40229402173 
922	 6169.14138942408 
923	 6106.75184425648 
924	 6048.74096764259 
925	 5988.85860179911 
926	 5930.36324680713 
927	 5875.09229571434 
928	 5815.19627683553 
929	 5753.3371433097 
930	 5689.53459666548 
931	 5622.29868515383 
932	 5558.18398892818 
933	 5495.07536489314 
934	 5430.74539261758 
935	 5367.4709788102 
936	 5309.12967757039 
937	 5253.98113697984 
938	 5196.34567839243 
939	 5138.55408417643 
940	 5081.24751074074 
941	 5024.01217618654 
942	 4963.76553805627 
943	 4905.19504771502 
944	 4848.6385051062 
945	 4791.74521424308 
946	 4736.49898082905 
947	 4681.45485671057 
948	 4626.032061856 
949	 4573.35298253707 
950	 4519.3820673669 
951	 4464.82660890119 
952	 4412.71152767284 
953	 4361.36241009223 
954	 4309.47701845678 
955	 4256.96132729603 
956	 4206.41080507968 
957	 4154.05364522288 
958	 4100.95746608645 
959	 4049.72845112854 
960	 3997.43340607557 
961	 3944.5416888385 
962	 3891.87504815662 
963	 3840.37839231488 
964	 3788.03931559419 
965	 3735.45636239005 
966	 6255.31989800434 
967	 6327.33318069786 
968	 6404.06380765572 
969	 6487.3081149173 
970	 6577.91438406939 
971	 6672.75604668768 
972	 6773.63274637191 
973	 6878.17173665275 
974	 6994.54876535432 
975	 7103.00539856575 
976	 7210.35741114515 
977	 7319.60291684427 
978	 7425.85799008822 
979	 7529.30930875472 
980	 7630.86910970876 
981	 7724.80755317214 
982	 7808.63452160674 
983	 7889.93840272181 
984	 7973.46578978785 
985	 8054.22132594262 
986	 8128.37041461306 
987	 8199.0401741129 
988	 8268.59356697365 
989	 8329.24676751959 
990	 8393.90569901723 
991	 8463.55558994722 
992	 8527.69611827255 
993	 8587.91145535825 
994	 8647.11347553523 
995	 8708.81377072928 
996	 8765.53877106281 
997	 8821.86138967363 
998	 8885.33188491744 
999	 8950.32790828982 
1000	 9014.98413744837 
1001	 9079.84500702645 
1002	 9141.21230573592 
1003	 9200.0890481052 
1004	 9260.64353079604 
1005	 9323.13946788298 
1006	 9391.1883865435 
1007	 9452.16117469582 
1008	 9511.1044607627 
1009	 9569.72670869983 
1010	 9626.10800751165 
1011	 9682.42090812263 
1012	 9738.76026864699 
1013	 9793.37518929312 
1014	 9849.31705943294 
1015	 9905.33953772512 
1016	 9958.82583769936 
1017	 10012.9692425463 
1018	 10064.8599665501 
1019	 10112.763138966 
1020	 10164.7003402435 
1021	 10218.762661892 
1022	 10270.3966496057 
1023	 10323.4943535727 
1024	 10377.7188055193 
1025	 10432.593100637 
1026	 10488.1674871158 
1027	 10546.3651179819 
1028	 10599.2215754995 
1029	 10651.2863799176 
1030	 10705.8427188958 
1031	 10757.0349690392 
1032	 10810.8893056558 
1033	 10866.2956780352 
1034	 10921.7751777479 
1035	 10978.5943202542 
1036	 11036.2535067885 
1037	 11095.2737914202 
1038	 11151.2551787466 
1039	 11205.2965128024 
1040	 11259.600623315 
1041	 11313.9630066294 
1042	 11367.0091695732 
1043	 11419.9478586264 
1044	 11470.7902247486 
1045	 11520.02360092 
1046	 11567.3830901169 
1047	 11614.0365052238 
1048	 11659.4429339005 
1049	 11707.0694564521 
1050	 11753.393903427 
1051	 11795.4785652298 
1052	 11837.765048017 
1053	 11879.6685754858 
1054	 11920.3021530755 
1055	 11958.7387339278 
1056	 11996.3869391549 
1057	 12036.4538589972 
1058	 12074.938823495 
1059	 12114.8123562053 
1060	 12159.9139116899 
1061	 12201.0268218737 
1062	 12240.5924458351 
1063	 12276.837836875 
1064	 12312.591702265 
1065	 12351.3289722587 
1066	 12390.3365521646 
1067	 12429.3580346382 
1068	 12472.296927854 
1069	 12517.3023183069 
1070	 12566.0421914917 
1071	 12615.442248384 
1072	 12661.1148809076 
1073	 12709.5747294104 
1074	 12757.4230871981 
1075	 12801.2211127403 
1076	 12850.1564298157 
1077	 12902.0530438411 
1078	 12955.3712858576 
1079	 13009.8081874714 
1080	 13067.4179044837 
1081	 13130.4553756123 
1082	 13190.8982841373 
1083	 13250.790527761 
1084	 13313.0704894045 
1085	 13374.3885218624 
1086	 13436.8771150781 
1087	 13509.6182472024 
1088	 13585.6050906775 
1089	 13658.8663957015 
1090	 13736.0842636107 
1091	 13816.8420810314 
1092	 13895.2679326941 
1093	 13982.0944850323 
1094	 14076.3618856585 
1095	 14173.7535591132 
1096	 14274.9880177406 
1097	 14379.636286402 
1098	 14489.0824943857 
1099	 14603.2658138495 
1100	 14719.0303379419 
1101	 14841.103547866 
1102	 14971.0972947197 
1103	 15102.4437575602 
1104	 15235.9312354284 
1105	 15375.799081474 
1106	 15518.6800040528 
