Wavelength	3mm_grayABS00000.asd
350	 1.50702877748715 
351	 2.01731394678609 
352	 2.39882290994434 
353	 1.4169065714333 
354	 1.24286447649031 
355	 0.722708688833329 
356	-0.720919065669831 
357	-0.257859892148333 
358	 0.596048029684026 
359	 1.21110341108674 
360	 1.63900994904576 
361	 0.869895805062757 
362	-0.13359994535335 
363	-0.278097638397455 
364	-0.129437479468691 
365	 0.742442417246113 
366	 1.54540417762026 
367	-0.201776827468831 
368	-0.363552845939142 
369	 0.306768391607605 
370	-0.10667184264382 
371	 0.504421360381725 
372	 1.73346855038632 
373	 2.62718731256259 
374	 1.20756755089225 
375	 1.03389352160249 
376	 1.42824049784802 
377	-5.58608614851237E-02 
378	 0.170948022091188 
379	 0.959826529894952 
380	 1.16318023524843 
381	 2.06625510169361 
382	 1.28238181690745 
383	-0.208021700201299 
384	 1.43641881890851 
385	 1.43813504359366 
386	 0.47793047450031 
387	 0.35956930262146 
388	 1.26305512948412 
389	 1.78915937315225 
390	 1.27301076658579 
391	 1.50733847339114E-02 
392	 0.92053907076211 
393	 2.04042735994779 
394	 5.83591961388806E-02 
395	 0.403954211522008 
396	 1.51748752960453 
397	 1.59070763607245 
398	 0.177562812755228 
399	 0.235245859559204 
400	 1.25319815202655 
401	 9.20532160159827E-02 
402	-0.386518157031915 
403	 0.215386656567061 
404	 1.2832403086037 
405	 0.301701069522115 
406	 1.37732799923319E-02 
407	 1.03104815855949 
408	 0.405469182565002 
409	-0.087910427774144 
410	 0.153267646615661 
411	 1.10582849113978 
412	 0.610220573826921 
413	 0.645922140450019 
414	 1.95106392759569 
415	-0.152924302021645 
416	-0.374361872611093 
417	 1.03041924631204 
418	-1.02828857240304 
419	-1.19379368737012 
420	 7.94167180900738E-02 
421	 0.887519836119479 
422	 0.775050102725002 
423	 0.28732976686794 
424	 0.18166379393684 
425	 1.94215862044253 
426	 1.3368016381111 
427	-0.670387102860368 
428	-0.36608650372546 
429	 0.836397063092231 
430	 1.14094266617395 
431	-0.165796960853399 
432	 0.554785084074481 
433	 1.30399578417722 
434	 1.16221062531761 
435	 0.60074396773 
436	 0.294513834447448 
437	 0.474794454519045 
438	 1.06489844714954 
439	 1.34421769252844 
440	 1.10705355172708 
441	 0.482319618689446 
442	 0.289386086558707 
443	-0.271374567749571 
444	-0.927112001105104 
445	-0.43467223852242 
446	 0.132186845583583 
