Wavelength	4mm_grayABS00000.asd
350	 0.65432365217877 
351	 0.922147116308602 
352	 2.04280358498317 
353	 0.195413348217272 
354	-1.01047268503408E-02 
355	-6.52654928445624E-02 
356	-1.18270121012296 
357	-0.655030232332808 
358	 0.344436346540024 
359	 0.856300137438907 
360	 0.088936820476515 
361	-1.22549334610318 
362	-1.43602046721719 
363	 0.14909516373404 
364	-0.671445608827506 
365	-0.820049592334398 
366	 0.333664671461347 
367	 0.124045113729754 
368	-0.496725808599242 
369	-0.882465430014203 
370	-0.599647183933049 
371	-0.609968391862779 
372	 0.466673543793176 
373	 2.25578026876742 
374	 0.314256486108611 
375	-1.15909554523973 
376	-0.993430349410346 
377	 0.374554014932323 
378	 0.34086551696072 
379	 7.56324776431567E-03 
380	 0.450775965012839 
381	 1.01264443573632 
382	 0.25246896195217 
383	-0.841082761334461 
384	 0.797939345290462 
385	 0.662325316244751 
386	-0.250334079282088 
387	 2.32819023624344E-03 
388	 0.698413241340486 
389	 1.47890638853205 
390	 1.75994297505205 
391	 0.379575296679597 
392	 0.291862842382062 
393	 0.433783558429949 
394	-1.41151627763298 
395	-1.23085112453921 
396	-0.233351397371129 
397	 0.234460463417491 
398	 0.176271360813414 
399	 0.145923954132362 
400	-0.026949552196643 
401	-1.0153949533951 
402	-0.608373693530779 
403	 0.621074183646784 
404	 1.33336575488865 
405	 4.14731556341523E-02 
406	-0.920393022288349 
407	-0.655788247572482 
408	-0.583250661041052 
409	-0.534021969708646 
410	-8.89022556820483E-02 
411	 0.981688529266116 
412	-1.16870102784002 
413	-1.38774942797878 
414	 2.39365091992971 
415	 0.11236434770924 
416	-1.39635304917098 
417	-0.491072365879251 
418	 0.109306877721344 
419	 9.94094853499146E-02 
420	-0.18162937613647 
421	-0.243199011529701 
422	-0.441938814054528 
423	-0.78825822771077 
424	-0.91315791579313 
425	 0.518050892531757 
426	 0.924213160545111 
427	 7.53426146336181E-02 
428	-0.85914367736733 
429	 0.464601753883861 
430	 1.58191698127888 
431	 0.577484754556191 
432	 1.24562460192738 
433	 1.13659051110382 
434	 6.35573962633488E-02 
435	 0.959556729435426 
436	 0.621302245287419 
437	-0.349389485736103 
438	-0.144036063401001 
439	 5.35878712588629E-02 
440	 6.47899166003456E-02 
441	-0.110995448636531 
442	-0.319762983169948 
443	-0.822269824566227 
444	-1.20927583671936 
445	-0.441035860795225 
446	-0.676878122664893 
447	-1.06713914827818 
448	-0.226111511663429 
449	 0.638647533570214 
450	 1.13018853880906 
451	 0.810677967687448 
452	-1.58407377151247 
453	-1.19005247912453 
454	 0.932780543240246 
455	-0.26377933827409 
456	-1.2477507637396 
457	-1.32163178491807 
458	-0.623582179045496 
459	-0.147640469981239 
460	 0.352491065455317 
461	 0.627786767727731 
462	-0.995894841140672 
463	-0.627853579805148 
464	 0.626156276596919 
465	-0.849095656498521 
466	-1.30796698915591 
467	-0.794272444005628 
468	-0.218270387417717 
469	-0.940782430922518 
470	-1.01398691022743 
471	 0.163402987092534 
472	 1.25894710186423 
473	 0.331227741174297 
474	-0.939133286413904 
475	 0.594999028552003 
476	 3.66983783898117E-02 
477	-0.955294070424107 
478	-0.67856998485006 
