Wavelength	4mm_GrayPLA00000.asd
350	 1.0454770674801 
351	 0.692224621699184 
352	 0.610658003400517 
353	-0.637272852435316 
354	 0.708957449959903 
355	 1.45384063220773 
356	-0.626276418407955 
357	-1.60130665021266 
358	-1.63772796297952 
359	-0.874005517134448 
360	 0.431345032041728 
361	-0.862223576056215 
362	-1.83222159616317 
363	 0.159701746890703 
364	 0.061643763726789 
365	-7.06686031446022E-03 
366	 0.400434898527653 
367	-0.668350399703543 
368	-0.769343019444625 
369	 0.116999747700197 
370	 1.20277860079262 
371	 2.47374175015114 
372	 2.463346788203 
373	 0.894290085584948 
374	-0.306238494064061 
375	-8.07231818759828E-02 
376	 0.89391092474327 
377	 0.946067008406998 
378	-0.105029737938049 
379	-0.400121329297756 
380	 0.975843563752379 
381	 1.3871452823145 
382	 1.30662672027465 
383	 1.12068790967943 
384	 1.17672511858318 
385	 5.17790831886846E-02 
386	-1.14586929656361 
387	-1.05455660504928 
388	-0.381918382301912 
389	 0.256487142632414 
390	 0.449657508209018 
391	-5.82147584999946E-02 
392	 0.442475596924759 
393	 1.0903627302863 
394	 0.196566403988172 
395	-0.591292892158497 
396	-0.325817616383622 
397	 1.01711008665425 
398	 1.59720495181208 
399	 0.927771415169981 
400	-0.488330184286664 
401	-1.2659713834337 
402	-0.241779565633283 
403	 1.20425876893053 
404	 1.4884615752836 
405	 1.54653426563105 
406	 0.390778251000733 
407	-1.2094696523541 
408	 0.571363111014004 
409	 1.13103594674891 
410	 0.365082663782806 
411	 2.43819087045369E-02 
412	 0.59341705297809 
413	 0.672185237753451 
414	-0.363778975330299 
415	-0.275056216455057 
416	 0.209052884349842 
417	 0.571726732022916 
418	 0.418983228601688 
419	 8.32926911900487E-02 
420	-0.250040862002366 
421	-0.287846297135946 
422	 1.24404903567673 
423	 1.70725056000775 
424	 0.477832341787386 
425	 1.29314913967826 
426	 1.12517380555145 
427	 5.06771787415463E-02 
428	-0.312577325978961 
429	 3.8508934432622E-03 
430	 0.202595877187813 
431	-0.216783120230531 
432	 8.86160114287872E-02 
433	-0.317316773853914 
434	-1.36759738082933 
435	-1.00841309390469 
436	 5.57973745368865E-02 
437	 0.822746675410535 
438	 0.390719898379663 
439	 0.944355019283561 
440	 1.23840302824204 
441	 0.351445843745212 
442	-0.755223124801302 
443	-1.47182176288893 
444	-1.44623142932315 
445	-0.566694799692092 
446	-0.387317527215303 
447	-0.484564791555101 
448	-8.49156897744604E-02 
449	-0.425717434252324 
450	-0.761878552546966 
451	-0.611160426753118 
452	-0.342082937981244 
453	 0.161003691024667 
454	 0.405883196472015 
455	-0.458701826104358 
456	-0.607164032172458 
457	 2.45297641318685E-02 
458	 0.788075596947516 
459	-0.199027312436278 
460	-0.709904765461772 
461	-2.90432323971117E-02 
462	-0.549511276673968 
463	-0.284729800139359 
464	 0.246788052083972 
465	-0.665526155252065 
466	-1.84328812829784 
467	-1.66040324954018 
468	 0.471436020967788 
469	 0.820659450018402 
470	 0.489440316077288 
471	 0.166485946772814 
472	-0.252174141607812 
473	-1.29296403159586 
474	-1.5554612317078 
475	 0.943003412221638 
476	 2.16700869778629 
477	 1.5540968723316 
478	-0.220811284141031 
479	-0.683648713186091 
480	-0.7341416225665 
481	-0.848779115309474 
482	-0.889904612263917 
483	-0.812352919867285 
484	-0.132074036623085 
485	 1.42876800499425 
486	-0.817793670224483 
487	-2.82300647832058 
488	-1.25392238275074 
489	 0.299795903455264 
490	 0.138427082843683 
491	-1.3830295595036 
492	-1.27285511413186 
493	-0.138228042308192 
494	 0.259844361174451 
495	-1.96187874169889 
496	-1.79481463742423 
497	-1.34136384183977 
498	-2.39346083387823 
499	-2.01789149252948 
500	-0.202114807706176 
501	 1.71315987427584 
502	 0.439301563705002 
503	-1.1575878202425 
504	-2.23978500377644 
505	-2.69875728733467 
506	-2.19462445125189 
507	-1.81366681881338 
508	-1.99694953236929 
509	 3.18651161958044E-02 
510	 0.940292990594526 
511	-0.125846225501932 
512	-0.81085735133841 
513	-1.04085092445297 
514	-1.37623576030124 
515	-2.52742810435756 
516	-1.49180434840995 
517	 0.198028284819993 
518	 0.679677052750365 
519	-0.255725981377042 
520	-1.71959261929914 
521	-2.60877328042325 
522	-1.15907147115907 
523	-1.0350885908084 
524	-1.87304582045077 
525	-1.52506635079477 
526	-1.35773114869714 
527	-1.69940510860746 
528	-2.33847522679632 
529	-1.5410153423603 
530	-1.22395828826806 
531	-1.8250416659337 
532	-1.28355055970752 
533	-0.284008036334982 
534	-0.273623125621709 
535	-2.97191993465667 
536	-3.24359104357933 
537	-1.99778291142582 
538	-1.17048745736415 
539	-0.977064463574994 
540	-0.44081179662613 
541	 0.274749112474925 
542	-1.46847427621914 
543	-2.73057156103028 
544	-2.89940205167621 
545	-2.61525250246753 
546	-0.315308720440821 
547	 1.37682076841315 
548	 6.38473878569685E-02 
549	 0.227874437981717 
550	-7.21867002003641E-02 
551	-1.45852851058322 
552	-0.694382115126633 
553	-0.936131663731825 
554	-1.76434448288636 
555	-0.18737931947913 
556	 1.03471854200797 
557	 0.423304319730409 
558	-2.28189684387985 
559	-1.87962858126508 
560	-1.11185849235293 
561	-1.78158238529538 
562	-1.55908463684149 
563	-0.924060517124291 
564	-0.506508053563341 
565	-1.2339259464677 
566	-1.87952254027763 
567	-1.77998062201608 
568	-0.75909501605092 
569	-1.16613834815453 
570	-1.49715408228017 
571	-0.967587868669385 
572	-2.76454341736941 
573	-3.08074395163743 
574	-1.44216581925969 
575	-1.32261717497617 
576	-1.34842385445558 
577	-0.858021913395174 
578	 0.3938456211713 
579	-0.758122523836436 
580	-1.89819999033493 
581	-0.922968423035821 
582	-0.220249276492431 
583	-0.592889696080267 
584	-1.58278427363397 
585	-0.531876323661486 
586	-1.29438863381003 
587	-2.9373339225226 
588	-2.20859047191413 
589	-1.94391404515409 
590	-2.03962459425548 
591	-1.8330576893778 
592	-0.777081627874307 
593	-0.766280562646 
594	-1.91675765426141 
595	-0.377494516368556 
596	-0.428418662643706 
597	-1.8825222010154 
598	-1.65542609691069 
599	-1.38511110491562 
600	-1.30230416011971 
601	-1.34014305817232 
602	-1.652470791862 
603	-1.65413381906063 
604	-1.23697593043851 
605	-1.77722974882801 
606	-0.858068905102645 
607	 0.907738177313153 
608	 7.31803956951622E-02 
609	-1.37092055553036 
610	-2.14870042624027 
611	-1.49790882203952 
612	-2.08669288933868 
613	-2.30127944776365 
614	-1.19062944794867 
615	-1.51351320618446 
616	-1.5791927044016 
617	-0.959072607766835 
618	-0.714122093097139 
619	-0.594202426129355 
620	-0.570222788630857 
621	-0.66275936143449 
622	-1.06657384177939 
623	-0.779416285883188 
624	 0.49527765352334 
625	-0.433206528794853 
626	-1.50922731625533 
627	-1.79435790716542 
628	-2.38369578462967 
629	-1.85453920753595 
630	-0.707221271161058 
631	-0.518456458241059 
632	-1.4192329560037 
633	-2.42969298736332 
634	-2.54141278886082 
635	-2.13029980520456 
636	-2.125981194952 
637	-2.31559288791469 
638	 0.519638557765056 
639	 0.257031400316114 
640	-2.3551499202411 
641	-1.53649858198975 
642	-1.96407939478932 
643	-2.85223366851317 
644	-2.3224836800614 
645	-1.62138789693319 
646	-0.56413041519437 
647	 0.507539778831817 
