Wavelength	2mm_BluePLA00000.asd
350	 2.01426826034086 
351	 3.1102600627429 
352	 2.28908941004512 
353	 0.17471988059823 
354	 0.012064338179224 
355	 0.319085059379775 
356	-0.111326871142526 
357	 1.1321117137262 
358	 1.5565387206325 
359	 1.19849582829773 
360	 2.15163505351609 
361	 2.63077085399984 
362	 2.00201582545194 
363	 0.447137948461862 
364	 0.275358113440325 
365	 8.70042982689925E-02 
366	-0.318405639063066 
367	 0.495381230700884 
368	 2.1201235597081 
369	 2.95247850103017 
370	 1.63559323294192 
371	 1.3981115962811 
372	 1.61634167659634 
373	 1.42479054200338 
374	-0.194338311149862 
375	-0.20001204954773 
376	 0.799222462544655 
377	 0.56696323948327 
378	 1.73209462679984 
379	 1.91422420301408 
380	 0.018239537106283 
381	 0.875988991175826 
382	 1.56580406873148 
383	 1.45946895704243 
384	 1.82422977600829 
385	 2.05547901913968 
386	 1.88671459300965 
387	 1.42466145767479 
388	 2.24446272411887 
389	 2.72980689060732 
390	 2.29234322338468 
391	 2.01525360895328 
392	 2.34498086063901 
393	 2.89522302590222 
394	 2.94188820607104 
395	 2.8586784557987 
396	 2.91361856477328 
397	 3.07496619756252 
398	 2.35352130717783 
399	 3.07099587851155 
400	 4.63247988278355 
401	 4.26957699529903 
402	 5.67472934062244 
403	 7.08157453143697 
404	 6.46165803340983 
405	 6.73645656787969 
406	 7.29443590736836 
407	 7.89985869772442 
408	 9.20657637629276 
409	 9.52133292490173 
410	 10.0027309740729 
411	 12.5619362668791 
412	 12.8156473944925 
413	 14.1886196586341 
414	 18.6086646329628 
415	 21.2585767596351 
416	 21.7498601600674 
417	 21.8000808525862 
418	 25.1575877396576 
419	 27.6748703787829 
420	 30.2432026476882 
421	 34.4299995805017 
422	 37.5553203176706 
423	 40.9736939185178 
424	 45.1501634657662 
425	 48.2402407207911 
426	 52.3581838058126 
427	 57.218735618999 
428	 61.3521886321044 
429	 65.9242225436598 
430	 70.7586727818781 
431	 75.2554189609801 
432	 78.0202531890761 
433	 81.0635286131194 
434	 85.1758442576816 
435	 89.6687259412347 
436	 93.1864289702952 
437	 95.42466307562 
438	 96.7959159570257 
439	 99.4439236530496 
440	 101.8294431134 
441	 102.790562520367 
442	 103.332580393524 
443	 104.173548455246 
444	 105.513514571102 
445	 107.066926163966 
446	 107.860406546354 
447	 107.746657041642 
448	 106.985491319875 
449	 106.080409491718 
450	 106.714969790207 
451	 108.646715516319 
452	 107.228349233364 
453	 105.873663665998 
454	 105.028988874692 
455	 103.410863842308 
456	 103.727458036934 
457	 104.091753110393 
458	 102.515523013992 
459	 102.205763307839 
460	 101.614045588359 
461	 100.052720754201 
462	 98.6338795436557 
463	 97.7934047958388 
464	 97.2515084274158 
465	 96.2715131955281 
466	 95.2540943279378 
467	 93.7760203178993 
468	 91.5623668004119 
469	 89.3193713059177 
470	 88.0530744478542 
471	 87.6620506222975 
472	 86.2896582644624 
473	 85.708126401083 
474	 84.7394702963568 
475	 81.265128563515 
476	 80.2011056304153 
477	 80.4067432633318 
478	 80.1270599844344 
479	 79.5634438063126 
480	 79.1656708129562 
481	 78.3334138480823 
482	 74.6086172385018 
483	 73.8758524455772 
484	 74.9556091832344 
485	 73.8124414187702 
486	 72.845708875725 
487	 71.6399610675185 
488	 69.6116456597692 
489	 66.77353912363 
490	 64.4840471742873 
491	 63.3845886968312 
492	 63.3805079694282 
493	 62.300324369034 
494	 60.6973625382253 
495	 60.1422087508405 
496	 58.8558750837116 
497	 57.6863006730806 
498	 56.8269133700897 
499	 52.5053619118296 
500	 49.8329562324403 
501	 50.0174302186483 
502	 49.3982321076392 
503	 47.9995072698583 
504	 45.741175946003 
505	 42.9101228455978 
506	 41.8173390750998 
507	 41.6237907131084 
508	 41.2177769999664 
509	 40.5934541242584 
510	 39.177510096181 
511	 37.3213191242048 
512	 36.6606661759714 
513	 36.4401165419434 
514	 35.9097592243883 
515	 34.3983148096884 
516	 33.4702870740302 
517	 33.4926979515986 
518	 33.9772888593097 
519	 32.2216703401075 
520	 29.7504974465038 
521	 28.3030423346114 
522	 30.4098321381983 
523	 30.5083687838933 
524	 28.8914515603132 
525	 28.4248397504592 
526	 26.4896639147415 
527	 24.4438005508589 
528	 23.6657384351882 
529	 22.8116961954127 
530	 22.0245815807565 
531	 21.4579066817488 
532	 21.3429510285742 
533	 20.6526251239755 
534	 18.8695876084521 
535	 15.9418302470719 
536	 15.5559706204719 
537	 15.541477753245 
538	 13.5786791527174 
539	 12.6652563124212 
540	 12.4044384032019 
541	 12.1637777978187 
542	 11.0126607421763 
543	 9.97928969176361 
544	 9.73837028177712 
545	 10.6953409104315 
546	 8.58621571600059 
547	 6.51683288374244 
548	 7.94220481644908 
549	 7.85401939881395 
550	 7.25549067597542 
551	 6.95856417977659 
552	 6.46617812682927 
553	 6.62724286282085 
554	 7.07214883275626 
555	 6.50121236639322 
556	 6.18763307071262 
557	 6.01803204412303 
558	 5.67466135578071 
559	 6.09626953069611 
560	 6.89656246796823 
561	 7.46791512148695 
562	 6.80516306154508 
563	 6.56944041568093 
564	 6.34942878603935 
565	 3.68820648052972 
566	 3.32726442945833 
567	 4.88599656735122 
568	 6.11214723808586 
569	 5.51986755373338 
570	 4.1528830206166 
571	 3.4048266722506 
572	 5.02645405505241 
573	 4.83813097762922 
574	 2.33295514197824 
575	 1.33269049167932 
576	 0.554032787146544 
577	 0.849848995441634 
578	 3.28282104265981 
579	 2.07125015489131 
580	 0.499425348792101 
581	 1.66040688564189 
582	 2.25141229389208 
583	 2.01164093476945 
584	 1.2903831043156 
585	 1.31845758819243 
586	 1.47312969256642 
587	 1.4872347044103 
588	 1.23340472713572 
589	 1.32877781745424 
590	 1.62359123673433 
591	 1.8227450512566 
592	 1.79909527650485 
593	 1.77186115972659 
594	 1.94089040117216 
595	 2.63895527212155 
596	 2.36607080734554 
597	 0.907275383815335 
598	-1.01171397511463 
599	 0.161143424920093 
600	 1.6058082087104 
601	-6.71900857064824E-02 
602	 0.390007397602395 
603	 0.947099550927154 
604	 0.366025391634144 
605	 0.69030385340523 
606	 1.79794056311695 
607	 2.70507392052139 
608	 1.4001709966836 
609	 1.8953743680114 
610	 2.69980700410005 
611	 1.19329607876052 
612	 2.70686450037713 
613	 3.96285946846811 
614	 2.56140776374712 
615	 1.73069458183007 
616	 2.0935193716667 
617	 3.18069138830629 
618	 3.04738092989586 
619	 3.41761439236531 
620	 4.0609420869785 
621	 4.07945269641232 
622	 4.84108126086986 
623	 5.46076381713052 
624	 4.91364361914092 
625	 2.74934251635567 
626	 2.19021521680477 
627	 3.80451032685881 
628	 3.82997982413126 
629	 3.41545981248153 
630	 3.13826789221496 
631	 3.47963737357855 
632	 3.79729710943612 
633	 3.52170771331213 
634	 2.44809201432483 
635	 1.87166601756641 
636	 2.25798874579951 
637	 3.21236240158037 
638	 2.62981197011007 
639	 1.76134830527857 
640	 1.77015684959991 
641	 3.92580401435064 
642	 5.08562874588875 
643	 4.670749764938 
644	 3.32610413276835 
645	 4.35822614151265 
646	 4.62185388789981 
647	 2.78811100322494 
648	 3.88276020621044 
649	 4.09802113210652 
650	 2.90097729484348 
651	 2.7405238802097 
652	 4.99864472624116 
653	 7.06706960871097 
654	 5.62320875037277 
655	 7.07022132981233 
656	 8.41038088938536 
657	 7.55609306694264 
658	 9.39989420352227 
659	 11.3093926557323 
660	 12.6043000931504 
661	 15.1011755339099 
662	 17.3712629299532 
663	 20.6657756439418 
664	 27.0807535139037 
665	 32.804787388754 
666	 40.0307734563573 
667	 50.8419424065847 
668	 62.5426423949116 
669	 76.5349763699042 
670	 93.6370025604602 
671	 113.663936325617 
672	 136.442893593247 
673	 162.141697603646 
674	 191.199410234229 
675	 224.948883077664 
676	 263.035702634747 
677	 305.199105254868 
678	 353.837809923042 
679	 406.82794796724 
680	 463.755584135685 
681	 528.001891605862 
682	 598.423233468644 
683	 673.664801089489 
684	 751.987265746538 
685	 835.305499496869 
686	 924.866765421436 
687	 1020.77213895389 
688	 1117.71031632227 
689	 1218.10891158187 
690	 1322.74644146042 
691	 1426.97220591689 
692	 1533.93877773887 
693	 1643.18002454495 
694	 1751.33305295303 
695	 1857.73106051117 
696	 1963.34775403666 
697	 2069.12778646299 
698	 2170.62730629838 
699	 2270.16851756017 
700	 2368.47785526144 
701	 2459.89819839667 
702	 2548.48907497245 
703	 2635.63082485378 
704	 2720.32708248457 
705	 2802.24220709375 
706	 2878.95139355078 
707	 2948.46913061631 
708	 3019.30220631326 
709	 3086.48245503957 
710	 3146.74834519317 
711	 3207.01411427384 
712	 3264.88676487688 
713	 3318.88064839088 
714	 3368.21711757474 
715	 3415.7154430464 
716	 3461.59028902259 
717	 3505.12000597614 
718	 3547.3489392103 
719	 3587.70982551329 
720	 3625.49255619027 
721	 3660.28596852818 
722	 3692.34885597236 
723	 3722.36264527299 
724	 3751.56652681167 
725	 3779.98899245269 
726	 3808.15764409667 
727	 3836.38470518548 
728	 3861.04699502694 
729	 3883.75596485111 
730	 3906.49378811121 
731	 3929.28787804916 
732	 3952.45669091204 
733	 3975.73080484724 
734	 3998.10082348416 
735	 4019.01279682977 
736	 4038.74971829327 
737	 4058.02375414916 
738	 4076.97483108155 
739	 4093.82917791055 
740	 4108.01290605032 
741	 4124.34128480638 
742	 4139.0641475173 
743	 4150.96965737071 
744	 4162.16353128681 
745	 4173.87196683186 
746	 4185.19138382438 
747	 4194.35753467063 
748	 4203.54610920068 
749	 4212.19159044359 
750	 4219.62465349194 
751	 4226.49081665711 
752	 4231.62355525984 
753	 4235.37310081911 
754	 4240.20708205267 
755	 4243.81764805895 
756	 4246.34403947131 
757	 4248.59173822305 
758	 4247.94153255003 
759	 4243.85872432189 
760	 4238.11012204993 
761	 4238.6040248948 
762	 4240.4577341875 
763	 4241.55545571504 
764	 4243.03804086558 
765	 4243.25471063116 
766	 4241.90040202885 
767	 4239.28240410711 
768	 4235.80588487713 
769	 4232.64542820563 
770	 4229.92381021817 
771	 4224.51941791329 
772	 4218.36614866713 
773	 4212.15100343934 
774	 4205.36310688046 
775	 4197.82238547499 
776	 4190.82323342706 
777	 4185.48566789798 
778	 4177.64153307224 
779	 4168.29361796611 
780	 4158.73242919838 
781	 4149.63768854716 
782	 4139.30480044194 
783	 4127.96225899649 
784	 4117.44922190373 
785	 4105.86517105341 
786	 4093.36125964916 
787	 4080.76061490326 
788	 4069.52779469868 
789	 4056.32861832765 
790	 4040.9071159469 
791	 4030.65081661234 
792	 4017.33740214448 
793	 4000.62785661783 
794	 3984.96707549186 
795	 3970.05710588278 
796	 3954.54632957659 
797	 3937.72011147507 
798	 3923.32479277077 
799	 3908.7846058073 
800	 3892.83122903728 
801	 3876.38361954281 
802	 3860.70296259993 
803	 3845.4014721444 
804	 3829.40786540466 
805	 3814.69525334633 
806	 3799.18949385227 
807	 3781.54374867237 
808	 3764.74215566286 
809	 3747.31333234447 
810	 3729.23077842665 
811	 3712.05404057429 
812	 3694.71978018748 
813	 3677.15888051201 
814	 3659.50877364479 
815	 3641.14411292809 
816	 3622.77029944694 
817	 3604.72751473751 
818	 3586.25930845559 
819	 3567.80694786908 
820	 3549.49309589389 
821	 3531.17018312195 
822	 3510.4570239046 
823	 3490.12991389451 
824	 3472.44600394503 
825	 3451.84817566137 
826	 3433.02732095622 
827	 3416.82089563071 
828	 3398.10200233572 
829	 3378.28505439585 
830	 3357.92618141023 
831	 3337.15221335866 
832	 3313.20383734064 
833	 3288.35940625739 
834	 3264.80610714636 
835	 3242.64539916284 
836	 3222.3064751611 
837	 3204.33950465608 
838	 3189.36392023381 
839	 3176.93532412893 
840	 3164.93532968643 
841	 3151.15120396565 
842	 3135.14799295852 
843	 3117.48383885894 
844	 3099.10836390102 
845	 3081.51615014238 
846	 3064.47399518098 
847	 3046.88274867063 
848	 3027.32006480021 
849	 3005.89237902024 
850	 2985.8506832066 
851	 2968.43499868621 
852	 2948.84491360671 
853	 2929.88646673926 
854	 2911.58339498278 
855	 2892.04932265254 
856	 2872.49855614893 
857	 2853.14283080634 
858	 2833.94668319956 
859	 2814.76112664964 
860	 2795.6511049247 
861	 2776.50995565179 
862	 2757.01882684646 
863	 2736.68132415357 
864	 2716.52668850189 
865	 2697.76360676878 
866	 2678.80344910893 
867	 2658.96382515318 
868	 2638.56698082487 
869	 2619.88364504069 
870	 2600.76268205746 
871	 2581.47825516034 
872	 2563.32566404201 
873	 2544.3227015245 
874	 2525.41116069755 
875	 2506.91495539203 
876	 2485.80214981171 
877	 2465.64472364507 
878	 2446.20498806917 
879	 2424.2859851005 
880	 2403.74473568012 
881	 2382.80397176334 
882	 2359.72589070622 
883	 2338.30501513699 
884	 2316.76338126581 
885	 2294.01825012563 
886	 2269.90420751407 
887	 2245.92784792679 
888	 2222.40533169605 
889	 2198.93479395296 
890	 2173.28556815472 
891	 2149.10259575945 
892	 2127.88437586281 
893	 2107.36273193315 
894	 2087.10940577535 
895	 2067.48557413727 
896	 2049.25637729446 
897	 2032.82884113238 
898	 2016.3011047819 
899	 1999.70415497159 
900	 1987.64583216016 
901	 1976.11439631102 
902	 1965.03712668615 
903	 1956.02555347839 
904	 1948.50069909749 
905	 1942.11215915907 
906	 1935.51461522435 
907	 1924.83530349431 
908	 1912.37807117921 
909	 1899.72626425311 
910	 1887.89250641603 
911	 1873.88737094398 
912	 1858.99657054438 
913	 1844.845735897 
914	 1832.30476385138 
915	 1818.67524792732 
916	 1803.35549086135 
917	 1787.32389307802 
918	 1772.43255564203 
919	 1758.23390547965 
920	 1743.86024414299 
921	 1728.7788272507 
922	 1712.63234376584 
923	 1696.29297938231 
924	 1681.42467418569 
925	 1666.03255338402 
926	 1650.37920461321 
927	 1634.79650231016 
928	 1618.30073087731 
929	 1602.87490228032 
930	 1588.04295827205 
931	 1571.53061480015 
932	 1553.98893616803 
933	 1536.64536424868 
934	 1520.27470096204 
935	 1503.89110630017 
936	 1487.92353609814 
937	 1473.10388963391 
938	 1460.08166540746 
939	 1444.19438793813 
940	 1428.07204870397 
941	 1413.9495026524 
942	 1399.27002328517 
943	 1383.29302479906 
944	 1367.33779019908 
945	 1353.77237472086 
946	 1338.75556738084 
947	 1323.33018293107 
948	 1308.61073931619 
949	 1293.84470741574 
950	 1279.75449704898 
951	 1265.93760780624 
952	 1251.42722145615 
953	 1236.17423881764 
954	 1221.91923612844 
955	 1208.81590804358 
956	 1192.89208146946 
957	 1179.12606879101 
958	 1166.47004965016 
959	 1151.62924228775 
960	 1135.50463767779 
961	 1120.36799291007 
962	 1106.42258430154 
963	 1090.20781177573 
964	 1075.32115793592 
965	 1062.21735434695 
966	 1846.39702645702 
967	 1867.41235117824 
968	 1886.61868403625 
969	 1911.36706550761 
970	 1936.31397438594 
971	 1963.33794779707 
972	 1998.08056869293 
973	 2028.99786913873 
974	 2056.46243852202 
975	 2087.44464378636 
976	 2120.01574163743 
977	 2153.84438394005 
978	 2188.49685293892 
979	 2219.81865840366 
980	 2249.95518978078 
981	 2278.23710431144 
982	 2301.60444122629 
983	 2325.91492100786 
984	 2348.46416463349 
985	 2369.59971364204 
986	 2391.39937667282 
987	 2413.09813931752 
988	 2433.79668044886 
989	 2455.15810252463 
990	 2474.37728636955 
991	 2491.8177878057 
992	 2509.41227704307 
993	 2525.87322235491 
994	 2542.85877610084 
995	 2559.30828165001 
996	 2573.92671939929 
997	 2588.62052453499 
998	 2602.54461424772 
999	 2619.28920441509 
1000	 2639.66516010411 
1001	 2660.09860394423 
1002	 2679.20030151489 
1003	 2695.47581163993 
1004	 2712.59846956174 
1005	 2730.10700939294 
1006	 2747.5070789048 
1007	 2765.40992732666 
1008	 2783.32979050967 
1009	 2803.40588391218 
1010	 2823.92974648703 
1011	 2847.59054038226 
1012	 2872.64018370985 
1013	 2888.97653801955 
1014	 2902.54566345666 
1015	 2919.34104808115 
1016	 2933.67755669693 
1017	 2951.79568210928 
1018	 2974.02450114577 
1019	 2994.10073408807 
1020	 3012.57221959697 
1021	 3032.1067590545 
1022	 3053.60484453909 
1023	 3072.71711141437 
1024	 3090.36039648238 
1025	 3108.66897678126 
1026	 3127.10894012684 
1027	 3144.19633311545 
1028	 3161.64560587713 
1029	 3176.29895109471 
1030	 3193.23189843167 
1031	 3211.13533130915 
1032	 3229.03843015076 
1033	 3249.84578023775 
1034	 3267.4271852138 
1035	 3284.05802426089 
1036	 3302.20127601672 
1037	 3319.02524398822 
1038	 3338.07822876411 
1039	 3356.34778964842 
1040	 3373.88339679468 
1041	 3389.7137026785 
1042	 3408.56980754396 
1043	 3428.79261219026 
1044	 3447.83471520561 
1045	 3468.18814720944 
1046	 3486.58575754522 
1047	 3501.30660443252 
1048	 3514.72045318797 
1049	 3528.8889378631 
1050	 3544.27666439791 
1051	 3561.39518558302 
1052	 3578.84537172661 
1053	 3594.66511955336 
1054	 3609.42991368247 
1055	 3622.80608721277 
1056	 3637.64551123059 
1057	 3652.77997513839 
1058	 3667.70856984992 
1059	 3683.79099617175 
1060	 3700.33557014516 
1061	 3717.81920394711 
1062	 3737.14538903604 
1063	 3756.52753436173 
1064	 3772.95174816051 
1065	 3786.96233590362 
1066	 3800.62886751816 
1067	 3813.62181177057 
1068	 3822.78707982217 
1069	 3836.61023400612 
1070	 3851.18766268928 
1071	 3864.99312210246 
1072	 3887.5400724617 
1073	 3909.93729322166 
1074	 3928.2000378636 
1075	 3943.77940960486 
1076	 3961.67876618705 
1077	 3976.97969552552 
1078	 3994.70868473384 
1079	 4014.97232071368 
1080	 4035.87765929786 
1081	 4058.75021772891 
1082	 4078.46706072077 
1083	 4097.57597933433 
1084	 4116.89445844318 
1085	 4135.51329210735 
1086	 4156.86023933263 
1087	 4182.28937043296 
1088	 4207.83457485716 
1089	 4233.56240710894 
1090	 4258.94770265217 
1091	 4282.79441012798 
1092	 4305.50389964586 
1093	 4330.83191523216 
1094	 4352.66303070667 
1095	 4381.58621071407 
1096	 4417.12970300689 
1097	 4450.47035652674 
1098	 4487.45322781595 
1099	 4521.88851768066 
1100	 4551.57801478973 
1101	 4586.84971546288 
1102	 4626.9690203719 
1103	 4663.87515478685 
1104	 4700.88982074041 
1105	 4740.77961079874 
1106	 4776.08250932397 
1107	 4811.85103729991 
1108	 4852.155620997 
1109	 4893.83136589099 
1110	 4937.34135474115 
1111	 4983.48374546729 
1112	 5028.31754784229 
1113	 5075.41475187606 
1114	 5120.1516612559 
1115	 5164.48548595048 
1116	 5206.88133963949 
1117	 5246.85092886752 
1118	 5288.16581147271 
1119	 5330.47075182949 
1120	 5369.42357053976 
1121	 5409.91480985862 
1122	 5445.24721552651 
1123	 5476.44060357278 
