Wavelength	4mm_BluePLA00000.asd
350	 1.02312227985828 
351	 2.13037444581129 
352	 2.61984176589963 
353	 1.25107048565619 
354	-1.23463756366894E-02 
355	 7.89003330220949E-02 
356	 1.59434056933071 
357	 1.78560093725212 
358	 1.05327997963003 
359	 0.489962791288368 
360	 1.75139296467276 
361	 2.26836309705751 
362	 1.8585451931534 
363	 1.05586630708729 
364	 0.728230649121883 
365	 0.395108112882343 
366	 2.77301407771437E-02 
367	 0.197343387419568 
368	 1.45422965706899 
369	 2.1710893751079 
370	 0.758491966010891 
371	 1.34744069633386 
372	 1.02445543784297 
373	-1.04823989923586 
374	-0.588158805942247 
375	 0.388215957811746 
376	 0.967892022239684 
377	 0.77586462099354 
378	 1.9536534426855 
379	 2.01108635347166 
380	-0.119231303179674 
381	 0.808539980904776 
382	 1.00260264880748 
383	-8.41573902178246E-02 
384	-0.26164556160008 
385	 1.02754202257324 
386	 2.23141331783205 
387	 1.80644460091805 
388	 1.13897493644609 
389	 1.53856676542196 
390	 2.62975636823901 
391	 1.33175882391455 
392	 1.11194973269386 
393	 2.08193680834414 
394	 2.9171583084381 
395	 2.34363663131604 
396	 2.19791902043668 
397	 3.15166383073588 
398	 1.59396131658492 
399	 1.27717105464798 
400	 2.33556750219619 
401	 2.25125148515887 
402	 3.9047178728582 
403	 5.15091448231574 
404	 4.01798549978463 
405	 4.93885779347681 
406	 5.77624232510294 
407	 5.64431490834658 
408	 5.8740964498682 
409	 6.31451269764771 
410	 7.24632232425251 
411	 8.91074878809206 
412	 9.73263166671098 
413	 11.0319947031933 
414	 13.5939697642921 
415	 15.8857982314265 
416	 16.4120911878397 
417	 16.221929003226 
418	 18.6970836418897 
419	 21.3866747782259 
420	 23.5810721838436 
421	 25.3505616883767 
422	 28.5204029609792 
423	 32.1517976232269 
424	 35.3804393496298 
425	 37.5602213100272 
426	 40.7250188966594 
427	 44.7855159174898 
428	 48.4691835266386 
429	 51.2751383609438 
430	 54.7539763810633 
431	 59.7275156287894 
432	 62.9240222580775 
433	 65.4468660619482 
434	 68.0824108819586 
435	 71.205586413309 
436	 74.0091988823652 
437	 75.9140639219349 
438	 76.7462661526939 
439	 79.1276760907226 
440	 81.371247445814 
441	 82.3444351832713 
442	 84.0170820162929 
443	 84.7657987225812 
444	 84.7772084920565 
445	 85.8550321441033 
446	 86.1783584340869 
447	 85.7136361109275 
448	 84.9839378853183 
449	 84.2970431225094 
450	 84.9037292139273 
451	 86.4803245473721 
452	 84.9421990347448 
453	 84.4758399904354 
454	 85.0636147807652 
455	 84.0223683641751 
456	 83.1571653495032 
457	 82.0551886090052 
458	 80.2387604649303 
459	 79.3132394966799 
460	 78.5068144946904 
461	 77.5023367190234 
462	 77.0138568373787 
463	 76.7000230871376 
464	 76.1213734280221 
465	 74.7670491354076 
466	 73.0198294685357 
467	 71.4527713621745 
468	 70.3476346096839 
469	 68.6197824318033 
470	 67.2050507519335 
471	 66.2536514621642 
472	 64.5507551424902 
473	 63.6676540749004 
474	 63.1917328014623 
475	 61.8848112513916 
476	 60.7009699942815 
477	 60.4586685432152 
478	 61.114861493247 
479	 59.6645629877976 
480	 57.8650637840894 
481	 56.5686776688883 
482	 55.273255114876 
483	 55.4601500723062 
484	 56.1230420131979 
485	 55.2596000115225 
486	 53.8199272910887 
487	 52.235714445745 
488	 50.6319592945935 
489	 48.0936726295978 
490	 46.5006652051425 
491	 46.2864327253098 
492	 46.1024638991086 
493	 45.3808075342713 
494	 43.9959103938894 
495	 42.2782162553806 
496	 42.2531057744953 
497	 42.5672222354107 
498	 41.6013542056134 
499	 38.3865473857508 
500	 36.0808749520653 
501	 35.5829795120028 
502	 35.0077616542839 
503	 34.3312036866361 
504	 33.0210468687121 
505	 30.6481055158371 
506	 29.3160612182719 
507	 28.8859425987383 
508	 28.9493181505003 
509	 30.0076451782807 
510	 28.8378931083675 
511	 25.6406776684298 
512	 25.2524971961215 
513	 25.4938575553389 
514	 25.224762875972 
515	 23.7248292728573 
516	 22.8582020476226 
517	 23.041101076454 
518	 23.8824581524185 
519	 23.1718960822032 
520	 22.0395132007831 
521	 21.2628183713982 
522	 21.1880604789204 
523	 20.7767197399146 
524	 20.0747290446179 
525	 19.5923247390483 
526	 18.6469962759013 
527	 17.6419784195151 
528	 17.0428281996809 
529	 16.8626939302144 
530	 16.2262588112779 
531	 15.0794763053524 
532	 14.778390975131 
533	 14.2403438579365 
534	 12.9452732322808 
535	 10.764437170813 
536	 10.9403785723255 
537	 11.1211227469931 
538	 9.0705105645075 
539	 8.82047467360036 
540	 8.38933869384168 
541	 6.99665722094565 
542	 6.37176286178636 
543	 6.67423564429982 
544	 7.43317823393895 
545	 7.61684906412077 
546	 6.22639292347746 
547	 4.92664353499001 
548	 5.34151639963556 
549	 5.02303378905672 
550	 4.32691002548198 
551	 3.62224845271629 
552	 2.63018695246299 
553	 3.94818740282178 
554	 5.91391160734405 
555	 3.55053289422353 
556	 2.87341273894011 
557	 3.90778048042628 
558	 4.9886694462196 
559	 5.31360328733558 
560	 5.11579609735042 
561	 4.83721187016012 
562	 5.1944011828489 
563	 5.3951674180397 
564	 4.74707391609458 
565	 2.49611980947637 
566	 1.7246311460769 
567	 3.01878152443521 
568	 5.52613168216437 
569	 4.88746147071908 
570	 2.86950147368564 
571	 1.73375452506585 
572	 3.03712443159236 
573	 2.95060062495919 
574	 1.14250293159604 
575	 1.51642146232706 
576	 1.3292277227941 
577	 0.531690280122814 
578	-1.00424722396565E-02 
579	-1.42093598191425 
580	-1.78540334614083 
581	 0.176594545594827 
582	 2.13902596324085 
583	 1.96187864748704 
584	-5.84891515794525E-02 
585	 0.288000780851483 
586	-0.643134340162428 
587	-1.75357995054405 
588	 0.153441180828438 
589	 0.537673029395357 
590	 0.314307649353036 
591	 1.01155575577739 
592	 1.35274615836391 
593	 1.09882065919999 
594	 0.553421035190851 
595	 1.16889574698843 
596	 0.833925030332473 
597	-0.214620062648254 
598	-0.167202518321672 
599	 0.834017577890204 
600	 1.1037794395025 
601	-0.62581153101798 
602	 2.55947724289173E-02 
603	 0.840647360402941 
604	 0.436106721600414 
605	 0.74871541233534 
606	 1.18402540068913 
607	 1.1954752124418 
608	 0.11124287100815 
609	 0.979467842090731 
610	 2.0226175731284 
611	 0.454030714159803 
612	 0.612916636285941 
613	 1.35641195153164 
614	 1.40374134953807 
615	 0.965851466623815 
616	 2.0517188070233 
617	 4.06316075004891 
618	 2.97266525090894 
619	 2.35848433562233 
620	 2.51699388829782 
621	 2.48181893136978 
622	 2.34586411490253 
623	 2.83109693224273 
624	 4.08515463970599 
625	 3.662971510242 
626	 2.55878462984054 
627	 1.72767981057894 
628	 2.18120935173592 
629	 2.13012646334977 
630	 1.79795451033298 
631	 2.43626648021207 
632	 2.70889498795681 
633	 2.35637711105363 
634	 1.61463895800957 
635	 1.85800668840681 
636	 2.27650319052356 
637	 2.37805765321019 
638	 2.53364158115989 
639	 2.77787198708127 
640	 3.24472075474518 
641	 4.12105371376028 
642	 3.90146877030632 
643	 2.98950071600023 
644	 2.34618076848674 
645	 2.32590388382963 
646	 2.68198714077154 
647	 3.10393089864201 
648	 3.33033491897528 
649	 3.35733082328043 
650	 3.16320776871585 
651	 2.67783769184288 
652	 3.47033523865239 
653	 4.49129754545087 
654	 4.05616161686918 
655	 4.53266511735146 
656	 5.43622365392586 
657	 6.19133203813442 
658	 7.18746403490431 
659	 8.31954582257447 
660	 9.74941901358682 
661	 12.0471743608096 
662	 14.3248197286847 
663	 16.830768669581 
664	 20.3771091006038 
665	 25.7925668121834 
666	 32.7988695483751 
667	 40.8673099472853 
668	 49.2383143695939 
669	 59.9785070402021 
670	 73.7859706441727 
671	 89.0263165426841 
672	 107.147340039306 
673	 127.927937365864 
674	 150.418734234322 
675	 177.258298838595 
676	 208.436189158855 
677	 243.4170169591 
678	 282.183659927253 
679	 325.991682434402 
680	 374.979747503019 
681	 426.722756936841 
682	 484.497153020724 
683	 548.26652863207 
684	 615.819598083837 
685	 688.39427429905 
686	 766.142524465144 
687	 848.73607367974 
688	 934.792693465213 
689	 1024.29009559617 
690	 1116.84472118734 
691	 1210.71662289891 
692	 1307.99389848898 
693	 1408.15575691265 
694	 1508.51426771556 
695	 1608.10258863094 
696	 1706.85501448075 
697	 1804.94542583823 
698	 1900.77421048536 
699	 1996.69136748737 
700	 2092.46743237188 
701	 2179.6023214699 
702	 2265.16033662998 
703	 2350.67552991947 
704	 2432.52061518752 
705	 2511.83447792155 
706	 2586.67778651174 
707	 2655.1255001436 
708	 2724.41034118711 
709	 2790.6616547739 
710	 2851.25928760091 
711	 2911.79897022073 
712	 2968.34034726727 
713	 3020.27287312676 
714	 3070.69854101045 
715	 3118.53003643911 
716	 3163.93079637339 
717	 3207.41679233593 
718	 3248.98653289956 
719	 3288.70051593818 
720	 3326.4290221081 
721	 3361.60777031003 
722	 3393.24538243421 
723	 3422.34078838254 
724	 3452.6037531977 
725	 3480.98100989095 
726	 3508.24806302613 
727	 3536.27156836282 
728	 3561.3130024369 
729	 3583.70833515579 
730	 3605.0967078957 
731	 3629.15168461386 
732	 3653.22206487106 
733	 3676.06013525933 
734	 3698.41072156756 
735	 3717.60556825762 
736	 3735.62143874767 
737	 3756.13333762216 
738	 3775.49673578686 
739	 3792.73237052934 
740	 3807.98848009718 
741	 3823.69893721742 
742	 3838.5499840954 
743	 3851.34778999904 
744	 3860.65943572349 
745	 3872.03233658982 
746	 3884.25546670294 
747	 3893.41245543797 
748	 3902.57461183934 
749	 3911.44563200311 
750	 3919.45295319471 
751	 3927.16729649962 
752	 3932.35041538982 
753	 3935.56885438352 
754	 3941.2723738587 
755	 3945.51781108646 
756	 3948.26138695571 
757	 3950.65593900854 
758	 3949.80563593325 
759	 3946.10407248653 
760	 3941.69472372651 
761	 3942.53479539574 
762	 3945.23392618343 
763	 3947.26440029433 
764	 3946.87340285253 
765	 3946.4998394386 
766	 3946.42891028198 
767	 3945.86588000959 
768	 3941.59562713346 
769	 3937.83254417568 
770	 3936.72751407416 
771	 3931.53481253775 
772	 3926.010390916 
773	 3921.14934300971 
774	 3915.25276591604 
775	 3908.42918096296 
776	 3901.79035134561 
777	 3896.43649810125 
778	 3890.18547345696 
779	 3883.16840960202 
780	 3875.33323282161 
781	 3865.22413156237 
782	 3855.25262993597 
783	 3845.80857446979 
784	 3835.62967801865 
785	 3824.42667543723 
786	 3812.66715326279 
787	 3801.1345653261 
788	 3790.99030407926 
789	 3779.17092067993 
790	 3765.18459269971 
791	 3754.9635594507 
792	 3741.16616656807 
793	 3724.74201647062 
794	 3711.65084386776 
795	 3698.02879771372 
796	 3684.00109711061 
797	 3670.20270980992 
798	 3655.94587203825 
799	 3640.7391821768 
800	 3625.20540610551 
801	 3611.94046822876 
802	 3597.81692505001 
803	 3582.93779101901 
804	 3568.83012103267 
805	 3555.894229021 
806	 3541.67013100673 
807	 3524.96375938574 
808	 3510.14478140218 
809	 3494.29422122092 
