Wavelength	1mm_BluePLA00000.asd
350	 1.53249555034482 
351	 2.97235709561773 
352	 3.00326975152316 
353	 0.594018272857593 
354	 0.74997014676159 
355	 2.01837052674807 
356	 2.4018674031625 
357	 1.62267770060844 
358	 1.79224593152873 
359	 2.91313013120672 
360	 3.21315091134709 
361	 2.95144987850091 
362	 2.4366781593316 
363	 1.95315589172457 
364	 1.32008953223093 
365	 1.11690142813909 
366	 1.35967923870548 
367	 1.28343717956379 
368	 3.24031897161954 
369	 4.73829123158058 
370	 2.74087066688903 
371	 2.1724600818047 
372	 2.07513998251988 
373	 1.63909483810317 
374	 1.17828620166984 
375	 1.66239978091109 
376	 2.41875722212741 
377	 2.12454359540612 
378	 3.3007644313255 
379	 3.72315616476274 
380	 2.28034763455377 
381	 3.31199039554527 
382	 3.5503514114082 
383	 2.84636002689594 
384	 3.67586270538154 
385	 4.96964068639593 
386	 6.05025911357484 
387	 6.45930920057666 
388	 6.40762601705313 
389	 6.79380539453445 
390	 7.67521527460398 
391	 7.80111928374992 
392	 7.66770240439578 
393	 7.96982240980976 
394	 9.27855953875668 
395	 9.48370635701238 
396	 10.3195645471981 
397	 12.5167674047455 
398	 12.9130145805185 
399	 13.741070973693 
400	 15.2250915700503 
401	 16.1826976783236 
402	 19.1245693961279 
403	 22.1421932007383 
404	 23.4052869540054 
405	 26.7259178843733 
406	 29.2323243551452 
407	 30.4381323660866 
408	 33.8223217152988 
409	 38.2573404882124 
410	 42.9361387219227 
411	 47.092248343095 
412	 50.8279129091714 
413	 55.0890902559013 
414	 60.5372727900391 
415	 67.0011866790883 
416	 72.5939174647686 
417	 77.6376644726331 
418	 84.4345813105402 
419	 90.916095019793 
420	 97.5396755444701 
421	 105.21244305717 
422	 113.410373561393 
423	 121.931602557321 
424	 130.484918774892 
425	 138.439254957445 
426	 146.795157712701 
427	 155.830819075708 
428	 165.29852946501 
429	 172.753914536302 
430	 179.930159438964 
431	 188.348959860773 
432	 195.664722931868 
433	 202.562297753994 
434	 209.371000442895 
435	 215.917806098664 
436	 222.474385116124 
437	 228.226910101145 
438	 232.269850660429 
439	 237.0222410469 
440	 241.34294729527 
441	 244.605326857534 
442	 248.963787148187 
443	 252.241594766591 
444	 254.66197732485 
445	 258.599870104307 
446	 261.49749463713 
447	 263.103163236354 
448	 264.014979087877 
449	 265.509540706949 
450	 267.306503849398 
451	 268.943074090956 
452	 269.789803305574 
453	 270.757403905716 
454	 272.055669682089 
455	 273.418994404882 
456	 273.895158829601 
457	 274.601829366363 
458	 276.467718279038 
459	 277.023955407172 
