Wavelength	Reference_BluePLA00000.asd
350	 22.0138313480212 
351	 23.3675163466727 
352	 23.9046250299109 
353	 23.9901237954998 
354	 24.9548383612366 
355	 26.472708155859 
356	 27.95712375914 
357	 29.0112986419324 
358	 30.0047106104543 
359	 31.2164910302257 
360	 32.8265382226606 
361	 33.7096546723588 
362	 34.0594770104156 
363	 34.4397212396395 
364	 35.5420558968114 
365	 35.979961534269 
366	 35.7674589205485 
367	 36.6853113203438 
368	 39.8408158455918 
369	 42.6712015981279 
370	 42.2422213463731 
371	 42.5316266241142 
372	 43.3415477633241 
373	 44.1621169069227 
374	 44.4938316889506 
375	 45.268953475385 
376	 46.2813019578236 
377	 46.9492664594329 
378	 49.5792658240483 
379	 52.0476400529404 
380	 53.049807299148 
381	 55.8175746263076 
382	 57.50260614591 
383	 58.3875624195332 
384	 61.40845603511 
385	 64.7918705962253 
386	 68.1464002855317 
387	 71.331841308359 
388	 73.7514887704285 
389	 76.8227003716205 
390	 81.0428186820914 
391	 85.4649644007711 
392	 89.8486538954219 
393	 95.0021941040525 
394	 101.785758220876 
395	 106.365535235839 
396	 112.569059062073 
397	 122.24597368071 
398	 129.770155732709 
399	 137.665441243913 
400	 147.139856835075 
401	 158.54965078265 
402	 171.335575252643 
403	 184.232773626599 
404	 196.768661769541 
405	 212.807415382992 
406	 229.536751105675 
407	 246.326487870358 
408	 266.404930096377 
409	 285.970718878741 
410	 306.487406097143 
411	 331.079068777024 
412	 355.43403459615 
413	 380.910769103848 
414	 408.721624658876 
415	 438.010107847814 
416	 465.016221397953 
417	 490.892791901809 
418	 521.213701621506 
419	 549.866608443327 
420	 577.416543736394 
421	 605.90198350241 
422	 634.956418791973 
423	 662.951246174291 
424	 689.330032398789 
425	 715.544089503949 
426	 741.751979589618 
427	 767.716808657887 
428	 792.872248980314 
429	 816.951302839001 
430	 839.877139425481 
431	 861.874509426557 
432	 884.135995874574 
433	 905.030865430487 
434	 924.310685013656 
435	 943.541189790599 
436	 962.001842595889 
437	 979.55540066371 
438	 996.369676452726 
439	 1013.7055033274 
440	 1030.35329799172 
441	 1045.7021422533 
442	 1061.52044861058 
443	 1077.65937326984 
444	 1093.71255643202 
445	 1108.97093282576 
446	 1124.65858438372 
447	 1139.59057673389 
448	 1152.46964338729 
449	 1165.65514713673 
450	 1180.40916761275 
451	 1195.98030654173 
452	 1206.9998262376 
453	 1220.41778357707 
454	 1236.13465736647 
455	 1249.50188517779 
456	 1263.46662356503 
457	 1278.35955094857 
458	 1293.85418514321 
459	 1309.24589893419 
460	 1325.2385626565 
461	 1342.28433816363 
462	 1360.51789002507 
463	 1378.01392679885 
464	 1395.59957569369 
465	 1415.50762959038 
466	 1435.17802720662 
467	 1455.13366905662 
468	 1476.17256087187 
469	 1497.51823749581 
470	 1520.18460416779 
471	 1544.49789285734 
472	 1569.71003353598 
473	 1596.15024969556 
474	 1623.37977934483 
475	 1650.75922763384 
476	 1679.98925017659 
477	 1710.38488699872 
478	 1741.18168095712 
479	 1772.87614371172 
480	 1805.85516277254 
481	 1839.8467451355 
482	 1873.46703605265 
483	 1910.00721226173 
484	 1948.4033814906 
485	 1985.940760289 
486	 2025.1592163917 
487	 2065.85467368579 
488	 2107.57354600018 
489	 2150.48954716369 
490	 2194.66771855585 
491	 2240.58250025402 
492	 2289.46313932056 
493	 2337.96294287832 
494	 2386.98654726058 
495	 2439.00216891961 
496	 2491.82420697671 
497	 2546.08640948292 
498	 2601.87597776228 
499	 2655.78929295625 
500	 2711.55466997653 
501	 2770.10680560057 
502	 2828.94870398598 
503	 2886.87856464752 
504	 2945.39495211025 
505	 3007.09363360778 
506	 3070.52591371792 
507	 3134.2860954643 
508	 3197.84862846389 
509	 3263.67028057886 
