Wavelength	3mm_BluePLA00000.asd
350	 2.63305657623305 
351	 2.49846683308544 
352	 0.786808683350718 
353	 0.586440021927285 
354	 0.43929742412205 
355	 0.317285925478021 
356	 0.449140916401315 
357	 1.42875395087969 
358	 1.19530843413602 
359	 0.2697608773002 
360	 1.28974730160256 
361	 2.05231086169704 
362	 1.71147751008899 
363	 0.28618770247755 
364	-5.45205626742946E-02 
365	-0.549975609813201 
366	-1.20035370991491 
367	-0.301455828434788 
368	 0.853101071468486 
369	 1.40444665766688 
370	 1.01670360854657 
371	 2.09599640285393 
372	 2.09395257913303 
373	 0.142388154199005 
374	-0.866518784679722 
375	-0.418047261782975 
376	 0.567844850189067 
377	 0.444285280714445 
378	 1.1493298438956 
379	 1.33450206560752 
380	 0.146439040938859 
381	-0.624982070848179 
382	-0.239222706739601 
383	 0.792737877965729 
384	 0.847959820749938 
385	 1.66606095224707 
386	 2.53483589444486 
387	 2.29348439250556 
388	 0.299845110715061 
389	 0.559386442252562 
390	 3.24519038020499 
391	 2.39052310796112 
392	 1.52405552020462 
393	 1.41256279006399 
394	 1.77096317146528 
395	 1.58627326653793 
396	 2.43783342933032 
397	 4.49603415776227 
398	 3.32121044661618 
399	 2.45204657460521 
400	 2.92226055116384 
401	 3.94677506191264 
402	 5.13341209036731 
403	 5.38882026361402 
404	 4.34541158160022 
405	 5.49876265673901 
406	 6.23208110897439 
407	 5.97064175965739 
408	 7.74939045029955 
409	 7.9182353139282 
410	 7.89537097461193 
411	 10.6015875310209 
412	 10.6896878908476 
413	 11.3276918883853 
414	 14.8269836395015 
415	 18.3950922758713 
416	 19.364603152719 
417	 19.0342915408933 
418	 22.3316924724389 
419	 24.4232508438664 
420	 26.186750611977 
421	 29.4453025280977 
422	 32.1635941352174 
423	 35.6721420505221 
424	 40.188493694092 
425	 43.3139255343896 
426	 47.1604047222735 
427	 51.7093106200287 
428	 55.89860174138 
429	 60.2493459349512 
430	 64.1203696085041 
431	 67.1449225046531 
432	 70.6348989503974 
433	 74.0982475866775 
434	 77.295882933725 
435	 80.3078779791859 
436	 83.7918083785083 
437	 87.0322319960056 
438	 88.8816028230147 
439	 89.6358554058598 
440	 91.0106834068954 
441	 93.6408804379382 
442	 94.8893800269836 
443	 95.6265280372571 
444	 96.6193459119315 
445	 98.6523832224147 
446	 98.5003640070814 
447	 97.2225014810231 
448	 96.7709995411375 
449	 95.4480711899418 
450	 95.5692421637622 
451	 97.597168255222 
452	 97.5534484378388 
453	 96.4492945047286 
454	 94.9527347437448 
455	 93.7406113129172 
456	 93.3531068118254 
457	 93.4159394708071 
458	 93.1740698932805 
459	 91.2692642906694 
460	 89.9137405724995 
461	 89.7421031260541 
462	 88.304837274 
