Wavelength	Reference_BlackPLA00000.asd
350	 21.0536170590827 
351	 23.0143000185841 
352	 24.7996078609521 
353	 24.1015663372126 
354	 24.1097637921758 
355	 25.4625406308117 
356	 27.5961234474254 
357	 27.6324100802687 
358	 29.0523535083804 
359	 31.4535207605893 
360	 31.2961304552317 
361	 32.6656128491806 
362	 34.1772242738359 
363	 33.9838289031762 
364	 33.5610549131286 
365	 35.3322464614064 
366	 38.247402016833 
367	 36.7447737894884 
368	 36.8999951740786 
369	 38.5764050854928 
370	 39.7491948489438 
371	 40.379162107827 
372	 41.1914552947544 
373	 42.4661409678148 
374	 43.381280258387 
375	 45.3737569490028 
376	 47.6427359453344 
377	 48.3741481544422 
378	 48.2267158806058 
379	 49.5386120488432 
380	 52.9208543882019 
381	 53.044956093273 
382	 54.9029726630262 
383	 58.765207615073 
384	 60.9072297606849 
385	 63.2177756657931 
386	 66.33007913262 
387	 70.1962722352173 
388	 72.9607947531509 
389	 75.0452937181736 
390	 77.4764028858248 
391	 82.1564878608821 
392	 87.3326351101239 
393	 92.578463132286 
394	 98.0489907612252 
395	 104.737559222653 
396	 110.341545638452 
397	 114.553475709114 
398	 123.150193103707 
399	 133.350407699405 
400	 144.124785483616 
401	 155.576770415389 
402	 166.767519516507 
403	 178.168723851133 
404	 190.778288560774 
405	 206.203294124824 
406	 222.581350818925 
407	 239.214825057632 
408	 257.175238637123 
409	 278.390619729352 
410	 301.053717782415 
411	 322.11868152984 
412	 344.972058363664 
413	 370.134192764444 
414	 397.085669981006 
415	 423.673983901184 
416	 450.738101012377 
417	 478.608425909412 
418	 507.220686128437 
419	 535.475872273363 
420	 562.94801095453 
421	 589.687966222006 
422	 616.934296928854 
423	 644.243555299995 
424	 671.497214576441 
425	 699.930938724748 
426	 724.558316400175 
427	 747.258019281471 
428	 773.343752146469 
429	 796.852311605353 
430	 818.472962284832 
431	 839.913494575347 
432	 861.971409787259 
433	 882.909478910842 
434	 902.352485256923 
435	 921.792699263175 
436	 938.561031029287 
437	 954.254880981755 
438	 971.772808803557 
439	 989.285440935882 
440	 1006.26879840562 
441	 1022.48900013244 
442	 1037.96395616645 
443	 1053.32458579709 
444	 1068.74455838788 
445	 1083.98626536302 
446	 1099.90480259413 
447	 1114.70205927365 
448	 1126.89566399391 
449	 1142.20647274121 
450	 1157.00749380801 
451	 1169.23079817857 
452	 1181.29471835856 
453	 1195.12712904466 
454	 1210.43086614948 
455	 1225.19818588383 
456	 1238.569683542 
457	 1251.32131428854 
458	 1264.89628768973 
459	 1281.48810782324 
460	 1298.47663737225 
461	 1314.75204594366 
462	 1332.3249776527 
463	 1349.65460067737 
464	 1366.74566033682 
465	 1384.42749266466 
466	 1403.72876313465 
467	 1423.80290464881 
468	 1443.97389988146 
469	 1465.86259369597 
470	 1489.68260525656 
471	 1514.79947956833 
472	 1539.33264048997 
473	 1563.46870024485 
474	 1588.79198341727 
475	 1617.41895659476 
476	 1646.20875027948 
477	 1675.81789855348 
478	 1706.91193831381 
479	 1737.43901996972 
480	 1770.31289507964 
481	 1805.59324623417 
482	 1839.29551191402 
483	 1873.4138792077 
484	 1908.79520131081 
485	 1946.00643059381 
486	 1985.98047967477 
487	 2026.86698853112 
488	 2067.36264729782 
489	 2109.37603045319 
490	 2153.35757254476 
491	 2199.3214903388 
492	 2246.8372903252 
493	 2294.66394017127 
494	 2342.91635546431 
495	 2392.43066840028 
496	 2444.45428998487 
497	 2497.14459023681 
498	 2549.50332254234 
499	 2605.10076165465 
500	 2661.46482761604 
501	 2717.77386401436 
502	 2775.34773118261 
503	 2832.72691648458 
504	 2890.93481672544 
505	 2951.82668834113 
506	 3013.90959635839 
507	 3076.15303725437 
508	 3138.32949992211 
509	 3202.5879591091 
