Wavelength	1mm_BlackPLA00000.asd
350	 1.35987869174064 
351	 1.05959226663065 
352	 1.09858253606133 
353	 1.09004540051269 
354	-8.73203580278155E-02 
355	 0.224802441132879 
356	 2.80709938980529 
357	 0.673155909275445 
358	 0.714825426744199 
359	 2.58903360070415 
360	 0.111711952624655 
361	-3.65453955474339E-02 
362	 0.895582830962438 
363	 0.482588026902078 
364	-0.668348949558403 
365	-0.213275340270834 
366	 1.28336325929134 
367	-0.541416884051349 
368	-1.16294477718977 
369	-0.132152880631839 
370	 1.36787222517887 
371	 1.08214489313187 
372	-0.285923390389916 
373	-1.30752115615977 
374	 0.790169267641375 
375	 1.37182382998403 
376	 0.865680590337473 
377	 1.90922249287702 
378	 1.35793408664082 
379	 0.683809215895158 
380	 0.996661961302053 
381	 0.221630244085845 
382	-0.258418895079268 
383	-1.29612351168865E-02 
384	 0.589532301006199 
385	 1.19444749668797 
386	 1.36041238243358 
387	 0.916917755052837 
388	 1.03431599564076 
389	 0.129096437136114 
390	-1.46102642928701 
391	-0.136113509354309 
392	 0.620160259708107 
393	 0.807576748213703 
394	 1.54077043311707 
395	 0.850959252815383 
396	-0.423353512342127 
397	-1.26700272798943 
398	-1.16998115616531 
399	-0.142768105217707 
400	 1.44930149153142 
401	 2.88894981758467 
402	 2.74114440148813 
403	 1.16693501288081 
404	-0.765618483500371 
405	-0.199101905739863 
406	 0.797059541293517 
407	 0.878794745826452 
408	-0.159878227239634 
409	 0.298202546078378 
410	 1.6404508502097 
411	 1.90005801370211 
412	 1.26685089933246 
413	 0.904063268547138 
414	 1.46372003257437 
415	 1.91928304987066 
416	 1.79685151051632 
417	 1.02204363994443 
418	-8.93624050212663E-02 
419	 0.548962614820332 
420	 1.20162994376356 
421	-1.42263299200355E-03 
422	 1.2118658317907 
423	 0.860346093373749 
424	-1.6660708900686 
425	 0.86778173771285 
426	 0.857702934995381 
427	-1.24098903800074 
428	-0.937283967794552 
429	 0.126382283507295 
430	 0.43103231635473 
431	-0.532324557986575 
432	 0.668280637200843 
433	 0.978539705047675 
434	-0.04690820518818 
435	 0.672362333211538 
436	 0.342869184728682 
437	-0.767556199916945 
438	-1.30564776164255 
439	-1.19465164921875 
440	-0.397219482476266 
441	 0.674003801791559 
442	 0.440724305549059 
443	-1.23077380874043E-02 
444	 1.80247696990253E-02 
445	 0.964369974141182 
446	 2.60463238753608 
447	 2.6647068264688 
448	-0.313133846885896 
449	 1.27886466354982 
450	 2.39376924692914 
451	 0.374751538864721 
452	-0.53217201153483 
453	 0.319324226691037 
454	 2.00038651326849 
455	 2.25569347003052 
456	 1.21697157287725 
457	-1.33782992803241E-02 
458	-0.37616511517179 
459	-0.69132136016228 
460	-0.185007924544173 
461	 1.05544337453566 
462	 1.38547829814828 
463	 0.329544937649421 
464	-1.06996262987928 
