Wavelength	2mm_BlackPLA00000.asd
350	 1.436542308661 
351	 1.84608703844725 
352	 2.88272200523632 
353	 2.2998853585342 
354	 1.4105411510528 
355	 1.32805115259279 
356	 2.09149206843601 
357	 0.450517926326636 
358	 0.130064934111392 
359	 1.08372955283675 
360	 0.212405737448083 
361	 1.31987972312296 
362	 1.88595386284242 
363	-0.340367421326401 
364	-0.245707461268391 
365	 0.877509838520499 
366	 1.43027481036992 
367	-0.484190931106123 
368	-0.998966435941147 
369	-9.92374879184757E-03 
370	 1.08529605644886 
371	 0.318732734898928 
372	-0.390219452048379 
373	 5.60466364854785E-02 
374	 0.629581756846398 
375	 1.47137990682961 
376	 2.24387459911573 
377	 2.32437209887671 
378	 0.25632230914661 
379	-1.09690870828495 
380	 1.18823245377156E-02 
381	 0.222503153270235 
382	 0.991626506201668 
383	 1.86067008167848 
384	 0.803129098634278 
385	 0.952152794990456 
386	 1.29931680745622 
387	 0.518369215803936 
388	 1.23534200427394 
389	 1.4800713864246 
390	 0.654662755854108 
391	 0.526915321645222 
392	-1.47545034437338E-02 
393	-0.240238284410803 
394	 0.960814115017608 
395	 1.2949728069782 
396	 0.254359620736877 
397	-1.53511839770628 
398	-1.27505167776221 
399	-0.27888443011307 
400	 1.13792073132744 
401	 3.23183152699946 
402	 2.09069931320804 
403	-0.141766684721138 
404	-0.450855408944842 
405	 0.845899287228111 
406	 1.44350456961448 
407	 0.387383741874917 
408	-1.52072735657013 
409	-0.198168029459429 
410	 2.06999470865234 
411	 0.650588835469716 
412	-1.02070741162754 
413	-0.814560431373754 
414	 1.42802736037304 
415	 0.866381221890307 
416	 1.45409941346097 
417	 2.88771183830578 
418	 1.18812403555874 
419	 0.754899558965531 
420	 0.835631050224684 
421	-9.41546305716212E-02 
422	 0.591941794654448 
423	 0.51330311006281 
424	-0.680966731050872 
425	 1.53151391004816 
426	 1.23729479643577 
427	-0.833761494151146 
428	-0.617641038170636 
429	-0.996734804644725 
430	-0.746990245935684 
431	 0.987342077806543 
432	 1.15810691931368 
433	 0.675565864755924 
434	 0.18731295237824 
435	-2.15518466178505E-02 
436	-0.549620331365215 
437	-1.13013494663578 
438	-1.18797494148194 
439	-0.594073537532599 
440	-0.207244198349406 
441	-0.364406723951528 
442	 0.518029436424586 
443	 3.46065168624071E-02 
444	-1.14759429493797 
445	 0.439701742366291 
446	 2.06409615665643 
447	 2.21018875167733 
448	 0.495940259127924 
449	 1.48906443691671 
450	 2.24577135603592 
451	 1.28028980566222 
452	 1.42563585490148 
453	 2.0914033805086 
454	 2.6708045132184 
455	 2.40241321015995 
456	 1.62708069778557 
457	 0.373873328608563 
458	-1.09999683638661 
459	-1.35115811018947 
460	-0.631762263362645 
461	 0.445638919494914 
462	 0.832221263232534 
463	 0.216279418784964 
464	-0.931673555392761 
465	-1.57621107861478 
466	-1.02980997785454 
467	-0.399328277518041 
468	-0.590205975341221 
469	 8.94365706581284E-02 
470	 1.22579347256995E-02 
471	-0.890020857762407 
472	-8.40310388357399E-03 
473	-0.333107530781413 
474	-1.1559882903627 
475	-0.322760680984106 
476	-0.933520479849542 
477	-1.37351168938975 
478	-0.300186876793503 
479	-0.388531687724535 
480	-0.287053132802681 
481	 0.456347488979739 
482	 1.06425593577997 
483	 1.19778830371949 
484	 0.59583838550933 
485	-0.71320918886064 
486	-0.409731115954773 
487	 3.32251088424821E-02 
488	-0.509543624604717 
489	 0.233427389468187 
490	 1.39379311673157 
491	 1.92300904625059 
492	 0.325929367036753 
493	-0.484077605069661 
494	-0.599951475889399 
495	-1.17116128764835 
496	-1.67825677080248E-02 
497	 0.680009075853443 
498	-0.491919996055409 
499	-4.17241322030251E-02 
500	-0.662286498135189 
501	-2.48544413120455 
502	-2.31283642069878 
503	-1.17416022201937 
504	-0.306528866321676 
505	-0.950243769572705 
506	-0.926468303254852 
507	-0.810105812990596 
508	-1.18624215031949 
509	-1.16407919723288 
510	-0.994127879256728 
511	-0.811594592629758 
512	-0.586757874484651 
513	-0.393738719342947 
514	-0.492926435597745 
515	-1.16100965243779 
516	-1.89763228731693 
517	-1.80959383781398 
518	-0.599750194423881 
519	-0.104022482467549 
520	-0.24844693874287 
521	-0.528432585627791 
522	 0.298124074354679 
