Wavelength	3mm_BlackPLA00000.asd
350	 1.90354209369343 
351	 1.54246204777777 
352	 1.33912006094915 
353	 0.847836947606318 
354	 0.156747716599487 
355	 0.293092829615679 
356	 1.41748896803171 
357	 0.611880757332115 
358	 0.362096939283055 
359	 0.564022149670538 
360	-0.929363791940351 
361	-5.93538938553986E-02 
362	 1.32403387757319 
363	 0.84148327534642 
364	-0.129371327862462 
365	 0.829891382656643 
366	 2.70045394393343 
367	-1.81729326519754E-02 
368	-1.20335690174371 
369	-0.414682089128017 
370	 0.657466480155524 
371	-0.466585501040366 
372	-1.04942533429458 
373	 0.114967298597442 
374	 0.518250584013733 
375	 1.0861087545561 
376	 1.5520986489441 
377	 1.17802613829149 
378	-0.142244953408861 
379	-0.831131670156004 
380	-0.179138102432329 
381	-0.825244369905459 
382	-0.32799961692771 
383	 1.01878357118174 
384	 0.606598232761306 
385	 0.359163256421895 
386	 0.675892658653833 
387	 1.31201476919384 
388	 0.854117435247352 
389	-0.101735648547234 
390	-0.768548178966994 
391	-8.44932009280851E-02 
392	 0.35298162218488 
393	 0.347082857527325 
394	 0.347796734829333 
395	 1.43965070700099 
396	 0.904715312475753 
397	-1.88587495566602 
398	-1.00500834625874 
399	 4.35456011659448E-02 
400	 0.692927968232243 
401	 2.39220215799055 
402	 2.3833923415404 
403	 0.880006483693762 
404	-0.834264585857996 
405	-0.297840276865572 
406	 0.136853641686802 
407	-0.544267592189337 
408	-1.22286195165562 
409	-0.554298582726707 
410	 0.629519427813999 
411	 0.634298008024539 
412	 0.481927206942153 
413	 0.465427979490561 
414	 0.623422144031361 
415	 0.494569092986956 
416	 0.839986252191393 
417	 1.31982996500949 
418	 0.620260694922359 
419	 0.870087167042642 
420	 0.851437280016023 
421	-0.676666459248378 
422	 0.490278367834596 
423	 0.902897003089035 
424	-0.395047213978926 
425	 1.64000413864784 
426	 1.19687108082447 
427	-0.828172867158551 
428	-0.231079002575689 
429	-0.245837832614436 
430	-0.74738941740748 
431	-0.944369426587782 
432	 0.357813748766402 
433	 0.545460888960777 
434	-0.644137870283036 
435	-0.376213788218002 
436	-0.437131872466118 
437	-0.832717782954221 
438	-0.977452141680246 
439	-0.88229775829619 
440	-0.152822983913788 
441	 1.08298501467689 
442	 1.37830537463341 
443	-4.26147162096747E-02 
444	-1.75718403645281 
445	-0.222498405997183 
446	 1.45148895953396 
447	 1.47011316586957 
448	-0.616056775456091 
449	 0.764192422735269 
450	 2.19301671907205 
451	 1.51932133656227 
452	 0.521351165567054 
453	 0.636037337219741 
454	 1.64838629922086 
455	 2.06733755128974 
456	 0.695539170907993 
457	-0.992884546892574 
458	-1.27708426238065 
459	-0.857212450031938 
460	-0.219844024623625 
461	 0.281078001700234 
462	 0.485920946194887 
463	 0.261389052845702 
464	-0.117151581663897 
465	-0.158432674810843 
466	-0.365601921469705 
467	-1.25101194398131 
468	-2.64639804667641 
469	-1.54423985512803 
470	-0.948179238092954 
471	-1.45851499332759 
472	 0.493523917407417 
473	 0.056364525749184 
474	-1.50955272784037 
475	-0.405840352700525 
476	-0.290240413941771 
477	-0.378743180311105 
478	 5.14139678903643E-02 
479	-1.63569555550356 
480	-1.73408889221668 
481	 0.385141323626016 
482	 1.16379376256676 
483	 0.598872427884317 
484	-0.114231444769125 
485	 0.655600988141894 
486	-0.105309962514056 
487	-0.884953154680853 
488	-0.41908711444049 
489	-0.849829675924596 
490	-0.818287792356458 
491	-0.113045391997104 
492	-0.028765975250328 
493	-1.68715051695889E-02 
494	-0.305353179814341 
495	-1.181091404359 
496	-0.275680519175638 
497	 0.271971930574713 
498	-0.91775471538536 
499	-0.192193047181133 
500	-0.25402249461796 
501	-1.57707254338774 
502	-1.77157214881745 
503	-1.62246397634548 
504	-1.34758590247462 
505	-1.03459612830952 
506	-0.687986619133974 
507	-0.589759061140856 
508	-0.798425657859797 
509	-0.390868253023511 
510	-0.733413445369099 
511	-1.82313106144553 
512	-1.82320191118504 
513	-1.09937744186558 
514	-0.540374946473074 
515	-1.26467487022493 
516	-2.6280057761784 
517	-2.6883965172263 
