Wavelength	4mm_BlackABS00000.asd
350	 0.337940905907345 
351	 0.119265612186482 
352	-0.702820475703611 
353	-0.467830830182625 
354	 0.442083422745234 
355	 0.795389501847477 
356	-0.009760898814154 
357	-0.375856789572431 
358	-0.457264053327025 
359	-0.131348438742217 
360	 0.882848141126751 
361	 0.851454296997995 
362	 9.78954407356124E-02 
363	-0.501183593821258 
364	-7.16569032484709E-02 
365	 0.106917558257634 
366	-0.203943706832041 
367	 0.171203708406112 
368	-0.653793953011497 
369	-1.38219040807439 
370	-0.26721487693327 
371	-1.17571771912015E-02 
372	-0.694501356121822 
373	-1.52745898342263 
374	-0.223344310580794 
375	 9.34290451287562E-02 
376	-0.122612597210267 
377	 1.02165046171458 
378	 1.28486244305265E-02 
379	-0.770372834205178 
380	 0.381634866617908 
381	 0.786952569946608 
382	-8.54078287437145E-02 
383	-1.08746194205817 
384	 0.397791778565584 
385	 0.293191722853028 
386	-0.345099687931257 
387	 0.189034248690635 
388	 5.48410356797149E-02 
389	-0.475374483263755 
390	-0.877851558665557 
391	-0.210794542159812 
392	-1.26150868714405 
393	-2.16446365592504 
394	 0.22551093271758 
395	 1.30153961184215 
396	 0.543796688856096 
397	-1.12164614856728 
398	-0.509478462029207 
399	 0.287784817137333 
400	 0.702322787385973 
401	 1.23073927269483 
402	 1.81864092729183 
403	 1.1540074667109 
404	-1.21256838699081 
405	-0.547810072628144 
406	 0.526272950913861 
407	 0.650918075862503 
408	 0.823950437122484 
409	-0.232037682750401 
410	-1.43618710210635 
411	-0.99324390175662 
412	-1.35817432867081 
413	-0.794183822482969 
414	 1.38003615192083 
415	 1.46774730832823 
416	 0.667623025258966 
417	-0.235145651189083 
418	-0.710872195377225 
419	-1.00118973827915 
420	-0.391668899376999 
421	 1.4808832538087 
422	 1.90634675378307 
423	 1.47408535778057 
424	 0.825420321186596 
425	 0.251231700223303 
426	-0.234866171562637 
427	-0.483593152695323 
428	-0.298142921818955 
429	 0.424206404141601 
430	 0.940500742215048 
431	 0.749350454662299 
432	 0.718552620831775 
433	 1.20327613554913 
434	 1.59974167578897 
435	-8.61689045475316E-02 
436	-0.540670768830848 
437	-9.05960322339575E-02 
438	-0.186136798775296 
439	 1.53609023963355 
440	 1.83182677879311 
441	-0.637379954589362 
442	-0.343514040427234 
443	 0.236819120654978 
444	 0.19893280082538 
445	-0.113795799749636 
446	-0.986677251032449 
447	-1.06735682857309 
448	 0.66984502281808 
449	 9.53724383311101E-02 
450	-0.352937428814261 
451	 0.554719157254613 
452	 0.38149169783751 
453	 0.017762134757649 
454	-0.498697537803577 
455	-1.56008639811118 
