Wavelength	1mm_BlackABS00000.asd
350	-0.919141917291644 
351	-0.733315686152317 
352	-0.289218449440049 
353	-0.267049736731933 
354	 0.255206240280448 
355	 0.5517391873375 
356	 0.095821653215495 
357	-0.274435578689415 
358	-0.860792391430034 
359	-1.1285417929342 
360	 8.03916228912307E-02 
361	 0.261729870644981 
362	-0.580681048944021 
363	-1.57942658892226 
364	-1.09674721592715 
365	-0.504331702911499 
366	-0.37316242868046 
367	-0.166717411066096 
368	-0.415733689164903 
369	-0.93106694490172 
370	-1.23465380594364 
371	-0.608089236666215 
372	-0.580551548108669 
373	-1.45707260885317 
374	-0.70694207301104 
375	-0.703944390183503 
376	-1.23450468970841 
377	-1.00078128732649 
378	-1.69859217039803 
379	-1.39814849315744 
380	 0.74566647866049 
381	 1.09726226180251 
382	-0.240127249074248 
383	-1.57537628729971 
384	 0.183639943819988 
385	-9.87179398060118E-02 
386	-1.05895056221254 
387	-0.416881356720343 
388	 3.97350441688695E-02 
389	 0.209332812390165 
390	 0.193936492258065 
391	 0.398741281223159 
392	-1.26894393518964 
393	-2.43331022388269 
394	 0.369569071438285 
395	 1.65032434108667 
396	 1.03546623492374 
397	-0.491736903062903 
398	-0.31819452066891 
399	-7.50840678774924E-02 
400	 5.99937542723999E-02 
401	 0.921688649926072 
402	 1.73524290744759 
403	 1.16523604028206 
404	-1.13474605575418 
405	-0.588127236544858 
406	 0.235201738313627 
407	-6.46938057043206E-02 
408	-0.867755188569746 
409	-0.702535575047133 
410	-0.630034612273144 
411	-2.3569399152854 
412	-1.56626490531443 
413	-3.99956201364644E-02 
414	 0.340928908946393 
415	-0.380372044446538 
416	-0.326252231561276 
417	 0.250447479030541 
418	-0.798855224086625 
419	-1.07392988042893 
420	-0.455245593434711 
421	 0.412300515568298 
422	 0.423595133803313 
423	 0.454179757698979 
424	 0.822626157631131 
425	 0.536189763764597 
426	 6.59888083413109E-02 
427	-0.121902672807195 
428	 0.383598433916492 
429	-0.125806207896638 
430	-0.485602676647341 
431	 0.310961518345029 
432	 0.696423927935861 
433	 0.784297173350293 
434	 0.624608013070102 
435	 0.162374637829985 
436	-1.15493686245722 
437	-1.73898511568437 
438	 0.264221987637641 
439	 0.991408293722629 
440	 0.369284088162509 
441	-0.67895353356912 
442	 0.259332533600855 
443	-0.125523719554164 
444	-1.78960222704565 
445	-1.69027002199671 
446	-1.68228271365448 
447	-1.29493808053604 
448	 0.164919034793913 
449	 0.982463093958554 
450	 0.612459050571195 
451	-0.505163268062259 
452	 6.99729836335007E-02 
453	 6.53418023297613E-02 
454	-0.869930858321981 
455	-1.84422351648448 
456	-1.61969122200963 
457	-1.13099515493561 
458	-1.330411991598 
459	-0.200213148633536 
460	 0.455198563325902 
461	-0.256373745869779 
462	-1.72361514798374 
463	-0.990639851287014 
464	 0.313184626987991 
465	-1.78338759678915 
466	-2.2154472158768 
467	-1.46675698231292 
468	-0.878277631296511 
469	-0.470439880315596 
470	-0.13141566930544 
471	-2.73132622712308E-04 
472	-0.730331348173228 
473	-1.02248772204129 
474	-0.829263481035893 
475	-0.721930457385551 
476	-1.10116355419905 
477	-1.64061354219384 
478	-1.88781352961875 
479	-1.44811096864417 
480	-0.855558174765287 
481	-0.611431627639367 
482	-1.34261259314642 
483	-0.702317071253949 
484	 0.386157152039827 
485	-0.290167856110826 
486	-1.5297656037098 
487	-1.43348726538185 
488	 0.456683960743142 
489	-0.556913508014629 
490	-2.26442274389716 
491	-2.97445008966357 
492	-1.42055649640202 
493	-0.740615059791092 
494	-1.12506276530382 
495	-1.4307742200574 
496	-0.387878561997642 
497	 0.252749130247398 
498	-0.726085948844693 
499	-1.27429345764455 
500	-1.31891965086027 
501	-0.924223544705101 
502	-0.187402077149114 
503	-1.20138000891861 
504	-2.80409847368558 
505	-2.60906834468267 
506	-2.58586263351373 
507	-1.90190098549197 
508	-0.263419007932544 
509	-0.561986630402313 
510	-1.59421636522991 
511	-2.36595216427498 
512	-2.05167910055454 
513	-1.86976195137612 
